,original_text,filtered_text,NBD_tag
0,2 egg whites,egg whites,"""01124"""
1,1 tablespoon cornstarch,cornstarch,"""20027"""
2,1/2 pound rock shrimp drained and chopped,rock shrimp drained and chopped,"""15270"""
3,2 cloves garlic minced,cloves garlic minced,"""11215"""
4,1 shallot minced,shallot minced,"""11677"""
5,1 tablespoon cornstarch,cornstarch,"""20027"""
6,2 tablespoons chopped parsley leaves,chopped parsley leaves,"""11297"""
7,1/2 cup chopped napa cabbage,chopped napa cabbage,"""11114"""
8,2 tablespoons mascarpone cheese,mascarpone cheese,"""01017"""
9,1 lemon juiced,lemon juiced,"""09152"""
10,1 teaspoon ground black pepper,ground black pepper,"""02030"""
11,12 potsticker skins or won ton wrappers,potsticker skins or won ton wrappers,"""18368"""
12,2 tablespoons peanut oil,peanut oil,"""44005"""
14,1/3 cup soy sauce,soy sauce,"""16124"""
15,2 oranges juiced (about 1/4 cup),oranges juiced (about cup),"""42270"""
16,1 tablespoon rice wine vinegar,rice wine vinegar,"""04135"""
17,Pinch red pepper flakes,pinch red pepper flakes,"""02031"""
18,2 tablespoons sliced scallions,sliced scallions,"""11291"""
19,1 large bunch flat-leaf kale,bunch flatleaf kale,"""11233"""
20,Good olive oil,good olive oil,"""44005"""
21,Kosher salt,kosher salt,"""02047"""
22,Freshly grated Parmesan cheese,freshly grated parmesan cheese,"""01033"""
23,6 egg whites room temperature,egg whites room temperature,"""01124"""
24,1/2 cup chocolate-hazelnut spread such as Nutella plus 1/2 cup for the ramekins,chocolatehazelnut spread such as nutella plus for the ramekins,"""19125"""
25,1 cup unsweetened almond milk,unsweetened almond milk,"""14091"""
26,1/8 teaspoon fine sea salt,fine sea salt,"""02047"""
27,Four slices day-old focaccia or ciabatta cut into 1/4-inch cubes,four dayold focaccia or ciabatta cut intoinch cubes,"""18973"""
28,2 teaspoons olive oil,olive oil,"""44005"""
29,Hazelnut Brittle for serving recipe follows,hazelnut brittle for follows,"""01124"""
30,1 1/3 cups sugar,sugar,"""19335"""
31,2/3 cup water,water,"""14411"""
32,Nonstick cooking spray,nonstick cooking spray,"""04679"""
