,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""35140""","Bread, kneel down (Navajo)",28.35,1.0 oz,0.1,0.24,0.20,1.06,0.034,,,,,0.009,0.0,,,,,0.0,,0.002,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.706,0.027,0.000,0.014,0.009,0.23,0.0,,,0.0,,,,,,231,,0.000,,,,,,,0.38,,1.0,,,,0.037,,,0.171,0.1,,0.0,,0.002,0.3,0.00,,0.3,0.00,,,,,0.00,,,0.231,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19,,,,,,,,,,,,,,,0.169,,0.1,,,,,,,0.2,,0.000,0.0,
1,"""35211""","Caribou, hind quarter, meat, cooked (Alaska Native)",66.0,0.5 cup,1.241,0.479,0.00,0.0,0.192,,,,,,,,,,,0.0,,0.010,0.0,,,0.007,0.000,0.003,,,0,0.8,0.03,,0.8,0.03,,62,,0,,,,3.887,0.214,0.026,0.525,0.086,0.00,0.003,3,0.000,0.003,3,0.000,,,,438,,0.040,,,,,,,0.0,,3.0,,,,0.537,0.023,4.27,0.987,1.2,62,0.0,0.246,,0.69,0.00,,0.69,0.00,,,,,,0.040,0.0,0.228,162.0,,,,,,,,206.0,105.0,0.000,,,,,,,0.0,0.028,3.0,,,,0.0,79.5,,0.0,79.5,,0.0,,,0.0,,,,,,,,,,,,0.911,,0.0,,,,,,,0.0,,,0.0,
2,"""35183""","Corn, dried, yellow (Northern Plains Indians)",28.35,1.0 oz,0.56,1.288,0.16,6.04,0.074,0.416,,,,0.035,0.12,0.182,0.141,,,,,,0.0,0.668,0.287,,,0.0,5.8,,,,,,,,,,,0,,,,2.339,0.083,0.000,0.084,0.035,0.20,0.0,,,0.0,,,0.122,,0.00,497,,0.000,,,,,,,,,,,,,0.051,,0.00,1.063,,4,0.0,0.315,0.006,0.64,,,0.64,,,,,,,,0.0,1.253,220.0,,0.297,3.02,0.006,,,,74.0,119.0,,0.027,7.08,,0.132,0.016,16.0,,,,0.137,0.453,98.0,0.0,,0.208,0.0,,0.208,18.79,,,5.0,0,,,,,0.165,,0.0,0.0,0.186,42.0,1.047,0.089,,,,,,,,,,,0.0,
3,"""35142""","Frybread, made with lard (Navajo)",152.0,1.0 piece,7.024,1.604,0.00,3.09,0.654,,,,,0.078,0.0,,,,,0.0,,0.096,0.0,,,0.088,,0.027,,,,,,,,,,,,,,,,6.997,0.138,0.154,2.548,0.006,0.15,0.049,298,0.000,0.049,298,0.000,,,,2098,,0.362,,,,,,,0.82,,87.0,,,,0.33,,0.00,6.705,1.2,,0.006,0.058,0.000,1.9,0.00,,1.9,0.00,,,,,0.00,,,1.487,117.0,,,,,,,,,,,,,,,,,160.0,0.451,185.0,,,,,,,,,,73.36,,,,,,,,,,,,,,,6.116,,1.2,,,,,,,0.0,,,0.0,
4,"""35141""","Mutton, cooked, roasted (Navajo)",28.35,1.0 oz,1.458,0.231,,,,,,,,0.042,0.23,0.397,0.85,,,0.0,,0.002,0.0,1.465,0.885,0.024,,0.0,,,,,,,,,,,,,0.069,9.48,,1.848,0.018,0.045,0.608,0.049,,0.003,,0.000,0.003,,0.000,0.398,0.007,,277,,0.073,,,,,,,0.0,0.468,3.0,,,,0.085,,1.26,1.264,,,0.003,0.107,0.000,0.4,0.00,,0.4,0.00,,,,,,,,0.112,116.0,9.6,0.4,3.14,0.058,,,,,,,0.073,,31,0.329,0.006,10.8,,,,0.45,0.701,77.0,,,,,,,0.02,,,,,,,,,0.617,,0.003,,,,1.176,0.276,0.0,,,,,,,0.0,0.260,,,
5,"""35234""","Piki bread, made from blue cornmeal (Hopi)",28.0,1.0 piece,0.229,0.454,0.00,0.45,0.045,,0.001,,,0.013,0.21,,,,,0.01,0.001,0.006,0.0,,,0.001,,0.0,2.6,0.001,3,0.0,0.09,,0.0,0.09,,,,,,,,0.818,0.080,0.001,0.051,0.013,0.00,0.0,,0.001,0.0,,0.001,,,,456,,0.001,,,,0.001,2.51,0,1.35,,52.0,0.000,0,0.001,0.014,0.000,,0.499,0.1,0,0.0,0.152,0.002,0.72,0.04,0.001,0.72,0.04,0.001,0.002,17.0,0.002,0.00,,,0.439,169.0,,,,,0.001,,0.45,1.0,109.0,0.000,,,,,,,,,,,,,,,,,,,20.22,0.000,,0.0,,0.488,0.438,,0.202,,,,,,,0.489,,0.0,0.000,0.001,0.002,,,,0.18,,0.000,0.0,
6,"""35190""","Salmon, red (sockeye), filets with skin, smoked (Alaska Native)",108.0,1.0 filet,2.8,3.747,0.00,0.0,0.534,,,,,,,,,,,0.0,,0.929,0.0,,,0.049,0.027,0.032,,,0,1.0,0.01,,1.0,0.01,,33,,0,,,,24.57,0.160,0.076,0.356,0.14,0.00,0.0,10,0.032,0.0,10,0.032,,,,1561,,0.405,,,,,,,0.03,,63.0,,,,0.586,0.977,19.55,4.347,0.0,33,0.004,0.881,0.000,6.69,0.03,0.583,6.69,0.03,0.583,,,,,0.335,0.0,0.2,1037.0,7.3,,,,,,,111.0,373.0,0.038,,,,,,,0.0,0.055,10.0,,,,0.0,241.7,,0.0,241.7,,0.0,,,0.0,,,,,,,,,,,,2.349,,0.0,,,,0.0,,,0.0,,,0.0,
7,"""35144""","Stew, dumpling with mutton (Navajo)",308.0,1.0 serving,5.264,0.844,0.00,0.65,0.200,,,,,0.163,1.14,,,,,0.0,,0.022,0.0,,,0.083,,0.006,,,,,,,,,,0,,,,,,6.175,0.163,0.172,2.267,0.022,0.00,0.0,,,0.0,,,,,,1300,,0.253,,,,,,,0.0,,43.0,,,,0.28,,2.53,4.722,5.2,0,0.0,0.126,,0.83,0.00,,0.83,0.00,,,,,0.00,,,0.594,253.0,,,,,,,,0.0,311.0,,,,,,,,,,,,,,,,,,,,24.73,,,,,,,,,,,,,,,4.429,,0.0,,,,,,,0.0,,,0.0,
8,"""35145""","Stew, hominy with mutton (Navajo)",411.0,1.0 serving,3.013,1.18,0.00,0.45,0.123,2.203,,,,0.086,1.52,1.056,1.788,,,0.0,,0.016,0.0,4.052,2.162,0.066,,0.0,8.2,,,,,,,,,0,,,,,,6.165,0.193,0.099,1.114,0.095,0.00,0.012,,0.000,0.012,,0.000,0.978,0.008,0.00,1426,,0.140,,,,,,,3.12,1.837,33.0,,,,0.288,,2.63,3.687,2.9,0,0.0,0.374,,1.07,0.00,,1.07,0.00,,,,,0.00,,,0.954,485.0,,1.582,8.47,0.156,,,,0.0,341.0,,0.177,25.28,53,0.752,0.016,16.9,,,,1.036,1.611,337.0,,,,,,,38.55,,,,,,,,,1.603,,0.0,,,,3.432,0.674,0.0,,,,,,,0.0,0.645,,0.0,
9,"""35146""","Stew, mutton, corn, squash (Navajo)",303.0,1.0 serving,5.257,1.16,0.55,1.85,0.091,2.054,,,,0.164,1.12,1.000,1.697,,,0.0,,0.033,0.0,3.760,2.057,0.088,,0.0,5.2,,,,,,,,,0,,,,,,6.06,0.191,0.179,2.103,0.188,0.55,0.0,,,0.0,,,0.927,0.024,0.00,1303,,0.251,,,,,,,0.0,1.676,115.0,,,,0.333,,3.51,5.296,5.5,0,0.0,0.327,0.018,11.0,0.00,,11.0,0.00,,,,,0.00,,,0.939,603.0,,1.436,13.15,0.206,,,,0.0,312.0,,0.173,,130,0.706,0.021,25.5,,,,1.018,2.633,336.0,,,,,,,22.03,,,,,,,,,1.424,,0.0,,,,4.969,0.658,0.0,,,,,,,0.0,0.639,,0.0,
