,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""42150""","Babyfood, apple yogurt dessert, strained",15.0,1.0 tbsp,0.155,0.007,,1.8,0.234,,0.005,,1.0,,,,,,,,,,,,,,,,0.1,,1,,,,,,,0,,0,,,,0.000,0.007,,0.024,0.002,,,,,,,,,,,58,,0.025,,,,,,,,,,,,,0.007,0.000,0.07,0.066,0.0,0,0.008,0.003,,0.03,,0.000,0.0,,,,,,,,,0.004,10.0,,,,,,,,4,14.0,,,,,,,,0,,1.0,,,,0.00,0.8,,0.00,0.8,,2.92,,,0.0,,,,,,,,,0.0,,2.0,0.055,,,,,,0.0,,5.3,,,,,
1,"""03167""","Babyfood, apple-banana juice",31.2,1.0 fl oz,0.006,0.011,,3.43,0.003,,0.000,,0.0,,,,,,,,,,,,,,,,0.1,,5,,,,,,,,,0,,,,0.044,0.006,,0.001,0.002,,,,,,,,,,,66,,0.000,,,,,,,,,,,,,0.003,,0.0,0.001,,0,0.000,0.019,,0.08,,0.000,,,,,,,,,,0.009,38.0,,,,,,,,3,16.0,,,,,,,,0,0.025,0.0,,,,0.00,0.7,,0.00,0.7,,3.84,,,1.0,0,,,,,,,,0.0,,2.0,0.001,,,,,,0.0,,8.7,,,,,
2,"""03289""","Babyfood, apples with ham, strained",15.0,1.0 tbsp,0.037,0.017,,1.2,0.009,,0.000,,0.0,,,,,,,,,,,,,,,,0.3,,2,,,,,,,,,0,,,,0.109,0.006,,0.012,0.001,,,,,,,,,,,39,,0.002,,,,,,,,,,,,,0.009,0.000,0.0,0.054,0.1,0,0.000,0.011,,0.04,,0.000,,,,,,,,,,0.015,18.0,,,,,,,,1,9.0,,,,,,,,0,0.003,0.0,,,,0.00,1.8,,0.00,1.8,,1.64,,,0.0,0,,,,,,,,0.0,,1.0,0.052,,,,,,0.0,,0.0,,,,,
3,"""03115""","Babyfood, apples, dices, toddler",28.35,1.0 oz,0.006,0.009,,2.97,0.011,,,,0.0,,,,,,,,,,,,,,,,0.5,,1,,,,,,,,,0,,,,0.025,0.009,,0.001,0.001,,,,,,,,,,,60,,0.000,,,,,,,,,,,,,0.005,,0.0,0.001,0.2,0,0.000,0.012,,0.06,,0.000,,,,,,,,,,0.007,24.0,,,,,,,,6,14.0,,,,,,,,,0.010,0.0,,,,0.00,1.0,,0.00,1.0,,3.28,,,0.0,,,,,,,,,0.0,,1.0,0.001,,,,,,0.0,,18.3,,,,,
4,"""03997""","Babyfood, Baby MUM MUM Rice Biscuits",8.0,4.0 biscuit,0.019,0.020,,1.0,0.014,0.035,0.000,,1.0,,,,0.024,,0.0,0.0,,,,,,,,,,,0,0.0,,0.025,,,0.0,,,0,,,,0.232,0.012,0.000,0.002,0.004,,0.000,1.0,,0.000,1.0,,0.019,,,131,,0.001,0.0,,0.007,,,,,0.020,0.0,,,,0.003,,0.0,0.018,,0,0.000,0.046,0.000,0.08,0.00,,0.0,,,,,,,,,0.016,40.0,0.0,0.021,0.07,0.000,,,,0,31.0,,0.007,,0,0.021,0.000,0.6,0,0.059,1.0,0.021,0.016,10.0,0.00,1.7,0.021,0.00,1.7,0.021,6.66,,,0.0,,,,,,0.034,,0.000,0.0,0.027,4.0,0.018,0.012,0.0,,,,0.0,,,0.0,0.010,0.000,,
5,"""42284""","Babyfood, baked product, finger snacks cereal fortified",1.7,1.0 cookie,0.028,0.062,,0.48,0.024,,0.000,,0.0,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,0,,,,0.191,0.004,,0.002,0.003,,,,,,,,,,,30,,0.000,,,,,,,,,,,,,0.027,,0.0,0.053,0.3,0,0.001,0.001,,0.06,,0.000,,,,,,,,,,0.059,2.0,,,,,,,,0,7.0,,,,,,,,2,,2.0,,,,0.00,0.4,,0.00,0.4,,1.3,,,0.0,,,,,,,,,0.0,,0.0,0.053,,,,,,0.0,,0.2,,,,,
6,"""43550""","Babyfood, banana apple dessert, strained",15.0,1.0 tbsp,0.009,0.007,,2.2,0.003,,0.000,,1.0,,,,,,,,,,,,,,,,0.1,,2,,,,,,,,,0,,,,0.020,0.004,,0.000,0.002,,,,,,,,,,,43,,0.000,,,,,,,,,,,,,0.003,,0.0,0.003,0.0,0,0.000,0.009,,0.04,,0.000,,,,,,,,,,0.005,11.0,,,,,,,,4,10.0,,,,,,,,0,,1.0,,,,0.00,0.3,,0.00,0.3,,2.44,,,1.0,0,,,,,,,,0.0,,1.0,0.002,,,,,,0.0,,1.8,,,,,
7,"""42119""","Babyfood, banana juice with low fat yogurt",31.5,1.0 fl oz,0.163,0.007,,4.18,0.009,,0.005,,2.0,,,,,,,,,,,,,,,,0.1,,5,,,,,,,2,,0,,,,0.085,0.009,,0.025,0.002,,,,,,,,,,,113,,0.026,,,,,,,,,,,,,0.032,0.000,0.14,0.069,0.1,2,0.009,0.038,,0.21,,0.000,0.0,,,,,,,,,0.005,50.0,,,,,,,,9,27.0,,,,,,,,0,,2.0,,,,0.00,3.6,,0.00,3.6,,5.53,,,1.0,0,,,,,,,,0.0,,3.0,0.057,,,,,,0.0,,10.7,,,,,
8,"""43546""","Babyfood, banana no tapioca, strained",15.0,1.0 tbsp,0.011,0.006,,1.7,0.003,,0.000,,3.0,,,,,,,,,,,,,,,,0.2,,3,,,,,,,,,0,,,,0.081,0.006,,0.000,0.002,,,,,,,,,,,57,,0.000,,,,,,,,,,,,,0.009,,0.0,0.004,0.1,0,0.000,0.039,,0.11,,0.000,,,,,,,,,,0.004,44.0,,,,,,,,1,14.0,,,,,,,,0,,3.0,,,,0.00,0.6,,0.00,0.6,,3.2,,,0.0,0,,,,,,,,0.0,,4.0,0.003,,,,,,0.0,,3.3,,,,,
9,"""03995""","Babyfood, banana with mixed berries, strained",99.0,1.0 packet,0.08,0.122,,14.85,0.028,0.049,0.000,,20.0,,,,0.034,,1.5,0.0,,0.001,,,,,,,1.0,,47,,,,,,,,,0,,,,0.617,0.093,,0.004,0.044,,,,,,,,0.021,,,381,,0.002,11.0,0.00,0.007,,,,0.34,0.028,0.0,,,,0.057,,0.0,0.036,6.2,3,0.001,0.254,,0.64,0.21,0.000,,,,,,,,,,0.078,280.0,,0.021,0.36,0.007,,,,50,91.0,,0.006,,0,0.007,,0.8,0,0.347,20.0,0.021,0.072,20.0,0.00,8.8,0.029,0.00,8.8,0.029,21.1,,,20.0,0,,,,,0.036,,0.001,0.0,0.034,23.0,0.028,0.052,0.0,,,,0.0,,18.0,0.01,0.006,0.000,,
