,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""18522""","Archway Home Style Cookies, Chocolate Chip Ice Box",24.0,1.0 serving,1.939,0.343,,8.17,0.060,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.494,,,,,,,,,,,,,,,499,,,,,,,,,,,,,,,0.041,,,2.146,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,4,119.0,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""18524""","Archway Home Style Cookies, Coconut Macaroon",22.0,1.0 serving,4.422,0.178,,9.94,0.004,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,0.048,,,,,,,,,,,,,,,423,,,,,,,,,,,,,,,0.013,,,0.354,,0,,,,0.38,,,,,,,,,,,,,,,,,,,,,0,101.0,,,,,,,,,,,,,,,,,,,,13.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"""18527""","Archway Home Style Cookies, Date Filled Oatmeal",25.0,1.0 serving,0.69,0.278,,8.57,0.070,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.497,,,,,,,,,,,,,,,418,,,,,,,,,,,,,,,0.043,,,1.205,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,3,100.0,,,,,,,,,,,,,,,,,,,,17.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"""18528""","Archway Home Style Cookies, Dutch Cocoa",24.0,1.0 serving,0.869,0.283,,8.48,0.062,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.533,,,,,,,,,,,,,,,432,,,,,,,,,,,,,,,0.043,,,1.426,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,3,103.0,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"""18529""","Archway Home Style Cookies, Frosty Lemon",26.0,1.0 serving,1.516,0.239,,8.67,0.062,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,0.507,,,,,,,,,,,,,,,468,,,,,,,,,,,,,,,0.052,,,1.495,,0,,,,0.43,,,,,,,,,,,,,,,,,,,,,0,112.0,,,,,,,,,,,,,,,,,,,,16.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""18532""","Archway Home Style Cookies, Iced Molasses",28.0,1.0 serving,1.165,0.683,,10.76,0.073,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,0.669,,,,,,,,,,,,,,,493,,,,,,,,,,,,,,,0.053,,,1.330,,0,,,,0.73,,,,,,,,,,,,,,,,,,,,,3,118.0,,,,,,,,,,,,,,,,,,,,19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"""18533""","Archway Home Style Cookies, Iced Oatmeal",28.0,1.0 serving,1.291,0.762,,10.42,0.076,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.459,,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,0.042,,,1.571,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,4,122.0,,,,,,,,,,,,,,,,,,,,18.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""18535""","Archway Home Style Cookies, Molasses",26.0,1.0 serving,0.731,0.273,,9.45,0.078,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,0.705,,,,,,,,,,,,,,,439,,,,,,,,,,,,,,,0.060,,,1.264,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,4,105.0,,,,,,,,,,,,,,,,,,,,18.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"""18537""","Archway Home Style Cookies, Oatmeal",25.0,1.0 serving,0.8,0.333,,8.62,0.075,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.470,,,,,,,,,,,,,,,441,,,,,,,,,,,,,,,0.045,,,1.415,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,4,105.0,,,,,,,,,,,,,,,,,,,,17.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"""18538""","Archway Home Style Cookies, Oatmeal Raisin",26.0,1.0 serving,0.715,0.302,,10.28,0.073,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.439,,,,,,,,,,,,,,,442,,,,,,,,,,,,,,,0.042,,,1.261,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,4,106.0,,,,,,,,,,,,,,,,,,,,18.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"""18539""","Archway Home Style Cookies, Old Fashioned Molasses",26.0,1.0 serving,0.72,0.260,,9.38,0.081,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,0.738,,,,,,,,,,,,,,,441,,,,,,,,,,,,,,,0.062,,,1.248,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,3,106.0,,,,,,,,,,,,,,,,,,,,18.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"""18540""","Archway Home Style Cookies, Old Fashioned Windmill Cookies",20.0,1.0 serving,0.75,0.334,,6.53,0.068,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,0.588,,,,,,,,,,,,,,,391,,,,,,,,,,,,,,,0.050,,,1.564,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,0,94.0,,,,,,,,,,,,,,,,,,,,14.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"""18541""","Archway Home Style Cookies, Peanut Butter",21.0,1.0 serving,1.132,0.888,,6.84,0.050,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.918,,,,,,,,,,,,,,,422,,,,,,,,,,,,,,,0.042,,,2.144,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,13,101.0,,,,,,,,,,,,,,,,,,,,12.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"""18544""","Archway Home Style Cookies, Raspberry Filled",25.0,1.0 serving,1.29,0.275,,7.94,0.085,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.532,,,,,,,,,,,,,,,419,,,,,,,,,,,,,,,0.045,,,1.035,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,4,100.0,,,,,,,,,,,,,,,,,,,,16.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"""18562""","Archway Home Style Cookies, Reduced Fat Ginger Snaps",32.0,1.0 serving,0.832,0.528,,11.61,0.102,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,0.915,,,,,,,,,,,,,,,567,,,,,,,,,,,,,,,0.070,,,1.146,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,1,136.0,,,,,,,,,,,,,,,,,,,,24.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"""18547""","Archway Home Style Cookies, Strawberry Filled",25.0,1.0 serving,1.29,0.275,,7.94,0.085,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.532,,,,,,,,,,,,,,,419,,,,,,,,,,,,,,,0.045,,,1.035,,0,,,,0.37,,,,,,,,,,,,,,,,,,,,,4,100.0,,,,,,,,,,,,,,,,,,,,16.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"""18513""","Archway Home Style Cookies, Sugar Free Oatmeal",24.0,1.0 serving,1.176,0.314,,0.3,0.065,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.434,,,,,,,,,,,,,,,444,,,,,,,,,,,,,,,0.041,,,1.886,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,0,106.0,,,,,,,,,,,,,,,,,,,,16.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"""18566""","Artificial Blueberry Muffin Mix, dry",31.0,1.0 muffin,0.578,0.520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264,0.028,,,,,,,,,,,528,,0.002,,,,,,,,,,,,,,,,1.160,,,0.002,,,0.85,,,,,,,,,,,,0.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.01,,,,,,,,,,,,,,,1.149,,,,,,,,,,,,,
18,"""18005""","Bagels, cinnamon-raisin",26.0,"1.0 mini bagel (2-1/2"" dia)",0.071,0.174,,1.55,0.100,0.174,0.000,,5,,,,0.062,,,,,,,,,,,,0.6,,14,,,,,,,5,,0,,,,0.801,0.042,,0.005,0.010,,,,,,,,0.074,,,298,,0.001,,,,,,,,,,,,,0.072,,0.00,0.045,0.2,5,0.000,0.016,,0.34,,0.000,,,,,,,,,,0.164,38,,0.281,0.44,0.004,,,,19,71.0,,0.03,,0,0.071,,8.1,23,0.228,29.0,0.095,0.065,26.0,0.00,3.8,0.125,0.00,3.8,0.125,14.35,,,0.0,,,,,,0.098,,0.000,0.0,0.110,7.0,0.042,0.056,,,,,0.0,,0.2,,,,,
19,"""18006""","Bagels, cinnamon-raisin, toasted",24.0,"1.0 mini bagel (2-1/2"" dia)",0.071,0.173,,1.54,0.079,0.173,0.000,,4,,,,0.061,,,,,,,,,,,,0.6,,13,,,,,,,6,,0,,,,0.715,0.038,,0.005,0.010,,,,,,,,0.073,,,295,,0.001,,,,,,,,,,,,,0.064,,0.00,0.045,0.2,6,0.000,0.014,,0.34,,0.000,,,,,,,,,,0.163,39,,0.279,0.43,0.004,,,,17,71.0,,0.029,,0,0.07,,8.0,21,0.079,24.0,0.095,0.065,20.0,0.00,3.9,0.124,0.00,3.9,0.124,14.23,,,0.0,,,,,,0.097,,0.000,0.0,0.109,6.0,0.042,0.056,,,,,0.0,,0.1,,,,,
20,"""18003""","Bagels, egg",28.35,1.0 oz,0.119,0.182,,,,,,,,,,,0.074,,,,,,,,,,,,0.7,,,,,,,,,9,,,,,,0.976,0.026,,0.022,0.007,,,,,,,,0.087,,,330,,0.001,,,,,,,,,,,,,0.067,0.000,0.05,0.119,,9,0.000,0.025,,0.45,,0.000,,,,,,,,,,0.170,19,,0.337,0.6,0.010,,,,31,79.0,,0.035,,7,0.087,,8.7,19,0.116,25.0,0.117,0.097,24.0,,,,,,,15.03,,,,,,,,,0.112,,0.000,,,,0.108,0.065,,,,,,,,,,,,
21,"""28322""","Bagels, multigrain",81.0,1.0 piece bagel,0.0,0.567,,7.01,0.342,,0.000,,27,,,,,,,,,,0.0,,,,,0.000,5.0,,65,,,,,,,,,0,,,,3.455,0.191,0.000,0.0,0.121,,0.000,92,,0.000,92,,,,,816,,0.000,,,,,,,,,,,,,0.205,,0.00,0.254,0.5,0,0.000,0.146,,1.61,,0.000,,,,,,,,,,0.445,165,,,,,,,,2,195.0,0.000,,,,,,,39,1.450,66.0,,,,0.00,13.0,,0.00,13.0,,38.45,,,0.0,,,,,,,,,0.0,,69.0,0.249,,,,,,0.0,,,,,,,
22,"""18007""","Bagels, oat bran",26.0,"1.0 mini bagel (2-1/2"" dia)",0.05,0.126,,0.42,0.086,0.197,0.000,,12,,,,0.075,,,,,,,,,,,,0.9,,15,,,,,,,0,,0,,,,0.770,0.039,,0.003,0.006,,,,,,,,0.078,,,277,,0.000,,,,,,,,,,,,,0.088,,0.00,0.065,0.1,0,0.001,0.011,,0.49,,0.000,,,,,,,,,,0.121,30,,0.281,0.31,0.002,,,,1,66.0,,0.036,,0,0.083,,8.9,14,0.224,25.0,0.106,0.044,29.0,0.00,4.0,0.134,0.00,4.0,0.134,13.86,,,0.0,,,,,,0.12,,0.000,0.0,0.125,8.0,0.063,0.061,,,,,0.0,,0.1,,,,,
23,"""18001""","Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",99.0,1.0 bagel,0.356,0.521,2.86,8.35,0.562,,0.000,,24,0.024,7.39,,,,,0.47,0.021,0.005,0.0,,,,,0.000,1.6,,0,0.0,,,,,,,,0,,,,4.470,0.127,0.003,0.114,0.024,2.32,0.000,161,,0.000,161,,,,,1092,0.021,0.004,,,,,33.47,0,0.03,,217.0,,0,0.002,0.341,,0.00,0.386,0.2,0,0.000,0.069,0.003,1.91,0.03,0.000,,,,0.007,418.0,0.000,,,0.0,0.498,106,,,,,,,0.0,0,261.0,,,,,,,,81,0.534,105.0,,,,0.00,14.5,,0.00,14.5,,51.86,0.000,,0.0,,0.163,0.497,,0.403,,,,0.0,,29.0,0.184,,0.2,,0.0,0.021,0.0,,,0.03,,0.000,0.0,
