,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""43218""","Cereals ready-to-eat, ALPEN",55.0,0.67 cup (1 NLEA serving),0.273,0.509,,11.0,0.22,,0.0,,16,,,,,,,,,,0.0,,,,,0.000,5.0,,0,,,,,,0.0,,,0,,,,1.166,0.165,0.000,0.015,0.024,,0.0,16,,0.0,16,,,,,810,,0.003,,,,,,,,,,,,,0.22,0.000,0.07,0.730,1.4,0,0.004,0.154,0.000,1.32,,0.000,,,,,,,,,,0.484,230.0,,,,,,,,0,194.0,,,,,,,,0.0,,16.0,,,,0.0,16.9,,0.0,16.9,,41.63,,,0.0,,,,,,,,,0.0,,52.0,0.718,,,,,,0.0,,4.8,,,,,
1,"""08657""","Cereals ready-to-eat, BARBARA'S PUFFINS, original",27.0,0.75 cup (1 NLEA serving),0.0,0.288,,5.0,0.03,,0.0,,5,,,,,,,,,,,,,,,,5.0,,209,,,,,,,,,0,,,,0.513,0.081,,0.0,0.011,,,,,,,,,,,377,,0.000,,,,,,,,,,,,,0.018,,0.00,0.604,0.2,0,0.000,0.066,,0.35,,0.000,,,,,,,,,,0.277,85.0,,,,,,,,0,90.0,,,,,,,,0.0,,5.0,,,,0.0,4.0,,0.0,4.0,,22.68,,,0.0,,,,,,,,,0.0,,29.0,0.598,,,,,,0.0,,15.0,,,,,
2,"""08204""","Cereals ready-to-eat, chocolate-flavored frosted puffed corn",30.0,1.0 cup,0.288,0.069,,13.11,0.397,,0.0,,6,,,,,,,,,,,,,,,,1.1,,0,,,,,,,397,,1,,,,5.291,0.072,,0.137,0.002,,,,,,,,,,,508,,0.000,,,,,,,,,,,,,0.45,0.000,1.59,0.624,0.2,397,0.000,0.529,,0.68,,0.000,,,,,,,,,,0.068,53.0,,,,,,,,1323,122.0,,,,,,,,100.0,0.074,106.0,,,,1.59,1.4,,1.59,1.4,,26.16,,,0.0,,,,,,,,,0.0,,11.0,0.624,,,,,,41.0,,15.9,,,,,
3,"""43241""","Cereals ready-to-eat, FAMILIA",122.0,1.0 cup,0.867,2.020,,28.3,0.39,,0.0,,20,,,,,,,,,,,,,,,,10.4,,159,,,,,,,,,0,,,,2.196,0.497,,0.116,0.112,,,,,,,,,,,1980,,0.017,,,,,,,,,,,,,0.671,0.000,0.35,3.910,4.6,1,0.004,0.122,,10.37,,0.000,,,,,,,,,,1.889,603.0,,,,,,,,7,473.0,,,,,,,,0.0,,20.0,,,,0.0,29.2,,0.0,29.2,,90.04,,,0.0,,,,,,,,,0.0,,387.0,3.86,,,,,,0.0,,0.7,,,,,
4,"""42236""","Cereals ready-to-eat, frosted oat cereal with marshmallows",30.0,0.75 cup (1 NLEA serving),0.186,0.384,,10.84,0.396,,0.0,,6,,,,,,,,,,,,,,,,1.3,,28,,,,,,,150,,0,,,,5.292,0.042,,0.01,0.017,,,,,,,,,,,502,,0.002,,,,,,,,,,,,,0.45,0.000,1.59,0.330,0.4,150,0.003,0.528,,0.68,,0.000,,,,,,,,,,0.367,62.0,,,,,,,,500,120.0,,,,,,,,100.0,,106.0,,,,1.59,4.8,,1.59,4.8,,25.41,,,0.0,43,,,,,,,,1.1,,8.0,0.328,,,,,,0.0,,6.0,,,,,
5,"""08013""","Cereals ready-to-eat, GENERAL MILLS, CHEERIOS",28.0,1.0 cup (1 NLEA serving),0.448,0.672,,1.26,0.364,,0.0,,6,,,,,,,,,,,,,,,,2.8,,45,,,,,,,277,,0,,,,5.012,0.108,,0.033,0.019,,,,,,,,,,,436,,0.004,,,,,,,,,,,,,0.028,0.000,1.90,0.644,0.6,277,0.008,0.501,,0.79,,0.000,1.0,,,,,,,,,0.613,177.0,,,,,,,,924,104.0,,,,,,,,194.0,0.998,200.0,,,,1.9,7.3,,1.9,7.3,,20.5,,,0.0,40,,,,,,,,1.0,,32.0,0.638,,0.0,,,,0.0,,6.0,,,,,
6,"""08037""","Cereals ready-to-eat, granola, homemade",122.0,1.0 cup,4.828,9.527,,24.16,0.669,1.192,0.018,0.000,102,,,,0.77,,,,,,,,,,,,10.9,,167,,,,,,,,,0,,16.68,0,3.342,0.789,,0.64,0.745,,0.0,102,,0.0,102,,0.584,,,2496,,0.456,,,,,,,,,,,,,0.432,0.002,0.00,13.360,6.5,1,1.211,0.451,0.077,2.82,,0.005,,,,,,,,,,8.777,658.0,,0.803,29.66,0.072,,,,23,597.0,,0.227,,0,0.462,0.065,31.0,0.0,4.875,102.0,0.666,1.943,526.0,0.0,60.0,0.815,0.0,60.0,0.815,65.73,,,0.0,,,,,,1.56,,0.161,0.0,0.852,205.0,13.18,0.426,,,,,0.0,,1.5,,,,,
7,"""08290""","Cereals ready-to-eat, HEALTH VALLEY, FIBER 7 Flakes",31.0,0.75 cup (1 NLEA serving),0.081,0.189,,6.2,0.164,,0.0,,6,,,,,,,,,,,,,,,,4.4,,0,,,,,,,33,,0,,,,2.187,0.148,,0.004,0.011,,,,,,,,,,,458,,0.001,,,,,,,,,,,,,0.186,0.000,0.66,0.076,0.7,33,0.001,0.219,,0.93,,0.000,,,,,,,,,,0.178,149.0,,,,,,,,,109.0,,,,,,,,38.0,1.001,44.0,,,,0.66,11.2,,0.66,11.2,,24.23,,,0.0,,,,,,,,,0.0,,45.0,0.075,,,,,,0.0,,1.3,,,,,
8,"""08493""","Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS",33.0,1.0 cup (1 NLEA serving),0.241,0.221,,14.72,0.373,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,4.996,,,,,,,,,,,,,,,539,,,,,,,,,,,,,,,0.422,,1.50,0.182,0.0,,,,,0.98,,,1.0,,,,,,,,,,,,,,,,,,500,129.0,,,,,,,,194.0,,200.0,,,,,,,,,,28.81,,,,,,,,,,,,1.0,,8.0,,,,,,,,,,,,,,
9,"""08347""","Cereals ready-to-eat, MALT-O-MEAL, BERRY COLOSSAL CRUNCH",30.0,0.75 cup (1 NLEA serving),0.364,0.299,,12.5,0.375,,0.0,,6,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,5.001,0.036,,0.128,0.010,,,,,,,,,,,497,,0.003,,,,,,,,,,,,,0.423,0.000,1.50,0.382,0.0,25,0.002,0.498,,0.78,,0.000,1.0,,,,,,,,,0.285,33.0,,,,,,,,500,119.0,,,,,,,,194.0,,200.0,,,,1.5,,,1.5,,,25.96,,,,,,,,,,,,1.0,,3.0,0.381,,,,,,0.0,,6.0,,,,,
