,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""20001""","Amaranth grain, uncooked",193.0,1.0 cup,2.816,5.362,0.02,3.26,0.224,1.696,,,,0.081,2.30,1.046,1.442,,,0.93,,0.027,0.0,4.360,2.434,,,0.0,12.9,,54,0.0,,1.542,,,,0,,,,,,1.781,1.013,0.000,0.430,0.081,0.52,0.0,158,,0.0,158,,1.077,0.000,0.02,2999,,0.021,46.0,14.69,0.369,,,,0.37,3.157,307.0,,,,0.386,,0.00,3.252,,0,0.000,1.141,0.035,5.56,1.33,,5.56,1.33,,,,,,,0.0,5.28,980.0,130.5,1.347,13.55,0.000,,,,4.0,716.0,,0.349,110.53,0,0.635,0.100,36.1,0,6.433,158,1.123,2.227,1075.0,0.0,134.7,2.216,0.0,134.7,2.216,125.93,,,0.0,,,,,,2.046,,0.000,0.0,1.310,479.0,3.225,0.751,0.0,,,,,,,0.56,0.436,0.000,0.0,
1,"""20003""",Arrowroot flour,128.0,1.0 cup,0.024,0.058,,,,,,,,,,,0.017,,,,,,,,,,,,4.4,,,,,,,,,0,,,,,,0.0,0.051,,0.001,0.012,,,,,,,,0.015,,,1912,,0.001,,,,,,,,,,,,,,,0.00,0.003,,0,,,,0.1,,,0.1,,,,,,,,,0.046,14.0,,0.012,0.13,0.000,,,,0.0,457.0,,0.005,,0,0.012,,,0,0.602,9,0.013,0.022,6.0,,,,,,,112.83,,,,,,,,,0.015,,,0.0,0.018,4.0,0.003,0.005,,,,,,,,,,,,
2,"""20130""",Barley flour or meal,148.0,1.0 cup,0.496,1.141,,1.18,0.548,1.055,0.000,,12.0,,,,0.579,,,,,,,,,,,,14.9,,237,,,,,,,,,0,,,,9.278,0.508,,0.018,0.114,,,,,,,,0.527,,,2136,,0.012,,,,,,,,,,,,,0.169,,0.00,0.303,3.3,0,0.006,0.586,,1.89,,0.000,1.89,,0.000,,,,,,,1.029,457.0,96.9,1.846,2.37,0.006,,,,0.0,511.0,,0.259,,0,0.445,,55.8,0,1.530,12,0.567,0.423,438.0,0.0,55.9,0.656,0.0,55.9,0.656,110.29,,,0.0,,,,,,0.778,,0.000,0.0,0.762,142.0,0.249,0.349,,,,,0.0,,,,,,,
3,"""20131""",Barley malt flour,162.0,1.0 cup,0.625,1.544,,1.3,0.501,1.209,0.000,,62.0,,,,0.867,,,,,,,,,,,,11.5,,259,,,,,,,,,0,,,,9.13,0.437,,0.024,0.154,,,,,,,,0.659,,,2446,,0.015,,,,,,,,,,,,,0.499,,0.00,0.411,3.6,2,0.008,1.061,,2.22,,0.000,2.22,,0.000,,,,,,,1.392,363.0,,1.819,2.98,0.008,,,,31.0,585.0,,0.214,,0,0.552,,61.1,0,1.933,62,0.585,0.572,491.0,0.0,,0.753,0.0,,0.753,126.85,,,0.0,,,,,,1.354,,0.000,0.0,0.815,157.0,0.335,0.446,,,,,0.0,,1.0,,,,,
4,"""20004""","Barley, hulled",184.0,1.0 cup,0.887,2.039,,1.47,1.189,1.560,0.000,,35.0,,,,0.856,,,,,,,,,,,,31.8,,294,,,,,,,,,0,,,,8.471,0.916,,0.031,0.202,,,,,,,,0.78,,,2725,,0.020,,,,,,,,,,,,,0.524,,0.00,0.543,4.0,2,0.011,0.585,,4.21,,0.000,4.21,,0.000,,,,,,,1.838,832.0,,2.731,4.23,0.011,,,,40.0,651.0,,0.383,,0,0.659,,69.4,0,3.575,35,0.839,0.756,486.0,0.0,,0.970,0.0,,0.970,135.2,,,0.0,,,,,,1.15,,0.000,0.0,1.126,245.0,0.443,0.517,,,,,0.0,,,,,,,
5,"""20006""","Barley, pearled, cooked",157.0,1.0 cup,0.146,0.336,,0.44,0.130,0.242,0.000,,25.0,,,,0.132,,,,,,,,,,,,6.0,,88,,,,,,,,,0,,,,3.239,0.165,,0.005,0.033,,,,,,,,0.121,,,809,,0.003,,,,,,,,,,,,,0.097,,0.00,0.089,1.3,0,0.002,0.181,,0.42,,0.000,0.42,,0.000,,,,,,,0.303,146.0,,0.422,0.69,0.002,,,,11.0,193.0,,0.06,,0,0.102,,13.5,0,0.407,25,0.13,0.124,85.0,0.0,21.0,0.149,0.0,21.0,0.149,44.31,,,0.0,,,,,,0.177,,0.000,0.0,0.174,35.0,0.074,0.080,,,,,0.0,,,,,,,
6,"""20005""","Barley, pearled, raw",200.0,1.0 cup,0.488,1.120,,1.6,0.382,1.346,0.000,,46.0,,,,0.738,,,,,,,,,,,,31.2,,320,,,,,,,,,0,,,,9.208,0.84,,0.016,0.110,,,,,,,,0.674,,,2946,,0.012,,,,,,,,,,,,,0.228,,0.00,0.298,4.4,2,0.006,0.52,,2.22,,0.000,2.22,,0.000,,,,,,,1.01,560.0,,2.356,2.32,0.006,,,,44.0,704.0,,0.33,,0,0.568,,75.4,0,2.644,46,0.724,0.416,442.0,0.0,75.6,0.836,0.0,75.6,0.836,155.44,,,0.0,,,,,,0.992,,0.000,0.0,0.972,158.0,0.244,0.446,,,,,0.0,,,,,,,
7,"""20008""",Buckwheat,170.0,1.0 cup,1.26,1.766,,,,,0.000,,51.0,,,,1.142,,,,,,,,,,,,17.0,,,,,,,,,0,,,,,,11.934,1.87,,0.080,0.133,,,,,,,,0.86,,,2440,,0.043,,,,,,,,,,,,,0.723,,0.00,1.768,,0,0.017,0.357,,3.57,,0.020,3.57,,0.020,,,,,,,1.634,782.0,,0.862,5.78,0.039,,,,0.0,583.0,,0.326,,0,0.41,,14.1,0,2.210,51,0.847,0.765,590.0,0.0,,1.165,0.0,,1.165,121.55,,,,,,,,,1.669,,0.031,0.0,1.153,393.0,1.680,0.525,,,,,,,,,,,,
8,"""20011""","Buckwheat flour, whole-groat",120.0,1.0 cup,0.812,1.139,,3.12,0.500,0.950,0.000,,65.0,,,,0.768,,,,,,,,,,,,12.0,,264,,,,,,,,,0,,,,7.38,0.618,,0.052,0.085,,,,,,,,0.578,,,1682,,0.028,,,,,,,8.57,1.177,49.0,,,,0.228,,0.00,1.139,8.4,0,0.011,0.698,,3.05,0.54,0.013,3.05,0.54,0.013,,,,,,,1.052,692.0,,0.578,3.72,0.025,,,,0.0,402.0,,0.22,,0,0.276,,6.8,0,2.436,65,0.569,0.493,404.0,0.0,65.0,0.782,0.0,65.0,0.782,84.71,,,0.0,,,,,,1.122,,0.019,0.0,0.775,301.0,1.082,0.353,,,,,0.0,,,,,,,
9,"""20010""","Buckwheat groats, roasted, cooked",168.0,1.0 cup,0.225,0.316,0.17,1.51,0.067,0.356,0.000,,24.0,,,,0.289,,,,,,,,,,,,4.5,,101,,,,,,,,,0,,,,1.579,0.245,,0.015,0.024,0.34,,,,,,,0.217,,,647,,0.007,,,,,,,,,,,,,0.066,,0.00,0.316,3.2,0,0.003,0.129,,0.72,,0.003,0.72,,0.003,,,,,,,0.292,148.0,0.8,0.217,1.04,0.007,,,,0.0,155.0,,0.082,,0,0.104,,3.7,0,0.677,24,0.213,0.138,118.0,0.0,33.8,0.294,0.0,33.8,0.294,33.5,,,0.0,,,,,,0.42,,0.005,0.0,0.291,86.0,0.301,0.133,,,,,0.0,,,,,,,
