,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""43205""","Beverage, instant breakfast powder, chocolate, not reconstituted",7.4,1.0 tbsp,0.041,0.021,,4.87,0.063,,0.000,,0,,,,,,,,,,,,,,,,0.0,,0,,,,,,,46,,2,,,,1.054,0.105,,0.016,0.002,,,,,,,,,,,109,,0.002,,,,,,,,,,,,,0.015,0.000,0.13,0.023,6.7,46,0.000,0.084,,0.38,,0.000,0.0,,,,,,,,,0.018,70.0,,,,,,,,154.0,26.0,,,,,,,,,,21.0,,,,0.07,11.0,,0.07,11.0,,4.9,,,0.0,,,,,,,,,0.0,,17.0,0.022,,,,,,21.0,,5.7,,,,,
1,"""43260""","Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",5.6,1.0 tbsp,0.121,0.058,,2.18,0.084,,0.001,,0,,,,,,,,,,,,,,,,0.1,,0,,,,,,,150,,3,,,,1.434,0.146,,0.047,0.006,,,,,,,,,,,84,,0.005,,,,,,,,,,,,,0.020,0.000,0.17,0.067,6.7,150,0.001,0.112,,0.6,,0.000,0.0,,,,,,,,,0.051,95.0,,,,,,,,502.0,20.0,,,,,,,,,,28.0,,,,0.11,14.9,,0.11,14.9,,2.3,,,0.0,,,,,,,,,0.0,,23.0,0.064,,,,,,34.0,,7.7,,,,,
2,"""01003""","Butter oil, anhydrous",12.8,1.0 tbsp,7.926,0.473,,0.0,0.000,0.003,0.244,,0,,,,0.003,,,,,,,,,,,,,,0,,,,,,,105,,0,,,,0.000,0.0,,1.543,0.185,,,,,,,,0.002,,,469,,1.281,,,,,,,,,,,,,0.001,0.000,0.00,3.678,1.1,108,0.358,0.0,,0.0,,,0.0,,,,,,,,,0.288,1.0,,0.003,12.73,0.285,,,,393.0,112.0,,0.001,,33,0.002,,0.0,,,0.0,0.002,3.349,0.0,0.00,2.9,0.002,0.00,2.9,0.002,0.0,,,0.0,,,,,,0.001,0.0,0.319,,0.002,0.0,3.203,0.001,,,,,0.0,,,,,,,
3,"""01001""","Butter, salted",5.0,"1.0 pat (1"" sq, 1/3"" high)",2.568,0.152,,0.0,0.000,0.004,0.100,,0,0.016,0.12,0.002,0.003,,0.1,0.0,0.149,0.005,,,,,,,,,0,,,,,,,34,,0,,,,0.002,0.0,0.028,0.5,0.016,,,,,,,,0.002,,,150,0.149,0.372,,,,0.015,0.81,0,0.0,0.001,1.0,,,,0.002,0.000,0.01,1.051,0.3,34,0.129,0.0,,0.11,0.00,,,,0,0.048,32.0,0.161,,,,0.136,1.0,0.0,0.004,4.06,0.048,,,,125.0,36.0,,0.001,,11,0.002,0.007,0.1,0,,0.0,0.003,1.085,1.0,0.00,0.9,0.002,0.00,0.9,0.002,0.0,,,0.0,,0.849,0.108,0,0.006,0.002,0.0,0.126,0.0,0.003,0.0,0.998,0.001,,,,,0.0,,,0.0,0.001,0.059,,
4,"""01002""","Butter, whipped, with salt",3.8,"1.0 pat (1"" sq, 1/3"" high)",1.725,0.127,,0.0,0.000,0.003,0.052,0.001,0,0.011,0.05,0.002,0.003,0.000,0.1,0.0,0.073,0.006,0.0,0.007,0.002,0.006,,0.001,0.0,0.000,0,0.8,0.00,0.001,,,,25,,0,,,,0.001,0.0,0.018,0.291,0.011,,0.030,0,0.003,0.030,0,0.003,0.001,0.000,,116,0.082,0.286,,,,0.019,0.64,0,0.0,0.001,1.0,0.009,5,0.03,0.002,0.001,0.00,0.755,0.2,26,0.089,0.0,0.001,0.06,0.00,0.000,0.0,0.001,,0.044,22.0,0.062,,,,0.103,2.0,0.0,0.003,2.98,0.054,0.019,,,94.0,28.0,0.000,0.0,,9,0.002,0.004,0.0,0,0.000,0.0,0.002,0.78,1.0,0.00,0.7,0.002,0.00,0.7,0.002,0.0,,,0.0,0,0.587,0.068,,0.004,0.001,0.0,0.077,0.0,0.002,0.0,0.660,0.001,0.0,0.003,0.005,0.101,0.0,,,0.0,0.001,0.033,,
5,"""01145""","Butter, without salt",5.0,"1.0 pat (1"" sq, 1/3"" high)",2.524,0.150,,0.0,0.000,0.004,0.100,,0,0.016,0.12,0.002,0.003,,0.1,0.0,0.149,0.005,,,,,,,,,0,,,,,,,34,,0,,,,0.002,0.001,0.028,0.5,0.059,,,,,,,,0.002,,,150,,0.372,,,,,,,0.0,0.001,1.0,,,,0.002,0.000,0.01,1.171,0.3,34,0.129,0.0,,0.0,0.00,,,,0,0.048,1.0,0.161,,,,0.091,1.0,,0.004,4.06,0.091,,,,125.0,36.0,,0.001,,11,0.002,0.007,0.1,0,0.000,0.0,0.003,1.085,1.0,0.00,0.9,0.002,0.00,0.9,0.002,0.0,,,0.0,,0.849,0.108,0,0.006,0.002,0.0,0.126,0.0,0.003,0.0,1.020,0.001,,,,,0.0,,,0.0,0.001,0.059,,
6,"""01045""","Cheese food, cold pack, American",28.35,1.0 oz,4.353,0.204,,,,,0.133,,1,,,,0.553,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.021,0.009,,0.795,0.073,,,,,,,,0.181,,,393,,0.712,,,,,,,,,,,,,0.126,,0.36,2.031,,,0.206,0.04,,1.26,,,,,,,,,,,,0.131,103.0,,0.567,6.93,0.183,,,,200.0,94.0,,0.081,,18,0.305,,4.6,0,0.003,1.0,0.258,1.93,113.0,,,,,,,2.36,,,,,,,,,0.233,,0.168,,,,1.705,0.227,,,,,,,,,,,,
7,"""01046""","Cheese food, pasteurized process, American, vitamin D fortified",113.0,1.0 cup,17.014,1.185,0.00,6.32,0.040,1.799,0.502,0.007,8,0.137,0.71,0.937,1.471,0.000,39.5,0.02,0.757,0.215,0.0,3.949,1.346,0.060,,0.009,,0.002,0,,,,0.028,,0.008,221,,0,,,,0.175,0.038,0.182,2.939,0.139,0.00,0.237,8,0.032,0.237,8,0.032,0.814,0.002,0.00,1562,0.857,2.794,,,,0.180,49.72,0,0.07,0.364,771.0,0.098,73,0.297,0.407,0.009,1.50,7.736,3.8,227,0.840,0.115,0.020,5.6,0.01,0.000,2.8,0.009,,0.405,1451.0,0.582,0.20,0.020,0.0,0.911,288.0,1.6,2.087,28.96,0.503,0.180,,0.00,860.0,373.0,0.001,0.272,,111,0.941,0.044,22.1,0,0.028,8.0,0.97,7.726,495.0,0.00,40.9,1.053,0.00,40.9,1.053,9.67,0.000,,0.0,115,5.963,0.712,,0.966,0.693,0.0,0.750,2.8,1.141,31.0,6.720,0.506,0.0,0.031,0.041,1.036,0.0,0.06,,0.02,0.429,0.312,6.11,0.019
8,"""01254""","Cheese food, pasteurized process, American, without added vitamin D",113.0,1.0 cup,17.014,1.185,0.00,6.32,0.040,1.799,0.502,0.007,8,0.137,0.71,0.937,1.471,0.000,39.5,0.02,0.757,0.215,0.0,3.949,1.346,0.060,,0.009,0.0,0.002,26,10.1,0.02,0.585,0.028,,0.008,266,,0,,,,0.175,0.038,0.182,2.939,0.139,0.00,0.237,8,0.032,0.237,8,0.032,0.814,0.002,0.00,1562,0.857,2.794,,,,0.180,49.72,12,0.07,0.364,771.0,0.098,66,0.297,0.407,0.009,1.50,7.736,2.9,271,0.840,0.115,0.020,5.6,0.01,0.000,2.8,0.009,,0.405,1628.0,0.582,0.20,0.020,0.0,0.911,288.0,1.1,2.087,28.96,0.503,0.180,,0.00,1006.0,373.0,0.001,0.272,,111,0.941,0.044,22.1,0,0.028,8.0,0.97,7.726,495.0,0.00,33.8,1.053,0.00,33.8,1.053,9.67,0.000,,1.0,115,5.963,0.712,,0.966,0.693,0.0,0.750,2.8,1.141,31.0,6.720,0.506,0.0,0.031,0.041,1.036,0.0,0.06,,0.02,0.429,0.312,6.11,0.019
9,"""01047""","Cheese food, pasteurized process, swiss",28.35,1.0 oz,4.391,0.170,,,,,0.134,,2,,,,0.617,,,,,,,,,,,,0.0,,,,,,,,,66,,,,,,0.029,0.009,,0.712,0.077,,,,,,,,0.202,,,383,,0.764,,,,,,,,,,,,,0.113,0.000,0.65,1.928,,67,0.155,0.01,,1.64,,0.000,,,,,,,,,,0.094,81.0,,0.632,6.84,0.185,,,,243.0,92.0,,0.09,,23,0.34,,4.6,0,0.003,2.0,0.287,1.967,149.0,,,,,,,1.28,,,,,,,,,0.26,,0.156,,,,1.613,0.253,,,,,,,,,,,,
