,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""21527""","ARBY'S, roast beef sandwich, classic",149.0,1.0 sandwich,5.065,2.625,2.23,5.72,0.323,,0.0,0.006,,0.226,,,,,,,,,0.0,,,0.077,,0.003,1.9,0.000,,,,,,,,,,,,,,6.471,0.162,0.118,1.651,0.237,2.00,0.092,,0.015,,,,,,,1511,0.516,0.298,,,,0.064,74.37,,,,,0.030,,0.048,0.428,0.007,1.43,5.941,,,0.0,0.320,0.013,3.59,,0.000,,,,0.384,973.0,0.0,0.00,0.012,,2.312,334.0,31.7,,,,0.064,,0.00,,,,,,,,,,,,,,,,,,,,,,33.09,0.000,,,,,2.183,,,,,,,,,5.306,,,0.015,0.033,0.580,,,,,,,0.0,0.066
1,"""21251""","BURGER KING, Cheeseburger",133.0,1.0 item,9.1,2.023,2.46,5.97,0.403,1.450,0.065,,,0.164,0.13,0.878,1.25,,,0.0,,0.032,,,,0.110,,0.007,1.3,,,,,,,,,,,,0.213,19.38,,4.522,0.146,0.185,2.6,0.164,0.00,0.117,,0.015,,,,0.665,,0.97,1593,,0.910,,,,,,,0.64,1.184,124.0,,,,0.319,0.000,,7.586,7.6,,0.14,0.120,0.013,3.09,0.19,0.000,,,,,,,0.20,0.000,,1.811,237.0,,1.556,19.7,0.610,,,,,,,0.106,24.74,60,0.572,0.037,32.5,,,,0.745,4.765,190.0,,,,,,,31.53,,,,,,1.673,,0.306,1.024,,0.100,,,,6.716,0.492,0.9,,,,,,,0.0,0.399,0.057,0.09,
2,"""21256""","BURGER KING, Chicken Strips",36.0,1.0 strip,0.972,2.654,0.00,0.0,0.032,0.529,0.0,0.004,,0.107,1.41,0.490,0.551,0.001,,0.08,0.005,0.024,0.0,1.087,0.551,0.002,,0.003,0.5,0.000,30,,,,,,,1,,,0.014,6.55,0,2.866,0.026,0.004,0.163,0.114,0.00,0.0,,0.003,,,,0.274,0.008,0.00,440,0.005,0.012,,,,0.016,15.49,0,2.82,0.288,5.0,0.000,1,0.001,0.049,0.000,0.05,1.513,2.3,1,0.001,0.145,0.010,1.1,0.26,0.001,,,,0.018,309.0,0.0,0.00,0.001,,2.514,113.0,,0.544,5.49,0.018,0.016,,0.00,4.0,105.0,0.001,0.076,7.41,16,0.184,0.020,5.8,,,,0.288,0.751,105.0,,,,,,,7.38,0.000,,0.0,,1.461,2.494,,0.396,0.414,,0.000,,,,1.467,0.223,11.7,0.003,0.014,0.022,,,,0.03,0.176,0.002,0.0,0.004
3,"""21385""","BURGER KING, CROISSAN'WICH with Egg and Cheese",110.0,1.0 item,5.243,3.223,0.98,4.43,0.267,0.952,,,,0.296,1.22,0.581,0.603,,,0.0,,0.037,0.0,2.823,0.848,,,0.000,0.8,,,,,,,,,,,,,,,2.257,0.081,0.036,1.265,0.296,0.70,0.031,,0.000,,,,0.396,0.000,0.88,1300,,0.382,,,,,,,5.21,0.370,254.0,,,,0.469,,0.58,7.335,10.4,,0.107,0.129,0.028,2.95,2.01,,,,,,,,0.00,,,2.861,185.0,,0.971,17.36,0.178,,,,,,,0.11,19.32,153,0.433,0.032,24.4,,,,0.535,2.994,274.0,,,,,,,27.27,,,,,,,,,0.532,,0.165,,,,7.087,0.289,8.8,,,,,,,0.0,0.254,0.193,1.88,
4,"""21384""","BURGER KING, CROISSAN'WICH with Sausage and Cheese",131.0,1.0 item,11.259,4.079,1.22,4.4,0.431,1.372,,,,0.196,1.28,0.769,1.073,,,0.0,,0.176,0.0,4.028,1.313,0.000,,0.106,0.9,,,,,,,,,,,,,,,5.358,0.094,0.100,3.416,0.196,0.98,0.02,,0.000,,,,0.629,0.000,1.03,2061,,0.677,,,,,,,4.4,0.889,140.0,,,,0.415,,0.72,15.753,8.5,,0.141,0.238,0.016,3.6,1.87,,,,,,,,0.00,,,3.699,269.0,,1.339,33.34,0.579,,,,,,,0.145,23.23,56,0.607,0.064,27.4,,,,0.757,6.608,207.0,,,,,,,30.13,,,,,,,,,0.889,,0.122,,,,14.977,0.538,15.2,,,,,,,0.0,0.342,0.054,1.17,
5,"""21383""","BURGER KING, CROISSAN'WICH with Sausage, Egg and Cheese",171.0,1.0 sandwich,14.265,7.203,1.54,5.34,0.405,1.589,0.06,0.029,,0.313,2.63,0.927,1.041,0.005,,0.34,0.171,0.185,0.0,4.102,1.671,0.055,,0.116,3.1,0.007,,,,,,,,291,,,0.171,20.67,,4.709,0.120,0.097,3.032,0.328,1.62,0.039,,0.036,,,,0.778,0.015,1.08,2204,0.188,0.658,,,,0.067,82.25,,2.26,0.860,154.0,0.019,,0.056,0.633,0.002,0.87,13.403,16.2,291,0.144,0.272,0.027,3.63,0.36,0.005,,,,0.443,987.0,0.08,0.00,0.014,,6.493,270.0,,1.869,37.24,0.462,0.067,,0.00,971.0,527.0,0.000,0.181,21.94,210,0.58,0.084,42.4,,,,0.942,9.846,236.0,,,,,,,27.19,0.000,,,,,6.385,,1.282,1.058,,0.115,,,,12.659,0.563,15.0,0.031,0.159,0.257,,,,0.97,0.496,0.048,1.09,0.039
6,"""21506""","BURGER KING, Double Cheeseburger",162.0,1.0 sandwich,11.214,1.968,2.92,6.76,,,0.104,0.010,,0.168,,,,,,,,,0.0,,,0.160,,0.008,,,,,,,,,,,,,,,,,,,3.246,0.170,2.38,0.209,,0.032,,,,,,,1913,0.970,1.110,,,,0.168,76.74,,,,,0.084,,0.154,,,,9.848,,,0.207,,0.016,3.61,,0.026,,,,0.573,910.0,0.125,0.00,0.023,,1.665,374.0,,,,,0.168,,0.00,,,,,,,,,,,,,,,,,,,,,,28.24,0.000,,,,,1.361,,,,,,,,,8.703,,,0.028,0.047,1.137,,,,,,,0.81,0.138
7,"""21254""","BURGER KING, DOUBLE WHOPPER, no cheese",374.0,1.0 item,21.591,11.280,5.35,13.16,0.722,3.665,0.019,,86,1.178,,2.094,3.553,,,,,,,,,0.355,,0.022,5.2,,,,,,,,,,,,0.711,52.14,,12.08,0.449,0.546,6.713,1.178,0.00,0.359,224,0.034,,,,1.533,,2.13,3938,,1.391,,,,,,,,,,,,,0.711,0.000,,22.878,52.7,,0.228,0.426,0.075,5.12,,0.000,,,,,,,0.26,0.000,,9.956,718.0,,3.628,58.57,1.724,,,,,,,0.374,38.52,172,1.272,0.105,75.2,82,0.748,168,2.057,12.151,415.0,,,,,,,51.39,,,,,,9.746,,0.711,2.88,,0.049,,,,20.353,1.346,0.0,,,,,,,,,,0.0,
8,"""21255""","BURGER KING, DOUBLE WHOPPER, with cheese",399.0,1.0 item,27.922,11.918,5.07,14.4,1.065,4.229,0.367,,20,1.564,0.24,2.434,4.03,,,0.0,,,0.0,10.175,3.910,0.455,,0.000,6.4,,,,,,0.000,,,,,,0.798,57.74,,11.97,0.311,0.650,7.884,1.564,0.00,0.579,168,0.000,,,,1.596,0.000,2.19,4433,,2.450,,,,,,,0.84,3.751,311.0,,,,0.838,0.000,,25.129,45.9,,0.383,0.447,0.000,6.66,1.00,0.000,,,,,,,2.03,,,10.354,754.0,,4.908,68.07,1.943,,,,,,,0.399,40.30,188,1.516,0.000,67.8,88,0.559,108,2.354,15.242,511.0,,,,,,,53.94,,,,,,,,,3.032,,0.379,,,,22.148,1.476,1.2,,,,,,,0.0,1.157,,0.28,
9,"""21249""","BURGER KING, french fries",74.0,1.0 small serving,1.581,4.400,0.00,0.38,0.106,0.126,0.0,,,0.202,1.81,0.108,0.196,0.001,,0.0,0.010,0.027,0.0,0.373,0.501,0.004,,0.003,2.1,0.001,,,,,,,,,,,0.0,2.39,,1.601,0.094,0.007,0.232,0.214,0.38,0.0,,0.001,,,,0.081,0.012,0.00,867,0.010,0.023,,,,0.024,32.52,,3.52,0.070,13.0,0.000,,0.003,0.024,0.000,,2.42,8.2,,0.003,0.242,0.016,1.21,0.38,0.001,,,,0.019,206.0,0.004,0.00,,,4.18,346.0,0.4,0.098,9.24,0.019,0.024,,0.00,,,,0.021,26.62,,0.071,0.028,,,,,0.08,1.24,88.0,,,,,,,28.64,0.000,,,,,4.143,,0.363,0.135,,0.007,,,,2.367,0.048,43.2,0.000,0.002,0.034,,,,0.07,0.044,0.007,0.0,0.011
