,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""04609""","Animal fat, bacon grease",4.3,1.0 tsp,1.677,0.479,,0.0,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,0.000,,0.578,0.043,,,,,,,,,,,161,,0.056,,,,,,,,,,,,,,,0.00,1.930,,0,0.009,0.000,,0.02,,0.000,0.1,,,,,,,,,0.436,0,,,,,,,,0.0,39.0,,,,,,,,,,0.0,,,,0.00,1.8,,0.00,1.8,,0.0,,,0.0,4,,,,,,,,0.1,,0,1.763,,,,,,0.0,,,,,,,
1,"""43214""","Butter replacement, without fat, powder",80.0,1.0 cup,0.471,0.046,,4.24,0.000,,0.014,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,0.000,,0.089,0.014,,,,,,,,,,,1249,,0.074,,,,,,,,,,,,,,,0.00,0.221,,0,0.025,0.000,,2.4,,0.000,,,,,,,,,,0.031,2,,,,,,,,0.0,298.0,,,,,,,,,,0.0,,,,0.00,0.3,,0.00,0.3,,71.2,,,0.0,,,,,,,,,,,0,0.194,,,,,,0.0,,,,,,,
2,"""04601""","Butter, light, stick, with salt",14.0,1.0 tablespoon,4.805,0.286,,0.0,0.001,,0.148,,0,,,,,,,,,,,,,,,,,,0,,,,,,,64,,0,,,,0.003,0.000,,0.935,0.112,,,,,,,,,,,292,,0.777,,,,,,,,,,,,,0.010,0.000,0.02,2.230,0.7,65,0.217,0.001,,0.14,,0.000,0.0,,,,,,,,,0.174,10,,,,,,,,238.0,70.0,,,,,,,,0,,0.0,,,,0.00,1.8,,0.00,1.8,,0.0,,,0.0,,,,,,,,,0.0,,1,1.941,,,,,,0.0,,,,,,,
3,"""04602""","Butter, light, stick, without salt",14.0,1.0 tablespoon,4.805,0.286,,0.0,0.001,,0.148,,0,,,,,,,,,,,,,,,,,,0,,,,,,,64,,0,,,,0.003,0.000,,0.935,0.112,,,,,,,,,,,292,,0.777,,,,,,,,,,,,,0.010,0.000,0.02,2.230,0.7,65,0.217,0.001,,0.07,,0.000,0.0,,,,,,,,,0.174,10,,,,,,,,238.0,70.0,,,,,,,,0,,0.0,,,,0.00,1.8,,0.00,1.8,,0.0,,,0.0,,,,,,,,,0.0,,1,1.941,,,,,,0.0,,,,,,,
4,"""42116""","Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",15.0,1.0 tbsp,0.317,1.199,,0.85,0.002,,0.001,,1,,,,,,,,,,,,,,,,0.0,,12,,,,,,,1,,0,,,,0.003,0.000,,0.082,0.141,,,,,,,,,,,100,,0.005,,,,,,,,,,,,,0.002,0.000,0.01,0.491,0.5,2,0.001,0.004,,0.46,,0.000,,,,,,,,,,1.056,5,,,,,,,,21.0,24.0,,,,,,,,0,,1.0,,,,0.00,2.4,,0.00,2.4,,1.05,,,3.0,0,,,,,,,,0.0,,0,0.48,,,,,,0.0,,0.1,,,,,
5,"""42158""","Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, cholesterol-free",15.0,1.0 tbsp,0.203,0.434,,0.49,0.002,,0.001,,1,,,,,,,,,,,,,,,,0.0,,7,,,,,,,3,,0,,,,0.006,0.000,,0.064,0.031,,,,,,,,,,,88,,0.006,,,,,,,,,,,,,0.009,0.000,0.01,0.509,5.2,3,0.002,0.003,,0.3,,0.000,,,,,,,,,,0.402,7,,,,,,,,10.0,21.0,,,,,,,,0,,1.0,,,,0.00,2.4,,0.00,2.4,,2.4,,,0.0,0,,,,,,,,0.0,,1,0.501,,,,,,0.0,,,,,,,
6,"""42157""","Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",17.0,1.0 tbsp,0.084,0.245,,0.91,0.002,,0.001,,1,,,,,,,,,,,,,,,,0.0,,1,,,,,,,0,,0,,,,0.007,0.000,,0.021,0.029,,,,,,,,,,,76,,0.004,,,,,,,,,,,,,0.010,,0.00,0.109,0.4,0,0.001,0.003,,0.2,,0.000,,,,,,,,,,0.216,23,,,,,,,,1.0,18.0,,,,,,,,0,,1.0,,,,0.00,2.7,,0.00,2.7,,3.4,,,0.0,,,,,,,,,0.0,,1,0.105,,,,,,0.0,,,,,,,
7,"""04706""","Dressing, honey mustard, fat-free",30.0,2.0 tbsp (1 NLEA serving),0.105,0.086,,5.33,0.013,,0.003,,3,,,,,,,,,,,,,,,,0.4,,4,,,,,,,1,,0,,,,0.045,0.012,,0.02,0.030,,0.001,3,0.000,0.001,3,0.000,,,,212,,0.013,,,,,,,,,,,,,0.006,0.000,0.01,0.212,0.1,2,0.004,0.016,0.001,0.86,,0.072,,,,,,,,,,0.052,21,,,,,,,,5.0,51.0,0.005,,,,,,,0,0.035,3.0,,,,0.00,1.6,,0.00,1.6,,11.53,,,0.0,,,,,,,,,0.0,,4,0.101,,,,,,0.0,,0.6,,,,,
8,"""04001""","Fat, beef tallow",12.8,1.0 tbsp,6.374,0.512,,0.0,,,,,0,,,,0.0,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,0.000,,2.419,0.077,,,,,,,,0.000,,,483,,0.474,0.0,,,,,,,,,,,,,,0.00,5.350,,0,0.115,0.000,,0.0,,,0.1,,,,,,,,,0.397,0,,0.0,12.8,0.538,,,,0.0,115.0,,0.000,,14.0,0.000,,0.0,,,0.0,,3.187,0.0,0.00,10.2,,0.00,10.2,,0.0,,,0.0,4,,,,,0.0,,,0.1,,0,4.608,0.000,,,,,0.0,,,,,,,
9,"""04542""","Fat, chicken",12.8,1.0 tbsp,3.814,2.675,,0.0,,,,,0,,,,0.0,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,0.000,,0.768,0.128,,,,,,,,0.000,,,482,,0.115,0.0,,,,,,,,,,,,,,0.00,5.722,,0,0.013,0.000,,0.0,,,0.6,,,,,,,,,2.496,0,,0.0,12.77,0.730,,,,0.0,115.0,,0.000,,11.0,0.000,,0.0,,,0.0,,2.765,0.0,0.00,15.7,,0.00,15.7,,0.0,,,0.0,24,,,,,0.0,,,0.6,,0,4.774,0.000,,,,,0.0,,,,,,,
