,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""09427""","Abiyuch, raw",114.0,0.5 cup,0.016,,4.33,9.75,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,0.00,,,,,,,,,,,,114,79.0,,,,,,,,,,,,,,,,,,,,20.06,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,
1,"""09002""","Acerola juice, raw",242.0,1.0 cup,0.165,0.218,,10.89,0.048,,0.000,,34,,,,,,,,,,,,,,,,0.7,,41,,,,,,,,,0,,,,0.968,0.208,,0.039,0.106,,,,,,,,,,,232,,0.005,,,,,,,,,,,,,0.145,,0.00,0.198,3.4,60,0.0,0.010,,0.48,,0.000,,,,,,,,,,0.111,235.0,,,,,,,,1232,56.0,,,,,,,,0,,34.0,,,,0.0,,,0.0,,,11.62,,,0.0,,,,,,,,,,,,0.196,,,,,,0.0,,3872.0,,,,,
2,"""09001""","Acerola, (west indian cherry), raw",98.0,1.0 cup,0.067,0.088,,,,,0.000,,14,,,,,,,,,,,,,,,,1.1,,,,,,,,,0,,,,,,0.392,0.084,,0.016,0.043,,,,,,,,,,,131,,0.002,,,,,,,,,,,,,0.059,,0.00,0.08,,37,0.0,0.009,,0.2,,0.000,,,,,,,,,,0.045,143.0,,,,,,,,752,31.0,,,,,,,,0,,14.0,,,,,,,,,,7.54,,,,,,,,,,,,,,,0.079,,,,,,,,,,,,,
3,"""09400""","Apple juice, canned or bottled, unsweetened, with added ascorbic acid",248.0,1.0 cup,0.055,0.097,14.21,23.86,0.052,,,,0,,,,,,,,,,,,,,,,0.5,,40,,,,,,,,,0,,,,0.181,0.030,,0.005,0.017,6.52,,,,,,,,,,474,,0.002,,,,,,,,,,,,,0.042,,0.00,0.015,,0,0.0,0.045,,0.57,,0.000,,,,,,,,,0.0,0.082,250.0,0.2,,,,,,,2,114.0,,,,,,,,,0.184,0.0,,,,0.0,4.5,,0.0,4.5,,28.02,,,0.0,,,,,,,,,0.0,,12.0,0.012,,,,,,0.0,,95.5,,,,0.0,
4,"""09517""","Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",177.0,6.0 fl oz,0.051,0.090,10.09,16.76,0.007,,,,0,,,,,,,,,,,,,,,,0.5,,28,,,,,,,,,0,,,,0.119,0.018,,0.005,0.016,4.55,,,,,,,,,,356,,0.004,,,,,,,,,,,,,0.027,,0.00,0.014,,0,0.0,0.032,,0.55,,0.000,,,,,,,,,0.0,0.076,326.0,0.2,,,,,,,2,85.0,,,,,,,,,0.062,0.0,,,,0.0,3.2,,0.0,3.2,,20.34,,,0.0,,,,,,,,,0.0,,9.0,0.011,,,,,,0.0,,53.6,,,,0.0,
5,"""09016""","Apple juice, canned or bottled, unsweetened, without added ascorbic acid",248.0,1.0 cup,0.055,0.097,14.21,23.86,0.052,,,,0,,,,,,,,,,,,,,,,0.5,,40,,,,,,,,,0,,,,0.181,0.030,,0.005,0.017,6.52,,,,,,,,,,474,,0.002,,,,,,,,,,,,,0.042,,0.00,0.015,,0,0.0,0.045,,0.57,,0.000,,,,,,,,,0.0,0.082,250.0,0.2,,,,,,,2,114.0,,,,,,,,,0.184,0.0,,,,0.0,4.5,,0.0,4.5,,28.02,,,0.0,,,,,,,,,0.0,,12.0,0.012,,,,,,0.0,,2.2,,,,0.0,
6,"""09018""","Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",239.0,1.0 cup,0.043,0.074,,26.12,0.007,,,,0,,,,,,,,,,,,,,,,0.2,,38,,,,,,,,,0,,,,0.091,0.033,,0.005,0.010,,,,,,,,,,,471,,0.000,,,,,,,,,,,,,0.036,,0.00,0.005,,0,0.0,0.079,,0.76,,0.000,,,,,,,,,,0.065,301.0,0.2,,,,,,,0,112.0,,,,,,,,,0.151,0.0,,,,0.0,4.3,,0.0,4.3,,27.58,,,0.0,,,,,,,,,0.0,,12.0,0.005,,,,,,0.0,,1.4,,,,,
7,"""09411""","Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",239.0,1.0 cup,0.043,0.074,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,0,,,,,,0.091,0.033,,0.005,0.010,,,,,,,,,,,471,,,,,,,,,,,,,,,0.036,,0.00,0.005,,0,,,,0.76,,,,,,,,,,,,0.065,301.0,,,,,,,,0,112.0,,,,,,,,,0.151,0.0,,,,,,,,,,27.58,,,,,,,,,,,,0.0,,12.0,0.005,,,,,,,,,,,,,
8,"""09410""","Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",211.0,1.0 can (6 fl oz),0.127,0.228,,81.93,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.285,0.106,,0.017,0.040,,,,,,,,,,,1466,,0.004,,,,,,,,,,,,,0.114,,0.00,0.032,,0,0.002,0.245,,2.36,,,,,,,,,,,,0.188,945.0,,,,,,,,0,350.0,,,,,,,,0,0.475,2.0,,,,0.0,,,0.0,,,86.51,,,,,,,,,,,,0.0,,36.0,0.030,,,,,,,,,,,,,
9,"""09017""","Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",211.0,1.0 can (6 fl oz),0.127,0.228,,81.93,0.023,,0.000,,2,,,,,,,,,,,,,,,,0.8,,120,,,,,,,,,0,,,,0.285,0.106,,0.017,0.040,,,,,,,,,,,1466,,0.004,,,,,,,,,,,,,0.114,,0.00,0.032,,0,0.002,0.245,,2.36,,0.000,,,,,,,,,,0.188,945.0,,,,,,,,0,350.0,,,,,,,,0,0.475,2.0,,,,0.0,13.7,,0.0,13.7,,86.51,,,0.0,,,,,,,,,0.0,,36.0,0.030,,,,,,0.0,,4.4,,,,,
