,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)_x",20:3 n-3 (g)_x,Lutein + zeaxanthin (µg)_x,"Fiber, total dietary (g)_y",20:3 n-3 (g)_y,Lutein + zeaxanthin (µg)_y,"Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""17148""","Bison, ground, grass-fed, cooked",85.0,3.0 oz,2.966,0.342,,0.0,0.118,1.856,0.000,,14,,,,2.008,,,,,,,,,,,,,,0,,,0,,,0,,,0,0.27,21.63,0.0,5.071,0.128,,1.505,0.038,,,,,,,,0.982,,,638,,0.132,,,,,,,,,,,,,0.224,0.000,2.07,2.799,1.1,0,0.003,0.341,,0.87,,0.000,0.0,,,,,,,,,0.266,300,10.9,1.108,7.33,0.146,,,,0.0,152.0,,0.163,,60,0.736,,26.4,0,,14,1.045,1.320,181,0.0,82.6,0.900,0.0,82.6,0.900,0.0,,,0.0,,,,,,1.473,,0.003,0.0,1.165,20.0,2.63,0.793,,,,,0.0,,,,,,,
1,"""17149""","Bison, ground, grass-fed, raw",85.0,1.0 patty (cooked from 4 oz raw),2.479,0.286,,0.0,0.120,1.476,0.000,,10,,,,1.595,,,,,,,,,,,,,,0,,,0,,,0,,,0,0.215,17.2,0.0,4.524,0.119,,1.259,0.032,,,,,,,,0.78,,,519,,0.110,,,,,,,,,,,,,0.209,0.000,1.65,2.34,1.0,0,0.003,0.326,,0.77,,0.000,0.0,,,,,,,,,0.222,279,10.7,0.881,6.13,0.122,,,,0.0,124.0,,0.13,,47,0.585,,17.0,0,,10,0.83,1.103,165,0.0,72.9,0.716,0.0,72.9,0.716,0.04,,,0.0,,,,,,1.17,,0.003,0.0,0.926,18.0,2.198,0.631,,,,,0.0,,,,,,,
2,"""17330""","Game meat , bison, ground, raw",85.0,1.0 serving ( 3 oz ),5.782,0.637,,0.0,0.111,1.361,0.000,,9,,,,1.472,,,,,,0.0,2.584,1.550,0.097,,0.000,,,0,,,0,,,0,,,0,0.198,15.87,0.0,4.174,0.111,0.205,2.781,0.071,,0.02,9,0.006,,,,0.72,0.000,,795,,0.243,,,,,,,,,,,,,0.193,0.000,1.52,5.289,,0,0.006,0.300,0.000,0.75,,0.000,,,,,,,,,,0.491,261,,0.813,13.54,0.270,,,,0.0,190.0,,0.12,,60,0.54,0.025,15.9,0,0.008,9,0.766,2.439,154,,,,,,,0.0,,,0.0,,,,,,1.08,,0.006,,,,4.859,0.581,,,,,0.0,,,,,,,
3,"""17332""","Game meat , bison, top sirloin, separable lean only, 1"" steak, cooked, broiled",85.0,1.0 serving ( 3 oz ),2.05,0.226,,0.0,0.193,2.045,,,,,,,2.213,,,,,,0.0,3.884,2.330,0.034,,,,,0,,,0,,,0,,,0,0.298,23.84,0.0,4.735,0.179,0.073,0.986,0.025,,0.007,15,0.002,,,,1.082,0.000,,607,,0.086,,,,,,,,,,,,,0.38,,2.41,1.875,,0,0.002,0.473,0.000,0.99,,,,,,,,,,,,0.174,329,,1.221,4.8,0.096,,,,0.0,145.0,,0.18,,73,0.811,0.009,35.0,0,0.011,15,1.151,0.864,215,,,,,,,0.0,,,0.0,,,,,,1.623,,0.002,,,,1.723,0.874,,,,,0.0,,,,,,,
4,"""17145""","Game meat, antelope, cooked, roasted",85.0,3.0 oz,0.825,0.493,,,,,,,,,,,2.093,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.416,0.085,,,,,,,,1.158,,,534,,0.025,,,,,,,,,,,,,0.62,,,0.535,,,0.000,,,1.23,,,,,,,,,,,,0.281,316,,1.147,2.27,0.009,,,,0.0,128.0,,,,,0.869,,11.0,0,0.019,8,0.957,0.383,178,,,,,,,0.0,,,,,,,,,1.647,,0.000,,,,0.535,1.191,,,,,,,,,,,,
5,"""17144""","Game meat, antelope, raw",28.35,1.0 oz,0.21,0.125,,,,,,,,,,,0.53,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,,,,0.105,0.02,,,,,,,,0.293,,,135,,0.006,,,,,,,,,,,,,0.164,,,0.136,,0,0.000,,,0.31,,,,,,,,,,,,0.071,100,,0.291,0.58,0.003,,,,0.0,32.0,,,,,0.22,,2.7,,,,0.243,0.096,53,,,,,,,0.0,,,,,,,,,0.418,,0.000,,,,0.136,0.302,,,,,,,,,,,,
6,"""17147""","Game meat, bear, cooked, simmered",85.0,3.0 oz,3.009,2.04,,0.0,0.085,,0.000,,5,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,2.848,0.126,,0.654,0.042,,,,,,,,,,,921,,0.160,,,,,,,,,,,,,0.697,0.000,2.10,4.811,1.5,0,0.000,0.246,,0.96,,0.000,0.0,,,,,,,,,1.336,224,13.7,,,,,,,0.0,220.0,,,,,,,,0,,5,,,,0.0,104.0,,0.0,104.0,,0.0,,,0.0,,,,,,,,,0.0,,20.0,3.51,,0.0,,,,0.0,,,,,,,
7,"""17151""","Game meat, beaver, cooked, roasted",85.0,3.0 oz,1.759,1.148,,0.0,0.043,2.337,0.000,,9,,,,2.754,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,1.87,0.161,,0.272,0.238,,,,,,,,1.128,,,754,,0.153,,,,,,,,,,,,,0.264,0.000,7.06,1.607,1.4,0,0.000,0.399,,1.23,,0.000,0.0,,,,,,,,,0.909,343,14.5,1.062,5.92,0.204,,,,0.0,180.0,,,,,0.924,,36.6,0,,9,1.266,1.335,248,0.0,110.4,0.981,0.0,110.4,0.981,0.0,,,0.0,,,,,,1.82,,0.000,0.0,1.209,25.0,1.369,1.166,0.0,,,,0.0,,2.5,,,,,
8,"""17153""","Game meat, beefalo, composite of cuts, cooked, roasted",85.0,3.0 oz,2.278,0.17,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,4.156,,,1.02,0.051,,,,,,,,,,,669,,0.111,,,,,,,,,,,,,0.093,,2.17,2.278,,0,0.009,,,1.03,,,,,,,,,,,,0.128,390,,,,,,,,0.0,160.0,,,,,,,,0,,15,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,
9,"""17152""","Game meat, beefalo, composite of cuts, raw",28.35,1.0 oz,0.578,0.043,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,1.315,,,0.261,0.011,,,,,,,,,,,170,,0.028,,,,,,,,,,,,,0.026,,0.69,0.578,,0,0.000,,,0.26,,,,,,,,,,,,0.031,124,,,,,,,,0.0,41.0,,,,,,,,0,,4,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.516,,,,,,,,,,,,,
