,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""43212""","Bacon bits, meatless",7.0,1.0 tbsp,0.284,0.948,,0.0,0.042,,0.000,,9,,,,,,,,,,,,,,,,0.7,,0,,,,,,,,,0,,,,0.112,0.038,,0.072,0.104,,,,,,,,,,,139,,0.010,,,,,,,,,,,,,0.005,0.000,0.08,0.436,,0,0.015,0.006,,0.39,,0.000,0.39,,0.000,,,,,,,0.845,10.0,,,,,,,,0.0,33.0,,,,,,,,0,,9.0,,,,0.08,9.4,,0.08,9.4,,2.0,,,0.0,,,,,,,,,0.0,,7,0.436,,,,,,0.0,,0.1,,,,,
1,"""16104""","Bacon, meatless",144.0,1.0 cup,6.656,22.235,,0.0,6.336,1.316,0.000,,60,,,,1.047,,,,,,,,,,,,3.7,,0,,,,,,,,,0,,,,10.886,0.151,,1.683,2.428,,,,,,,,0.652,,,1863,,0.235,,,,,,,,,,,,,0.693,,0.00,10.217,0.0,6,0.353,0.690,,6.48,,0.000,6.48,,0.000,,,,,,,19.809,245.0,,0.926,42.51,0.000,,,,127.0,445.0,,0.232,,0,0.576,,10.7,0,0.295,60.0,0.805,4.385,101.0,0.0,64.8,0.901,0.0,64.8,0.901,7.65,,,0.0,,,,,,1.26,,0.000,0.0,0.854,27,10.217,0.431,,,,,0.0,,,,,,,
2,"""16302""","Beans, adzuki, mature seed, cooked, boiled, with salt",230.0,1.0 cup,0.083,0.048,,,,,,,,,,,1.304,,,,,,,,,,,,16.8,,,,,,,,,0,,,,,,1.649,0.685,,,,,,,,,,,0.587,,,1233,,,,,,,,,,,,,,,0.147,,0.00,0.021,,0,,,,3.06,,,3.06,,,,,,,,,0.048,1224.0,,0.761,0.23,,,,,14.0,294.0,,0.166,,0,0.515,,2.8,0,1.318,278.0,0.69,,386.0,,,,,,,56.97,,,,,,,,,1.118,,,0.0,0.890,120,0.021,0.455,,,,,,,,,,,,
3,"""16003""","Beans, adzuki, mature seeds, canned, sweetened",296.0,1.0 cup,0.033,0.018,,,,,,,,,,,0.847,,,,,,,,,,,,,,,,,,,,,0,,,,,,1.868,0.784,,,,,,,,,,,0.382,,,2936,,,,,,,,,,,,,,,0.166,,0.00,0.009,,0,,,,1.72,,,1.72,,,,,,,,,0.018,352.0,,0.494,0.09,,,,,15.0,702.0,,0.107,,0,0.334,,9.5,0,1.492,317.0,0.447,,219.0,,,,,,,162.83,,,,,,,,,0.728,,,0.0,0.580,92,0.009,0.296,,,,,,,,,,,,
4,"""16002""","Beans, adzuki, mature seeds, cooked, boiled, without salt",230.0,1.0 cup,0.083,0.048,,,,,,,,,,,1.304,,,,,,,,,,,,16.8,,,,,,,,,0,,,,,,1.649,0.685,,,,,,,,,,,0.587,,,1233,,,,,,,,,,,,,,,0.147,,0.00,0.021,,0,,,,3.06,,,3.06,,,,,,,,,0.048,1224.0,,0.761,0.23,,,,,14.0,294.0,,0.166,,0,0.515,,2.8,0,1.318,278.0,0.69,,386.0,,,,,,,56.97,,,,,,,,,1.118,,,0.0,0.890,120,0.021,0.455,,,,,,,,,,,,
5,"""16001""","Beans, adzuki, mature seeds, raw",197.0,1.0 cup,0.376,0.223,,,,,,,,,,,2.949,,,,,,,,,,,,25.0,,,,,,,,,0,,,,,,5.181,2.155,,,,,,,,,,,1.328,,,2713,,,150.0,9.81,0.362,,,,,,,,,,0.433,,0.00,0.099,,2,,,,6.42,,,6.42,,,,,,,,,0.223,2470.0,,1.722,1.04,,,,,33.0,648.0,,0.376,,0,1.164,,6.1,0,3.408,1225.0,1.558,,751.0,,,,,,,123.91,,,,,,,,,2.529,,,0.0,2.015,250,0.099,1.032,,,,,,,,,,,,
6,"""43449""","Beans, baked, canned, no salt added",253.0,1.0 cup,0.261,0.435,,19.68,0.379,,0.000,,61,,,,,,,,,,,,,,,,13.9,,40,,,,,,,,,0,,,,1.088,0.521,,0.015,0.197,,,,,,,,,,,1108,,0.000,,,,,,,,,,,,,0.152,,0.00,0.089,2.0,13,0.000,0.329,,4.33,,0.000,4.33,,0.000,,,,,,,0.235,749.0,,,,,,,,268.0,266.0,,,,,,,,0,,61.0,,,,0.0,77.9,,0.0,77.9,,51.84,,,0.0,,,,,,,,,0.0,,81,0.089,,,,,,0.0,,7.8,,,,,
7,"""16006""","Beans, baked, canned, plain or vegetarian",254.0,1.0 cup,0.18,0.307,3.96,20.22,0.244,1.029,0.000,,30,0.13,0.38,0.678,0.757,,,0.0,,,0.0,2.032,1.603,,,0.000,10.4,,41,,,,,,0.000,,,0,0.000,12.06,1298,1.087,0.368,0.000,0.058,0.038,4.04,0.0,30,,0.0,30,,0.378,,0.00,998,0.000,0.003,,,,,,,1.8,0.472,86.0,,,,0.099,,0.00,0.241,2.0,13,0.000,0.213,,4.45,0.13,0.000,4.45,0.13,0.000,,,,,,0.0,0.14,569.0,0.3,0.61,0.94,0.003,,,,274.0,239.0,,0.130,18.75,0,0.307,0.000,12.7,0,0.277,30.0,0.574,0.119,188.0,0.0,80.0,0.813,0.0,80.0,0.813,53.7,,,0.0,,0.168,,,,0.582,,0.000,0.0,0.660,69,0.074,0.335,0.0,,,,0.0,,,0.0,0.119,,0.0,
8,"""16007""","Beans, baked, canned, with beef",266.0,1.0 cup,4.461,0.545,,,,,,,,,,,1.202,,,,,,,,,,,,,,,,,,,,,0,,,,,,2.5,0.798,,1.655,0.141,,,,,,,,0.713,,,1346,,0.322,,,,,,,,,,,,,0.120,,0.00,3.684,,29,0.077,0.239,,5.16,,,5.16,,,,,,,,,0.378,851.0,,0.739,9.18,0.367,,,,567.0,322.0,,0.205,,59,0.484,,25.5,0,1.596,114.0,0.742,2.282,215.0,,,,,,,44.98,,,,,,,,,1.067,,,0.0,0.878,66,3.179,0.484,,,,,,,,,,,,
9,"""16008""","Beans, baked, canned, with franks",259.0,1.0 cup,6.092,2.165,,16.91,0.150,1.383,0.000,,78,,,,1.222,,,,,,,,,,,,17.9,,34,,,,,,,,,0,,,,2.334,0.552,,1.945,0.539,,,,,,,,0.723,,,1544,,0.280,,,,,,,,,,,,,0.145,0.000,0.88,7.33,2.6,10,0.031,0.119,,5.05,,0.000,5.05,,0.000,,,,,,,1.627,609.0,,0.751,17.02,0.689,,,,225.0,368.0,,0.199,,16,0.492,,16.8,0,1.088,78.0,0.769,2.098,269.0,0.0,90.4,0.925,0.0,90.4,0.925,39.86,,,0.0,,,,,,1.106,,0.041,0.0,0.894,73,6.641,0.492,,,,,0.0,,6.0,,,,,
