,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""32035""","BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",72.0,1.0 patty,3.083,1.192,0.00,0.2,0.045,,0.0,0.008,9,0.045,0.21,,,,,0.0,0.161,0.081,0.0,,,0.031,,0.024,0.7,0.003,,,,,,,,,,,,,,0.994,0.06,0.045,0.901,0.047,0.20,0.042,,0.013,0.042,,0.013,,,,468,0.171,0.142,,,,0.038,52.9,,0.0,,37.0,0.010,,0.017,0.086,0.002,0.27,3.714,,,0.006,0.101,0.004,1.14,0.00,0.001,,,,0.297,372.0,0.004,0.00,0.004,,1.067,102.0,,,,,0.038,,0.00,,,,,,,,,,,,,,,,,,,,,,5.01,0.000,,,,,1.007,,,,,,,,,3.251,,,0.010,0.025,0.210,,,,0.0,,,0.0,0.022
1,"""22402""","Beef macaroni with tomato sauce, frozen entree, reduced fat",269.0,1.0 serving,1.192,0.613,,10.22,0.312,1.143,0.0,,22,,,,0.898,,,,,,0.0,3.814,1.227,0.011,,0.000,3.8,,13,,,,,,0.000,,,0,0.097,15.84,13977.0,4.858,0.331,0.022,0.385,0.065,,0.013,129,0.000,0.013,129,0.000,0.576,,,1278,,0.051,,,,,,,,,,,,,0.247,0.000,0.78,2.195,7.0,22,0.005,0.315,,3.09,,0.000,,,,,,,,,,0.541,543.0,,1.114,5.27,0.097,,,,409.0,304.0,0.000,0.143,,27.0,0.401,0.008,32.8,62.0,0.468,83.0,0.629,0.702,175.0,0.0,47.9,0.640,0.0,47.9,0.640,48.39,,,3.0,0,,,,,0.831,,0.0,0.0,0.707,46.0,2.058,0.438,,,,,0.0,,10.5,,,,,
2,"""22529""","Beef Pot Pie, frozen entree, prepared",268.0,"1.0 pie, cooked (average weight)",11.119,3.918,0.21,,,,0.0,,8,,,,1.123,,,0.0,,0.153,0.0,4.143,1.453,0.121,0.000,0.072,2.1,,,5.9,0.05,0.992,,,,,,,,,,4.376,0.08,0.161,4.012,0.174,2.06,0.067,75,0.000,0.067,75,0.000,0.716,,4.45,2463,,0.474,,,,,,,1.9,0.992,38.0,,,,0.233,0.000,0.86,14.236,7.2,,0.005,0.356,0.019,3.38,0.35,0.000,,,,,,,,,,3.605,308.0,37.8,1.474,30.53,0.657,,,,,,,0.206,37.87,56.0,0.536,0.067,14.2,40.0,0.555,48.0,0.726,6.325,180.0,,,,,,,59.09,,,,,,,,,1.077,,0.013,,,,13.239,0.501,8.8,,,,,,,0.0,0.356,,0.0,
3,"""22905""","Beef stew, canned entree",196.0,1.0 cup (1 serving),4.283,0.492,0.65,3.45,0.143,0.531,0.0,,27,,,,0.468,,110.7,0.0,,0.071,,,,0.125,,0.000,1.8,,8,,,,,,,,,0,,,,2.148,0.276,0.129,1.319,0.067,1.86,0.11,27,0.000,0.11,27,0.000,0.308,,0.00,809,,0.331,,,,,,,0.02,0.494,24.0,,,,0.104,0.000,0.98,4.984,12.2,22,0.02,0.171,0.000,2.8,0.00,0.020,,,,,,,,,,0.392,319.0,3.5,0.408,10.84,0.445,,,,437.0,194.0,0.000,0.039,10.64,25.0,0.165,0.014,9.2,0.0,0.116,27.0,0.29,2.415,82.0,0.0,30.6,0.306,0.0,30.6,0.306,15.39,,,104.0,0,,,,,0.392,,0.0,0.0,0.357,16.0,4.214,0.202,,,,,0.0,,1.4,0.0,0.176,,0.0,
4,"""22908""","Beef, corned beef hash, with potato, canned",236.0,1.0 cup,10.195,0.708,,0.8,0.163,1.015,0.0,,17,,,,1.071,,,,,,,,,,,,2.6,,12,,,,,,,,,0,0.113,20.6,0.0,3.71,0.0,,2.837,0.153,,,,,,,,0.526,,,1621,,0.807,,,,,,,,,,,,,0.118,0.000,0.97,12.414,4.2,0,0.045,0.545,,3.54,,0.000,,,,,,,,,,0.552,406.0,,0.609,24.17,1.81,,,,0.0,387.0,,0.111,,76.0,0.439,,17.7,0.0,0.198,17.0,0.597,6.006,132.0,0.0,36.8,0.538,0.0,36.8,0.538,21.88,,,0.0,,,,,,0.819,,0.068,0.0,0.680,31.0,10.594,0.401,,,,,0.0,,2.1,,,,,
5,"""22918""","Burrito, bean and cheese, frozen",129.0,1.0 burrito,1.732,4.004,0.00,4.14,0.37,,0.019,0.003,75,0.575,0.48,,,,,0.39,0.031,0.021,0.0,,,0.006,,0.003,4.4,0.000,46,,,,,,,6,,0,,,,3.199,0.166,0.014,0.4,0.575,0.00,0.008,178,0.001,0.008,178,0.001,,,,1193,0.035,0.107,,,,0.018,65.78,14,4.62,,67.0,0.004,31,0.013,0.184,0.001,0.10,1.674,9.8,10,0.034,0.11,0.019,2.1,1.69,0.000,,,,0.021,453.0,0.027,,,0.0,3.417,271.0,,,,,0.018,,0.57,88.0,285.0,0.000,,,,,,,61.0,0.526,135.0,,,,0.0,28.8,,0.0,28.8,,43.87,0.000,,1.0,0,1.584,3.39,,0.520,,,,0.0,,40.0,1.615,,,0.001,0.004,0.053,0.0,,0.4,0.0,,0.014,0.05,0.009
6,"""22917""","Burrito, beef and bean, frozen",139.0,1.0 burrito frozen,4.099,1.888,,0.97,0.546,,0.0,,24,,,,,,,,,,,,,,,,5.8,,72,,,,,,,0,,,,,,4.016,0.293,0.000,1.357,0.221,,0.0,171,,0.0,171,,,,,1389,,0.272,,,,,,,,,,,,,0.328,0.000,,5.267,9.5,15,0.0,0.125,,2.52,,0.000,,,,,,,,,,1.667,307.0,,,,,,,,295.0,332.0,,,,,,,,86.0,0.669,111.0,,,,,,,,,,42.87,,,0.0,,,,,,,,,,,,4.868,,2.6,,,,,,,,,,,
7,"""22928""","Burrito, beef and bean, microwaved",116.0,1.0 burrito cooked,4.724,2.045,0.16,1.58,0.535,,0.0,,27,,,,,,,,,,,,,,,,8.0,,74,,,,,,,,,0,,,,4.137,0.264,0.087,1.564,0.244,0.00,0.042,131,,0.042,131,,,,,1447,,0.306,,,,,,,,,,,,,0.267,0.000,0.16,5.841,8.7,15,0.0,0.153,,2.6,,0.000,,,,,,,,,0.0,1.801,314.0,39.4,,,,,,,303.0,346.0,,,,,,,,61.0,0.616,88.0,,,,0.0,32.6,,0.0,32.6,,45.18,,,0.0,,,,,,,,,,,,5.364,,2.8,,,,0.0,,1.2,,,,0.0,
8,"""22906""","Chicken pot pie, frozen entree, prepared",302.0,1.0 pie,13.182,9.972,0.30,6.83,0.314,1.262,0.009,0.021,36,0.71,1.60,0.737,0.945,0.009,,0.79,0.169,0.199,0.0,3.983,1.268,0.048,,0.103,3.3,0.012,272,29.9,0.12,0.824,,,,,,0,0.060,15.43,6.0,5.65,0.127,0.088,5.98,0.746,1.48,0.021,151,0.039,0.021,151,0.039,0.637,0.036,2.99,2576,0.184,0.302,,,,0.072,188.99,0,6.49,0.722,60.0,0.012,1024,0.03,0.124,0.003,0.33,10.911,32.3,103,0.033,0.278,,3.77,2.30,0.015,,,,0.616,1187.0,0.015,0.30,0.015,0.0,8.972,332.0,38.4,1.607,35.79,0.628,0.072,,1.27,2038.0,616.0,0.000,0.214,43.07,45.0,0.513,0.082,16.3,66.0,0.565,106.0,0.67,6.556,217.0,0.0,37.4,0.737,0.0,37.4,0.737,58.01,0.003,,399.0,6,9.830,8.873,,1.111,0.933,,0.03,0.3,0.755,33.0,10.002,0.501,15.4,0.024,0.069,0.257,0.0,,3.0,0.0,0.290,0.009,0.45,0.027
9,"""22978""","Chicken tenders, breaded, frozen, prepared",21.0,1.0 piece,0.512,1.309,0.00,0.12,0.028,0.191,0.0,0.002,4,0.071,0.47,0.099,0.201,0.001,,0.0,0.005,0.014,0.0,0.440,0.229,0.001,,0.002,0.4,0.000,9,1.4,0.03,0.135,,,,1,,0,0.018,3.07,0.0,1.243,0.018,0.003,0.097,0.075,0.03,0.001,7,0.002,0.001,7,0.002,0.087,0.004,0.03,211,0.005,0.005,,,,0.007,11.51,1,1.36,0.117,8.0,0.000,2,0.001,0.013,0.000,0.04,0.857,3.7,1,0.001,0.071,0.006,0.44,0.18,0.001,,,,0.037,111.0,0.0,,0.001,0.0,1.22,59.0,1.5,0.18,2.85,0.037,0.007,,0.07,8.0,50.0,0.001,0.031,2.77,8.0,0.077,0.009,4.1,1.0,0.065,6.0,0.076,0.384,42.0,0.0,9.7,0.120,0.0,9.7,0.120,3.12,0.000,,0.0,1,0.796,1.212,,0.136,0.155,,0.001,0.0,0.086,6.0,0.801,0.077,0.8,0.002,0.006,0.012,0.0,,0.1,0.12,0.060,0.001,0.0,0.002
