,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""10998""","Canadian bacon, cooked, pan-fried",13.8,1.0 slice,0.143,0.067,0.00,0.17,0.092,0.317,0.000,0.002,1,0.002,0.06,0.160,0.342,0.000,,0.0,0.001,0.003,0.0,0.588,0.360,0.001,,0.002,,0.000,0,0.7,0.0,0.22,0.7,0.0,0.22,,,0,0.013,3.91,0.0,1.378,0.009,0.001,0.045,0.002,0.04,0.000,1,0.002,0.000,1,0.002,0.169,0.000,0.00,84,0.001,0.005,,,,0.000,8.62,0.0,0.03,0.174,1.0,,0.0,0.0,0.026,0.000,0.06,0.173,0.0,0,0.000,0.039,,0.63,0.01,0.000,0.0,0.000,,0.012,137.0,0.0,,0.001,0.0,0.05,138.0,0.6,0.156,0.38,0.012,0.0,,0.12,0.0,20.0,,0.046,,9,0.152,0.001,7.0,0,0.002,1,0.182,0.089,43.0,0.0,14.5,0.161,0.0,14.5,0.161,0.25,0.000,,0.0,1,0.156,0.05,,0.099,0.248,0.0,0.002,0.0,0.195,4.0,0.157,0.156,0.0,,0.009,0.001,0.0,,,0.0,0.105,,0.0,0.000
1,"""10130""","Canadian bacon, unprepared",85.0,3.0 oz,0.765,0.397,0.00,0.77,0.434,1.416,0.000,0.007,3,0.01,0.19,0.715,1.53,0.001,,0.0,0.005,0.019,0.0,2.628,1.609,0.004,,0.011,,0.003,0,3.0,0.0,0.985,3.0,0.0,0.985,,,0,0.06,17.26,0.0,6.143,0.045,0.006,0.24,0.010,0.17,0.000,3,0.009,0.000,3,0.009,0.757,,0.00,392,0.005,0.026,,,,0.001,61.49,0.0,0.04,0.778,5.0,,0.0,0.002,0.12,0.001,0.31,0.927,,0,0.003,0.205,0.002,2.87,0.00,0.001,0.1,0.000,,0.056,638.0,0.0,,0.003,0.0,0.315,581.0,2.9,0.695,2.23,0.056,0.001,,0.59,0.0,94.0,,0.205,,41,0.682,0.004,31.5,0,0.013,3,0.814,0.474,204.0,0.0,64.7,0.718,0.0,64.7,0.718,1.14,0.000,,0.0,5,0.842,0.311,,0.518,1.108,0.0,0.008,0.1,0.870,17.0,0.847,0.700,0.0,,0.042,0.006,0.0,,,0.0,0.472,,0.0,0.003
2,"""10856""","HORMEL ALWAYS TENDER, Boneless Pork Loin, Fresh Pork",28.0,1.0 oz,0.795,0.179,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,0.014,,,,,,,,,,,171,,0.025,,,,,,,,,,,,,,,,0.958,,,0.000,,,0.47,,,,,,,,,,,,0.165,87.0,,,,,,,,0.0,41.0,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,0.899,,,,,,,,,,,,,
3,"""10855""","HORMEL ALWAYS TENDER, Center Cut Chops, Fresh Pork",28.35,1.0 oz,1.021,0.235,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354,0.026,,,,,,,,,,,198,,0.031,,,,,,,,,,,,,,,,1.256,,,0.000,,,0.46,,,,,,,,,,,,0.213,87.0,,,,,,,,0.0,47.0,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,1.185,,,,,,,,,,,,,
4,"""10854""","HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored",28.0,1.0 oz,0.395,0.168,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132,0.014,,,,,,,,,,,138,,0.014,,,,,,,,,,,,,,,,0.512,,,0.000,,,0.75,,,,,,,,,,,,0.157,152.0,,,,,,,,0.0,33.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.482,,,,,,,,,,,,,
5,"""10853""","HORMEL ALWAYS TENDER, Pork Tenderloin, Peppercorn-Flavored",112.0,4.0 oz,1.299,1.176,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.403,0.112,,,,,,,,,,,516,,0.045,,,,,,,,,,,,,,,,1.624,,,0.000,,,3.06,,,,,,,,,,,,0.963,656.0,,,,,,,,0.0,123.0,,,,,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,1.534,,,,,,,,,,,,,
6,"""10852""","HORMEL ALWAYS TENDER, Pork Tenderloin, Teriyaki-Flavored",112.0,4.0 oz,1.176,0.672,,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381,0.034,,,,,,,,,,,559,,0.045,,,,,,,,,,,,,,,,1.411,,,0.000,,,2.46,,,,,,,,,,,,0.627,600.0,,,,,,,,0.0,133.0,,,,,,,,,,,,,,,,,,,,5.19,,,,,,,,,,,,,,,1.322,,,,,,,,,,,,,
7,"""10857""",HORMEL Canadian Style Bacon,56.0,1.0 serving,1.025,0.347,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,0.022,,,,,,,,,,,286,,0.039,,,,,,,,,,,,,,,,1.394,,,0.000,,,1.88,,,,,,,,,,,,0.33,156.0,,,,,,,,0.0,68.0,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,
8,"""10851""","HORMEL, Cure 81 Ham",84.0,1.0 serving,0.983,0.311,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336,0.017,,,,,,,,,,,373,,0.034,,,,,,,,,,,,,,,,1.47,,,0.000,,,2.96,,,,,,,,,,,,0.286,268.0,,,,,,,,0.0,89.0,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,1.369,,,,,,,,,,,,,
9,"""10981""","Pork loin, fresh, backribs, bone-in, cooked-roasted, lean only",85.0,3.0 oz,5.288,2.37,,0.0,0.407,1.689,,,0,0.088,0.23,0.853,1.825,0.000,,,,,0.0,3.136,1.920,0.0,,0.082,,,0,,,,,,,3,,0,0.071,20.53,0.0,6.701,0.091,0.050,1.737,0.099,,,0,0.010,,0,0.010,0.903,0.000,,909,0.099,0.191,,,,0.037,48.94,0.0,,,,,,,0.296,0.000,0.64,6.499,0.0,3,0.013,0.368,0.000,0.92,,0.000,1.0,0.000,,,,,,,,2.1,212.0,2.7,0.83,15.0,0.323,0.026,,,13.0,217.0,,0.244,,71,0.813,0.023,28.6,,0.009,0,0.972,3.249,145.0,0.0,70.5,0.857,0.0,70.5,0.857,0.0,,,0.0,39,5.978,2.074,,1.117,1.323,,0.016,1.0,1.038,14.0,6.077,0.835,0.0,,,,0.0,,,,,,,
