,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ)_x,"Fatty acids, total trans-monoenoic (g)_x",14:0 (g)_x,Energy (kJ)_y,"Fatty acids, total trans-monoenoic (g)_y",14:0 (g)_y,"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""05111""","Canada Goose, breast meat only, skinless, raw",85.0,3.0 oz,0.518,0.295,,0.0,0.241,,0.0,0.004,,0.028,0.48,,,,,0.0,0.006,0.005,0.0,,,0.000,,0.002,,0.001,0,,,,,,,9,,0,,,,5.576,0.377,0.003,0.176,0.028,,0.0,,0.004,0.0,,0.004,,,,474,0.006,0.007,474,0.006,0.007,0.001,60.16,0.0,0.05,,3.0,,0.0,0.002,1.295,0.003,3.48,0.694,,9,0.0,0.915,0.002,1.2,0.00,,,,,0.05,42.0,0.0,,,,0.193,286,,,,,0.001,,,32.0,113.0,0.000,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,0.633,0.192,,,,,,,,,0.639,,,0.003,0.053,0.007,0.0,,,0.0,,,,
1,"""05326""","Chicken breast tenders, breaded, cooked, microwaved",85.0,3.0 oz,2.72,2.372,,0.0,0.275,0.942,0.0,,10,,,,0.909,,,,,,,,,,,,,,0,,,,,,,,,0,0.093,13.9,0.0,5.537,0.269,0.000,0.476,0.085,,0.0,10,,0.0,10,,0.52,,,895,,0.000,895,,0.000,,,,,,,,,,0.083,0.000,0.37,4.854,3.6,0,0.0,0.031,,1.59,,0.000,,,,,,,,,,2.287,191,25.7,0.638,10.96,0.468,,,,0.0,214.0,,0.172,,38.0,0.301,0.000,26.0,0.0,0.200,10,0.567,2.244,184,0.0,34.7,0.501,0.0,34.7,0.501,14.93,,,0.0,,,,,,0.788,,0.000,,,,4.386,0.394,,,,,0.0,,,,,,,
2,"""05327""","Chicken breast tenders, breaded, uncooked",85.0,3.0 oz,2.771,2.839,0.00,0.31,0.179,0.866,0.0,,10,,,,0.84,,,,,,,,,,,,0.9,,0,,,,,,,,,0,0.064,12.52,0.0,4.854,0.174,0.000,0.518,0.122,0.13,0.0,10,,0.0,10,,0.473,,0.13,936,,0.000,936,,0.000,,,,,,,,,,0.077,0.000,0.23,5.508,12.5,0,0.0,0.035,,1.5,,0.000,,,,,,,,,0.0,2.717,182,10.6,0.574,13.39,0.433,,,,0.0,224.0,,0.156,11.32,35.0,0.281,0.000,21.0,0.0,0.195,10,0.513,2.252,179,0.0,81.9,0.457,0.0,81.9,0.457,12.76,,,0.0,8,,,,,0.683,,0.000,0.2,0.560,20.0,5.043,0.370,13.0,,,,0.0,,0.7,,,,0.0,
3,"""05324""","Chicken patty, frozen, cooked",85.0,3.0 oz,3.113,4.084,,0.0,0.071,0.855,0.0,,6,,,,0.826,,,0.0,,,,,,,,,0.3,,0,,,,,,,,,0,0.085,12.62,0.0,4.049,0.076,0.000,0.562,0.106,,0.0,6,,0.0,6,,0.473,,,1021,,0.000,1021,,0.000,,,,1.88,0.550,16.0,,,,0.061,0.000,0.25,7.086,3.6,0,0.0,0.156,,1.63,0.56,0.000,,,,,,,,,,3.978,222,21.2,0.581,16.64,0.583,,,,0.0,244.0,,0.156,8.80,37.0,0.273,0.000,19.8,0.0,0.221,6,0.515,2.551,177,0.0,28.7,0.455,0.0,28.7,0.455,10.91,,,0.0,9,,,,,0.716,,0.000,0.3,0.552,20.0,6.503,0.358,,,,,0.0,,,0.76,0.257,0.000,,
4,"""05323""","Chicken patty, frozen, uncooked",85.0,3.0 oz,3.411,4.423,,0.0,0.062,0.842,0.0,,4,,,,0.817,,,0.0,,,,,,,,,1.0,,0,,,,,,,9,,0,0.064,12.18,0.0,5.635,0.176,0.000,0.675,0.132,,0.0,4,,0.0,4,,0.461,,,1039,,0.000,1039,,0.000,,,,2.43,0.523,17.0,,,,0.046,0.000,0.2,7.633,9.4,9,0.0,0.132,,1.68,0.84,0.000,,,,,,,,,,4.292,211,19.0,0.558,17.03,0.587,,,,31.0,248.0,,0.151,5.50,38.0,0.274,0.000,18.2,0.0,0.216,4,0.498,2.736,167,0.0,38.1,0.445,0.0,38.1,0.445,11.57,,,0.0,,,,,,0.665,,0.000,,,,7.045,0.360,,,,,0.0,,,0.47,0.248,0.000,,
5,"""05746""","Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",85.0,3.0 oz,0.858,0.672,,0.0,0.083,2.254,0.0,0.020,,0.022,0.28,1.100,2.621,0.000,,0.0,0.009,0.015,0.0,4.037,2.563,0.002,,0.009,,0.001,0,,,,,,,8,,0,,,,8.032,0.037,0.003,0.179,0.022,,0.004,,0.019,0.004,,0.019,1.222,0.000,,560,0.009,0.016,560,0.009,0.016,0.002,55.52,0.0,0.06,1.206,5.0,,0.0,0.003,0.159,0.003,0.17,1.084,3.7,8,0.004,0.783,,1.01,0.01,0.000,0.0,,,0.132,40.0,0.0,,,,0.511,292,8.5,0.866,2.75,0.132,0.002,,,28.0,133.0,0.000,0.343,,99.0,0.982,0.002,27.1,,,,1.337,0.634,205,0.0,99.5,1.039,0.0,99.5,1.039,0.0,,,0.0,1,0.922,0.508,,1.347,1.843,,0.013,0.0,1.411,27.0,0.932,1.016,,0.018,0.073,0.011,0.0,,,0.0,0.709,,,
6,"""05747""","Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled",85.0,3.0 oz,0.843,0.649,,0.0,0.091,2.148,0.0,0.019,,0.02,0.46,1.048,2.496,0.000,,0.0,0.008,0.014,0.0,3.845,2.441,0.002,,0.009,,,0,9.4,0.00,1.516,9.4,0.00,1.516,8,,0,,,,10.313,0.036,0.003,0.201,0.02,,0.004,,0.017,0.004,,0.017,1.165,0.000,,536,0.008,0.016,536,0.008,0.016,0.001,56.22,0.0,0.08,1.149,4.0,,0.0,0.004,0.181,0.003,0.18,1.03,0.0,8,0.004,0.983,0.003,1.13,0.00,,0.0,,,0.125,44.0,0.0,,,,0.494,332,8.1,0.825,2.69,0.125,0.001,,,27.0,128.0,0.000,0.327,,88.0,0.935,0.002,24.1,,,,1.273,0.598,219,0.0,94.7,0.989,0.0,94.7,0.989,0.0,,,0.0,1,0.876,0.492,,1.454,1.755,,0.012,0.0,1.344,29.0,0.885,0.967,0.0,0.017,0.072,0.009,0.0,,,0.0,0.675,,,
7,"""05062""","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",113.0,4.0 oz,0.636,0.479,,0.0,0.106,2.103,0.0,0.015,10,0.015,0.63,1.026,2.444,0.000,,0.0,0.007,0.011,0.0,3.766,2.391,0.002,,0.007,,,0,9.5,0.00,1.484,9.5,0.00,1.484,10,,0,,,,10.848,0.042,0.003,0.146,0.015,,0.003,10,0.014,0.003,10,0.014,1.14,0.000,,566,0.007,0.012,566,0.007,0.012,0.001,83.51,0.0,0.1,1.125,6.0,,0.0,0.003,0.2,0.003,0.24,0.779,0.0,10,0.005,0.916,0.003,1.28,0.00,,0.0,,,0.094,51.0,0.0,,,,0.36,377,7.9,0.808,2.96,0.094,0.001,,,34.0,136.0,0.000,0.32,,82.0,0.915,0.001,25.8,0.0,0.012,10,1.248,0.444,241,0.0,92.8,0.970,0.0,92.8,0.970,0.0,,,0.0,1,0.659,0.358,,1.689,1.719,,0.019,0.0,1.316,32.0,0.667,0.948,0.0,0.014,0.054,0.008,0.0,,,0.0,0.661,,,
8,"""05748""","Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, braised",85.0,3.0 oz,1.014,0.674,,0.0,0.064,1.986,0.0,0.017,,0.02,0.36,0.969,2.308,0.000,,0.0,0.009,0.019,0.0,3.556,2.258,0.002,,0.008,,,0,,,,,,,8,,0,,,,7.797,0.029,0.003,0.228,0.02,,0.006,,0.017,0.006,,0.017,1.076,0.000,,518,0.009,0.018,518,0.009,0.018,0.003,57.84,0.0,0.04,1.062,4.0,,0.0,0.003,0.142,0.003,0.14,1.34,,8,0.003,0.818,0.004,1.12,0.00,,0.0,,,0.17,146.0,0.0,,,,0.531,266,,0.762,3.07,0.170,0.003,,,26.0,123.0,0.000,0.303,,84.0,0.864,0.003,34.2,,,,1.177,0.741,184,0.0,,0.915,0.0,,0.915,0.0,,,0.0,1,1.134,0.527,,1.062,1.623,,0.010,0.0,1.243,24.0,1.143,0.895,,0.017,0.065,0.012,0.0,,,0.0,0.624,,,
9,"""05749""","Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, grilled",85.0,3.0 oz,0.86,0.606,,0.0,0.067,2.074,0.0,0.015,,0.019,0.28,1.012,2.411,0.000,,0.0,0.009,0.016,0.0,3.714,2.358,0.000,,0.008,,,0,,,,,,,8,,0,,,,9.407,0.029,0.003,0.191,0.019,,0.004,,0.015,0.004,,0.015,1.125,0.000,,528,0.009,0.016,528,0.009,0.016,0.003,56.56,0.0,0.09,1.110,5.0,,0.0,0.002,0.193,0.003,0.17,1.126,,8,0.004,0.836,0.003,1.43,0.00,,0.0,,,0.146,183.0,0.0,,,,0.482,357,3.1,0.796,2.88,0.146,0.003,,,27.0,126.0,0.000,0.316,,90.0,0.903,0.002,36.0,,,,1.23,0.626,212,0.0,91.5,0.956,0.0,91.5,0.956,0.0,,,0.0,1,0.949,0.477,,1.262,1.696,,0.013,0.0,1.298,26.0,0.959,0.935,,0.015,0.059,0.011,0.0,,,0.0,0.652,,,
