,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""07921""",Bacon and beef sticks,28.0,1.0 oz,4.48,1.204,,0.22,0.168,0.485,0.000,,1,,,,0.511,,,,,,,,,,,,,,0,,,,,,,,,0,,,,1.363,0.022,,1.12,0.092,,,,,,,,0.269,,,606,,0.143,,,,,,,,,,,,,0.08,0.000,0.53,6.132,0.4,0,0.011,0.140,,1.2,,0.000,,,,,,,,,,0.804,108.0,,0.333,12.38,0.473,,,,0,145,,0.059,,29.0,0.199,,7.3,0,0.011,1,0.272,2.128,40.0,,,,,,,0.22,,,0.0,,,,,,0.424,,0.017,,,,4.312,0.196,,,,,0.0,,,,,,,
1,"""07974""","Bacon, turkey, low sodium",15.0,1.0 serving,1.0,0.641,,0.0,0.004,0.188,0.000,0.001,1,,,,0.222,,,,,,0.0,0.369,0.218,0.001,,0.001,,,0,,,,,,,1,,0,,,,0.933,0.009,0.005,0.27,0.165,,0.001,1,,0.001,1,,0.098,,,159,,0.020,,,,,,,,,,,,,0.027,0.001,0.1,1.286,1.6,1,0.006,0.060,0.021,0.44,,0.000,0.0,0.000,,,,,,,,0.466,23.0,,0.159,3.0,0.022,,,,4,38,0.000,0.028,,15.0,0.08,0.041,2.9,0,0.002,1,0.078,0.632,22.0,0.00,8.5,0.109,0.00,8.5,0.109,0.72,,,0.0,2,,,,,0.159,,0.002,0.0,0.088,3.0,1.236,0.073,,,,,0.0,,3.6,,,,,
2,"""07973""","Bacon, turkey, microwaved",8.1,1.0 slice,0.562,0.557,0.02,0.34,0.004,,0.000,0.003,1,0.027,0.01,,,,,,,,0.0,,,0.003,,0.003,,0.000,0,,,,,,,2,,0,,,,0.656,0.01,0.005,0.146,0.029,0.01,0.003,1,0.002,0.003,1,0.002,,,,125,0.019,0.018,,,,0.005,2.79,0.0,,,,0.001,0.0,0.003,0.032,0.002,0.15,0.76,0.0,2,0.003,0.030,0.001,0.55,,0.000,0.1,0.000,,0.06,164.0,0.0,,,,0.501,54.0,0.4,,,,0.005,,0.32,5,30,0.000,,,,,,,0,0.003,1,,,,0.00,7.1,,0.00,7.1,,0.34,0.000,,0.0,4,0.665,0.494,,0.080,,,,0.1,,2.0,0.682,,,0.002,0.014,0.023,0.0,,,,,,,
3,"""07254""","Bacon, turkey, unprepared",14.0,1.0 serving,0.633,0.658,,,,,0.000,0.003,1,0.034,0.02,,,,,0.0,0.019,0.012,0.0,,,0.003,,0.004,,,,,,,,,,1,,0,0.046,2.23,0.0,0.564,0.01,0.006,0.162,0.035,,0.003,,0.002,0.003,,0.002,,,,132,0.021,0.020,,,,0.005,8.66,0.0,0.0,,11.0,0.002,0.0,0.003,0.033,0.001,0.17,0.871,,1,0.004,0.034,0.001,0.48,0.00,0.000,,,,0.068,150.0,0.0,,,,0.596,49.0,,,,,0.005,,0.33,5,32,0.000,,,,,,,,,,,,,,,,,,,0.26,0.000,,0.0,,0.764,0.588,,0.095,,,,,,,0.783,,,0.002,0.015,0.026,0.0,,,0.0,,0.000,,
4,"""07001""","Barbecue loaf, pork, beef",28.35,1.0 oz,0.899,0.230,,,,,0.000,,3,,,,0.374,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,0.642,0.02,,0.309,0.026,,,,,,,,0.194,,,205,,0.040,0.0,0.33,0.056,,,,,,,,,,0.07,0.000,0.48,1.174,,1,0.006,0.074,,1.15,,0.000,,,,,,,,,,0.204,93.0,,0.259,2.52,0.099,,,,19,49,,0.048,,10.0,0.153,,6.0,0,0.011,3,0.208,0.536,37.0,,,,,,,1.81,,,,,,,,,0.276,,0.011,0.3,0.225,5.0,1.077,0.147,,,,,,,,,,,,
5,"""43384""","Beef, bologna, reduced sodium",138.0,1.0 cup pieces,16.113,1.450,,0.0,0.083,,0.000,,7,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,3.629,0.041,,5.79,0.331,,,,,,,,,,,1793,,1.133,,,,,,,,,,,,,0.179,0.000,1.95,18.353,0.4,0,0.055,0.248,,4.28,,0.000,,,,,,,,,,1.119,214.0,6.6,,,,,,,0,428,,,,,,,,0,,7,,,,0.00,61.1,,0.00,61.1,,2.76,,,0.0,39,,,,,,,,1.0,,14.0,16.196,,,,,,0.0,,,,,,,
6,"""13358""","Beef, chopped, cured, smoked",28.0,1.0 slice (1 oz),0.507,0.064,,,,,0.000,,2,,,,0.461,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,1.282,0.007,,0.185,0.011,,,,,,,,0.237,,,156,,0.031,0.0,0.8,0.067,,,,,,,,,,0.049,0.000,0.48,0.512,,0,0.006,0.098,,1.29,,0.000,,,,,,,,,,0.053,106.0,,0.307,1.24,0.073,,,,0,37,,0.046,,13.0,0.171,,5.5,0,0.008,2,0.232,0.263,51.0,,,,,,,0.52,,,,,,,,,0.382,,0.006,,,,0.44,0.164,,,,,,,,,,,,
7,"""13348""","Beef, cured, corned beef, canned",28.35,1.0 oz,1.752,0.179,,0.0,0.006,0.564,0.000,,3,,,,0.589,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.689,0.018,,0.649,0.060,,,,,,,,0.29,,,297,,0.119,0.0,0.59,0.098,,,,,,,,,,0.042,0.000,0.46,1.69,0.5,0,0.02,0.037,,0.82,,0.000,0.1,,,,,,,,,0.119,39.0,3.3,0.553,4.23,0.227,,,,0,71,,0.07,,24.0,0.251,,12.2,0,0.004,3,0.332,0.862,31.0,0.00,25.3,0.310,0.00,25.3,0.310,0.0,,,0.0,3,,,,,0.474,,0.028,0.1,0.338,4.0,1.417,0.245,,,,,0.0,,,,,,,
8,"""13350""","Beef, cured, dried",28.0,10.0 slices,0.266,0.020,,0.76,0.018,0.640,0.000,,3,,,,0.68,,2.4,,,,,,,,,,,,0,,,,,,,,,0,0.085,8.71,0.0,1.446,0.021,,0.082,0.001,,,,,,,,0.321,,,179,,0.020,0.0,0.68,0.104,,,,0.0,0.490,2.0,,,,0.046,0.000,0.45,0.235,0.4,0,0.0,0.108,,2.91,0.00,,0.0,,,,,,,,,0.015,66.0,0.0,0.384,0.54,0.022,,,,0,43,,0.053,,22.0,0.256,,9.1,0,0.005,3,0.366,0.165,51.0,,0.0,0.317,,0.0,0.317,0.77,,,0.0,0,,,,,0.521,,0.000,0.0,0.399,5.0,0.213,0.257,0.0,,,,0.0,,,,,,,
9,"""13353""","Beef, cured, luncheon meat, jellied",28.0,"1.0 slice (1 oz) (4"" x 4"" x 3/32"" thick)",0.395,0.048,,,,,0.000,,2,,,,0.409,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,1.355,0.034,,0.151,0.011,,,,,,,,0.208,,,130,,0.025,0.0,0.97,0.055,,,,,,,,,,0.081,0.000,1.44,0.406,,0,0.006,0.070,,0.95,,0.000,,,,,,,,,,0.036,113.0,,0.349,0.92,0.062,,,,0,31,,0.038,,10.0,0.143,,4.6,0,0.015,2,0.2,0.190,39.0,,,,,,,0.0,,,,,,,,,0.368,,0.003,,,,0.344,0.140,,,,,,,,,,,,
