,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""43595""","Breakfast bar, corn flake crust with fruit",28.35,1.0 oz,0.425,0.255,,9.95,0.284,,0.000,,4,,,,,,,,,,,,,,,,0.6,,11,,,,,,,172,,0,,,,3.827,0.028,,0.043,0.016,,,,,,,,,,,446,,0.000,,,,,,,,,,,,,0.312,,0.00,1.417,3.9,172,0.001,0.397,,0.23,,0.001,,,,,,,,,,0.241,56,,,,,,,,575.0,107.0,,,,,,,,27,,31,,,,0.00,9.7,,0.00,9.7,,20.64,,,0.0,,,,,,,,,0.0,,8.0,1.411,,,,,,0.0,,,,,,,
1,"""43100""","Breakfast bars, oats, sugar, raisins, coconut (include granola bar)",43.0,1.0 bar,5.457,0.703,,11.83,0.120,,0.035,,35,,,,,,,,,,,,,,,,1.3,,46,,,,,,,,,0,,,,0.752,0.155,,0.242,0.005,,,,,,,,,,,835,,1.014,,,,,,,,,,,,,0.047,,0.00,0.831,6.8,3,2.638,0.150,,0.77,,0.000,,,,,,,,,,0.677,140,,,,,,,,65.0,200.0,,,,,,,,0,,35,,,,0.00,11.9,,0.00,11.9,,28.68,,,0.0,,,,,,,,,0.0,,43.0,0.828,,,,,,0.0,,0.4,,,,,
2,"""19434""","Cheese puffs and twists, corn based, baked, low fat",28.35,1.0 oz,0.595,1.627,,2.07,0.153,,0.000,,27,,,,,,,,,,,,,,,,1.0,,182,,,,,,,11,,0,,,,2.024,0.024,,0.117,0.089,,,,,,,,,,,513,,0.009,,,,,,,,,,,,,0.173,0.000,0.61,0.992,0.3,12,0.0,0.201,,1.15,,0.000,,,,,,,,,,1.539,81,,,,,,,,71.0,122.0,,,,,,,,0,,27,,,,0.00,3.9,,0.00,3.9,,20.51,,,9.0,0,,,,,,,,0.0,,12.0,0.985,,,,,,0.0,,6.1,,,,,
3,"""25045""","Formulated bar, high fiber, chewy, oats and chocolate",40.0,1.0 bar,1.359,0.934,0.63,10.0,0.275,0.141,0.002,,9,,,,0.085,,0.0,0.0,,0.009,0.0,0.315,0.175,,,0.000,9.0,,26,0.0,0.02,0.115,,,0.000,0,,1,,,,3.161,0.105,0.001,0.268,0.098,2.74,0.0,17,,0.0,17,,0.072,,1.72,652,,0.124,,,,,,,0.20,0.107,100.0,,,,0.036,,0.00,1.409,1.0,0,0.335,0.385,0.003,1.26,0.01,0.000,,,,,,,0.02,,0.0,0.836,179,1.3,0.106,4.0,0.009,,,,0.0,156.0,,0.02,2.43,0,0.057,0.010,3.6,5,1.363,14,0.077,0.567,168.0,0.00,5.0,0.091,0.00,5.0,0.091,27.93,,,0.0,,,,,,0.137,,0.026,0.0,0.114,76.0,1.39,0.046,0.0,,,,10.0,0.00,0.5,0.0,0.039,0.024,0.0,
4,"""25021""","Formulated bar, LUNA BAR, NUTZ OVER CHOCOLATE",48.0,1.0 bar,2.651,1.303,0.18,8.11,0.058,0.792,0.002,0.000,16,0.06,4.03,0.533,0.49,0.003,0.8,0.0,0.002,0.034,0.0,2.006,1.214,0.001,,0.001,2.1,0.000,13,0.0,0.32,0.475,,,,180,,3,,,,17.808,0.677,0.004,0.246,0.06,0.50,0.0,851,,0.0,851,,0.379,0.000,2.99,809,0.002,0.432,,,,0.003,4.5,0,0.58,0.475,425.0,,1,0.000,1.44,0.003,3.07,1.408,19.6,180,1.091,1.152,0.074,2.49,0.20,0.003,,,,0.006,185.0,0.004,,,0.0,1.239,198,0.8,0.782,5.85,0.006,0.003,,4.44,600.0,193.0,0.000,0.158,5.04,0,0.322,0.039,30.0,491,1.243,507,0.456,0.608,377.0,3.07,19.9,0.571,3.07,19.9,0.571,25.2,0.000,,0.0,60,1.361,1.236,,7.632,0.816,,0.071,1.5,0.446,158.0,1.363,0.240,0.0,,0.0,0.006,32.0,0.00,32.6,0.0,0.125,0.040,0.0,
5,"""25010""","Formulated bar, MARS SNACKFOOD US, COCOAVIA, Chocolate Almond Snack Bar",22.0,1.0 bar,0.952,,,5.95,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,7.0,76.0,,,,,,,,,,40,,,,,,,,,,11.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"""25018""","Formulated bar, MARS SNACKFOOD US, COCOAVIA, Chocolate Blueberry Snack Bar",22.0,1.0 bar,0.851,,,7.35,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,7.0,72.0,,,,,,,,,,60,,,,,,,,,,12.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""25004""","Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Chewy Chocolate Peanut Bar",55.0,1.0 bar,2.6,,,18.07,1.500,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,911,,,,,,,,,,,,,,,1.7,,6.00,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,2000.0,218.0,,,,,,,,,,400,,,,,,,,,,25.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"""25006""","Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Double Chocolate Nut Bar",80.0,1.0 bar,3.878,,,18.14,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,36.199,,,,,,,,,,,,,,,1262,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,3556.0,302.0,,,,,,,,,,724,,,,,,,,,,41.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"""25016""","Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Energy Bar, all flavors",55.0,1.0 bar,2.614,1.054,0.26,15.79,1.622,0.773,0.029,0.000,42,,,,0.535,,0.0,,,,0.0,2.105,1.196,0.003,,0.000,3.7,,0,,,,,,0.000,34,,3,,12.05,0,24.887,0.249,0.010,1.002,0.019,4.74,0.01,734,0.000,0.01,734,0.000,0.375,,2.94,888,,0.114,,,,,,,,,,,,,1.839,0.000,6.00,2.156,1.0,34,0.034,2.489,0.003,1.65,,0.000,,,,,,,,,0.0,1.035,193,,0.584,5.93,0.025,,,,115.0,212.0,0.000,0.122,,2,0.405,0.026,2.5,406,0.582,449,0.458,1.258,250.0,5.89,9.9,0.532,5.89,9.9,0.532,27.66,,,0.0,100,,,,,0.918,,0.032,2.5,0.494,174.0,2.091,0.267,0.0,,,,31.0,,269.4,,,,0.0,
