,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""06395""","CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",243.0,1.0 cup,0.991,,0.00,1.0,0.041,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,3.285,0.061,,,,,,,,,,,,,,476,,,,,,,,,,,,,,,0.056,,,,,,,,,2.38,,,2.38,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,
1,"""06415""","CAMPBELL'S CHUNKY, Hearty Beef Barley Soup",206.0,1.0 cup,0.777,0.282,0.62,2.41,0.056,,0.000,0.002,25,0.019,0.16,,,,,0.0,0.066,0.006,0.0,,,0.014,,0.000,2.1,0.000,101,,,,,,,0,,,,,,2.157,0.13,0.016,0.22,0.019,0.41,0.014,,0.004,0.014,,0.004,,,,480,0.072,0.047,,,,0.012,177.63,0,0.0,,21.0,0.004,167,0.01,0.175,0.004,0.35,0.785,,,0.000,0.194,0.002,2.02,0.00,,2.02,0.00,,0.052,634.0,0.0,0.00,0.004,,0.239,266.0,,,,,0.012,,1.38,323.0,115.0,0.000,,,,,,,,,,,,,,,,,,,18.5,0.000,,56.0,,0.626,0.218,,0.433,,,,,,,0.692,,,0.004,0.010,0.084,,,,0.0,,,0.0,0.008
2,"""06434""","CAMPBELL'S CHUNKY, Old Fashioned Vegetable Beef Soup",247.0,1.0 cup,1.008,,0.82,2.84,0.037,,,,,,,,,,,,,,,,,,,,3.2,,338,,,,,,,,,,,,,2.475,0.067,,,,,,,,,,,,,,504,,,,,,,,,,,,,,,0.040,,,,,,,,,3.24,,,3.24,,,,,,0.00,,,,,,,,,,,,6410.0,121.0,,,,,,,,,,,,,,,,,,,,15.41,,,1494.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,
3,"""06062""","CAMPBELL'S, Chicken Noodle Soup, condensed",123.0,0.5 cup,0.477,0.412,0.00,0.0,,,0.000,0.001,,0.017,,,,,,,,,0.0,,,0.000,,0.002,,,,,,,,,,,,,,,,,,,0.091,0.017,0.00,0.002,,,0.002,,,,,,242,0.006,0.010,,,,0.001,108.63,,,,,0.000,,0.002,,,,0.657,,,0.000,,,2.21,,0.000,2.21,,0.000,0.074,840.0,0.0,0.00,,,0.378,54.0,,,,,0.001,,0.00,,,,,,,,,,,,,,,,,,,,,,7.34,0.000,,,,,0.375,,,,,,,,,0.571,,,0.002,0.011,0.009,,,,,,,0.0,
4,"""06338""","CAMPBELL'S, Cream of Mushroom Soup, condensed",129.0,0.5 cup condensed,1.227,4.070,0.00,0.52,0.013,0.072,0.001,0.000,,0.457,0.75,0.048,0.036,0.000,,0.0,0.009,0.043,0.0,0.635,0.095,0.004,,0.003,0.8,0.000,8,,,,,,,3,,,,1.66,0,0.468,0.031,0.009,0.312,0.471,0.00,0.003,,0.000,0.003,,0.000,0.036,0.014,0.00,437,0.009,0.034,,,,0.017,109.34,0,6.22,0.036,10.0,0.000,1,0.006,0.022,0.000,,1.656,29.0,,0.003,0.023,,2.41,1.66,0.001,2.41,1.66,0.001,0.012,899.0,0.004,0.00,,,3.597,86.0,3.0,0.072,7.09,0.012,0.017,,0.00,10.0,104.0,0.000,0.012,5.84,0.0,0.036,0.025,3.7,,,,0.023,0.797,25.0,,,,,,,8.5,0.000,,0.0,12,1.585,3.576,,0.191,0.059,0.3,0.003,0.3,0.036,4.0,1.594,0.023,,,0.000,0.026,,,,0.03,0.023,0.001,0.52,0.004
5,"""06377""","CAMPBELL'S, Tomato Soup, condensed",124.0,0.5 cup condensed,0.0,,5.79,10.21,0.052,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,1.064,0.062,,,,,,,,,,,,,,367,,,,,,,,,,,,,,,0.019,,,0.000,,,,,,2.59,,,2.59,,,,,,0.00,,,,,,,,,,,,401.0,88.0,,,,,,,,,,,,,,,,,,,,18.87,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
6,"""27065""","Dip, bean, original flavor",36.0,2.0 tbsp,0.19,0.705,0.14,0.36,0.032,,0.000,,8,0.069,0.33,,,,,,,,0.0,,,0.001,,0.000,1.8,,0,,,,,,,,,0,,,,0.155,0.071,0.001,0.022,0.069,0.00,0.000,8,,0.000,8,,,,,179,0.001,0.002,,,,0.002,26.26,0,,,,,0,0.001,0.036,,0.00,0.309,0.6,0,0.000,0.041,0.003,0.73,,0.000,0.73,,0.000,0.001,159.0,0.0,,,0.0,0.634,132.0,,,,,0.002,,0.22,0.0,43.0,,,,,,,,0,0.123,8.0,,,,0.00,5.9,,0.00,5.9,,5.72,0.000,,0.0,,0.302,0.631,,0.054,,,,0.0,,14.0,0.303,,,0.000,0.001,0.003,0.0,,0.2,,,,0.0,0.000
7,"""27068""","Dip, FRITO'S, bean, original flavor",36.0,2.0 tbsp,0.19,0.705,0.14,0.36,0.032,,0.000,,8,0.069,,,,,,,,,0.0,,,0.001,,0.000,1.8,0.000,,0.0,,,,,,,,,,,,0.155,0.071,0.001,0.022,0.069,0.00,0.000,,,0.000,,,,,,179,0.001,0.002,,,,0.002,26.26,,,,,0.000,,0.001,0.036,0.000,,0.309,0.6,,0.000,0.041,0.003,0.73,,0.000,0.73,,0.000,0.001,159.0,0.0,0.00,,,0.634,132.0,0.1,,,,0.002,,0.22,,,,,,,,,,,,,,,,,,,,,,5.72,0.000,,,,,0.631,,0.054,,,,,,,0.303,,0.0,0.000,0.001,0.003,,,,,,,0.0,0.000
8,"""27052""","Dip, salsa con queso, cheese and salsa- medium",30.0,2.0 tbsp,0.747,1.093,0.06,0.58,0.004,,0.011,0.000,2,0.093,0.56,,,,,0.0,0.018,0.014,0.0,,,0.002,,0.001,0.2,0.000,20,0.1,0.02,,,,,7,,0,,,,0.041,0.001,0.006,0.168,0.095,0.08,0.006,2,0.001,0.006,2,0.001,,,,179,0.021,0.071,,,,0.008,22.12,9,1.91,,29.0,0.002,34,0.008,0.020,0.000,0.07,0.829,5.3,10,0.022,0.013,0.005,0.75,0.30,0.001,0.75,0.30,0.001,0.014,239.0,0.016,,0.000,0.0,0.995,32.0,0.1,,,,0.008,,0.00,86.0,43.0,0.000,,,,,,,0,0.006,2.0,,,,0.00,2.4,,0.00,2.4,,3.34,0.000,,0.0,,0.771,0.981,,0.171,,,,0.0,,2.0,0.79,,,0.001,0.001,0.029,0.0,0.01,0.1,0.02,,0.008,0.43,0.005
9,"""27054""","Dip, TOSTITOS, salsa con queso, medium",30.0,2.0 tbsp,0.733,0.942,0.06,0.42,0.003,,0.013,0.000,,0.020,0.58,,,,,0.0,0.018,0.007,0.0,,,0.002,,0.001,0.2,0.000,18,0.1,0.03,,,,,7,,,,,,0.045,0.001,0.006,0.148,0.020,0.06,0.006,,0.001,0.006,,0.001,,,,167,0.021,0.075,,,,0.008,22.4,8,1.43,,27.0,0.002,28,0.008,0.015,0.000,,0.664,0.5,10,0.022,0.013,0.003,0.73,0.04,0.000,0.73,0.04,0.000,0.015,232.0,0.017,0.00,0.001,,0.918,26.0,,,,,0.008,,0.00,78.0,40.0,0.000,,,,,,,,,,,,,,,,,,,3.52,0.000,,0.0,,0.614,0.905,,0.198,,,,,,,0.632,,,0.001,0.001,0.029,,,,0.03,,0.008,0.3,0.005
