,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""19146""","Baking chocolate, MARS SNACKFOOD US, M & M's Milk Chocolate Mini Baking Bits",14.0,"1.0 serving 0.5 oz, about 1 tbsp",2.025,,,8.76,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,31,70.0,,,,,,,,,,,,,,,,,,,,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""19139""","Baking chocolate, MARS SNACKFOOD US, M & M's Semisweet Chocolate Mini Baking Bits",14.0,"1.0 serving 0.5 oz, about 1 tbsp",2.187,,,7.43,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,10,72.0,,,,,,,,,,,,,,,,,,,,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"""19124""","Baking chocolate, mexican, squares",20.0,1.0 tablet,1.721,0.232,,13.88,0.011,,0.000,,1,,,,,,,,,,,,,,,,0.8,,1,,,,,,,0,,3,,,,0.366,0.134,,0.941,0.014,,,,,,,,,,,356,,0.002,,,,,,,,,,,,,0.021,,0.00,1.009,0.4,0,0.000,0.007,,0.27,,0.000,,,,,,,,,,0.188,79.0,,,,,,,,0,85.0,,,,,,,,0,0.090,1,,,,0.00,9.1,,0.00,9.1,,15.48,,,0.0,,,,,,,,,0.0,,19.0,1.001,,,,,,46.0,,0.0,,,,,
3,"""19077""","Baking chocolate, unsweetened, liquid",28.35,1.0 oz,7.170,3.033,,0.0,0.014,0.209,0.037,,5,,,,0.173,,,,,,,,,,,,5.1,,,,,,,,,0,,13,,,,0.595,0.541,,0.896,0.170,,,,,,,,0.136,,,560,,1.029,,,,,,,,,,,,,0.079,,0.00,2.617,,0,2.679,0.02,,0.88,,,,,,,,,,,,2.863,331.0,,0.147,13.52,0.014,,,,3,134.0,,0.052,,0.0,0.129,,2.2,0,0.468,5,0.134,1.718,96.0,,,,,,,10.26,,,,,,,,,0.195,,0.360,,,,2.603,0.060,,,,,453.0,,0.0,,,,,
4,"""19078""","Baking chocolate, unsweetened, squares",29.0,1.0 oz square Bakers,9.360,0.450,0.00,0.26,0.043,0.202,0.000,,8,0.034,0.12,0.152,0.136,,,0.0,,,0.0,0.542,0.368,,,0.000,4.8,,11,,,,,25,0.000,0,,23,,4.15,0.0,0.393,0.938,0.029,5.287,0.034,0.00,0.0,8,,0.0,8,,0.107,,0.00,779,0.000,0.010,,,,,,,1.69,0.146,29.0,,,,0.029,,0.00,4.660,2.8,0,0.000,0.008,0.015,1.04,0.00,,,,,,,,,,0.0,0.416,241.0,0.8,0.255,15.17,0.029,,,,0,186.0,,0.038,,1.0,0.123,0.160,2.3,0,1.208,8,0.119,3.860,116.0,0.00,13.3,0.154,0.00,13.3,0.154,8.24,,,0.0,,4.631,,,,0.236,,0.000,0.0,0.190,95.0,4.631,0.062,0.0,,,,376.0,,0.0,0.0,0.041,,0.0,
5,"""19098""","Candies, 5TH AVENUE Candy Bar",56.0,1.0 bar 2 oz,3.724,1.898,,26.43,0.078,,0.025,,20,,,,,,,,,,0.0,,,0.002,,0.000,1.7,,0,,,,,,0.000,8,,3,,,,2.184,0.118,0.008,1.105,0.047,,0.008,20,0.000,0.008,20,0.000,,,,1130,,0.119,,,,,,,,,,,,,0.050,0.000,0.10,5.936,1.5,8,0.032,0.062,0.002,1.07,,0.000,,,,,,,,,,1.851,194.0,,,,,,,,29,270.0,0.000,,,,,,,0,0.028,20,,,,0.00,8.3,,0.00,8.3,,35.1,,,0.0,,,,,,,,,0.0,,35.0,4.679,,,,,,44.0,,0.2,,,,,
6,"""19065""","Candies, ALMOND JOY Candy Bar",49.0,1.0 package 1.76 oz,8.619,0.578,,23.69,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981,,,,,,,,,,,,,,,,,,2.577,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,21,235.0,,,,,,,,,,,,,,,,,,,,29.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""19070""","Candies, butterscotch",28.35,1.0 oz,0.585,0.035,,22.81,0.003,,0.023,,0,,,,,,,,,,,,,,,,,,0,,,,,,,8,,0,,,,0.001,0.000,0.006,0.114,0.004,,,,,,,,,,,464,,0.085,,,,,,,,,,,,,0.005,,0.00,0.240,0.1,8,0.029,0.0,,0.29,,0.000,,,,,,,,,,0.031,1.0,,,,,,,,28,111.0,,,,,,,,,0.000,0,,,,0.00,0.2,,0.00,0.2,,25.63,,,0.0,,,,,,,,,,,0.0,0.227,,,,,,0.0,,,,,,,
8,"""19075""","Candies, CARAMELLO Candy Bar",35.0,1.0 bar 1.25 oz,4.452,0.221,,19.92,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,,,,,,,,,,,,,,,,,,1.852,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,106,162.0,,,,,,,,,,,,,,,,,,,,22.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"""19074""","Candies, caramels",71.0,1.0 package (2.5 oz),1.758,2.469,,46.51,0.073,0.296,0.009,,3,,,,0.24,,19.2,,,,,,,,,,,,0,,,,,,,8,,0,,,,0.105,0.013,,0.208,0.018,,,,,,,,0.136,,,1135,,0.135,,,,,,,,,,,,,0.182,0.000,0.21,1.095,1.3,9,0.011,0.04,,1.28,,0.000,,,,,,,,,,2.447,152.0,,0.293,5.75,0.067,,,,30,271.0,,0.043,,5.0,0.146,,1.3,0,0.008,3,0.183,1.335,81.0,0.00,5.7,0.165,0.00,5.7,0.165,54.67,,,0.0,,,,,,0.11,,0.018,0.0,0.202,12.0,1.027,0.082,,,,,0.0,,0.3,,,,,
