,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""14006""","Alcoholic beverage, beer, light",29.5,1.0 fl oz,,,0.00,0.03,0.001,0.000,0.000,,2,,,,0.0,,13.4,,,,,,,,,,,,0,,,,,,,,,0,,,,0.115,0.002,,0.000,,0.03,,,,,,,,,0.00,36,,0.000,,,,,,,,,,,,,0.004,0.000,0.01,,,0,0.000,0.01,,0.03,,0.000,,,,,,,0.00,,0.9,0.000,6.0,,0.009,0.0,,,,,0,9.0,,,,0,0.000,,0.1,0,0.002,2.0,0.000,,4.0,0.00,2.6,,0.00,2.6,,0.48,,,0.0,,,,,,0.0,,,0.0,,1.0,,,0.0,,,,0.0,,,,,,0.0,
1,"""14248""","Alcoholic beverage, beer, light, higher alcohol",356.0,12.0 fl oz,0.000,,,0.32,0.018,,0.000,,21,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,1.392,0.021,,0.000,,,,,,,,,,,,680,,0.000,,,,,,,,,,,,,0.053,0.000,0.07,,,0,0.000,0.121,,0.32,,0.000,,,,,,,,,,0.000,75.0,,,,,,,,0,164.0,,,,,,,,0,,21.0,,,,0.00,31.3,,0.00,31.3,,2.74,,,0.0,,,,,,,,,0.0,,18.0,0.000,,,,,,0.0,,,,,,,
2,"""14013""","Alcoholic beverage, beer, light, low carb",29.5,1.0 fl oz,,,0.00,0.0,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.000,0.001,,,,0.00,,,,,,,,,,33,,0.000,,,,,,,,,,,,,,,0.00,,,0,,0.0,,0.02,,0.000,,,,,,,,,,0.000,5.0,,,,,,,,0,8.0,,,,,,,,,0.001,0.0,,,,,0.0,,,0.0,,0.22,,,0.0,,,,,,,,,0.0,,1.0,0.000,,,,,,0.0,,,,,,,
3,"""14003""","Alcoholic beverage, beer, regular, all",29.7,1.0 fl oz,,,0.00,0.0,0.001,,0.000,,2,,,,0.0,,13.1,,,,,,,,,,,,0,,,,,,,,,0,,,,0.152,0.001,,,,0.00,,,,,,,,,0.00,54,,0.000,,,,,,,0.00,0.004,1.0,,,,0.007,0.000,0.01,,,0,0.000,0.014,,0.05,0.00,,,,,,,,0.00,,1.2,0.000,8.0,,0.010,0.0,,,,,0,13.0,,,,0,0.000,,0.2,0,0.002,2.0,0.000,,4.0,0.00,3.0,,0.00,3.0,,1.05,,,0.0,,,,,,0.0,,,0.0,,2.0,,,0.0,,,,0.0,,,,,,0.0,
4,"""14034""","Alcoholic beverage, creme de menthe, 72 proof",33.6,1.0 fl oz,0.005,0.056,,13.98,0.000,,,,0,,,,0.0,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.001,0.027,,0.001,0.037,,,,,,,,0.000,,,521,,0.000,,,,,,,,,,,,,,,0.00,0.005,,0,,0.0,,0.0,,0.000,,,,,,,,,,0.019,0.0,,0.000,0.1,,,,,0,125.0,,,,0,0.000,,0.1,,0.013,0.0,,0.003,0.0,,0.0,,,0.0,,13.98,,,0.0,,,,,,0.0,,,,,0.0,0.005,0.000,,,,,0.0,,,,,,,
5,"""14009""","Alcoholic beverage, daiquiri, canned",30.5,1.0 fl oz,0.000,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,0.004,0.005,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,0.000,,0.00,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,1,38.0,,,,,,,,0,0.002,0.0,,,,,,,,,,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"""14010""","Alcoholic beverage, daiquiri, prepared-from-recipe",30.2,1.0 fl oz,0.002,0.005,,1.69,0.004,,0.000,,1,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,0,,,,0.015,0.007,,0.000,0.002,,,,,,,,,,,235,,0.000,,,,,,,,,,,,,0.002,,0.00,0.002,0.0,0,0.000,0.002,,0.02,,0.000,,,,,,,,,,0.003,6.0,,,,,,,,1,56.0,,,,,,,,0,0.005,1.0,,,,,,,,,,2.1,,,0.0,,,,,,,,,,,,0.002,,,,,,0.0,,0.5,,,,,
7,"""14533""","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",27.8,1.0 fl oz,0.000,,,,,,,,0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,0.004,0.006,,0.000,,,,,,,,,0.000,,,343,,0.000,,,,,,,,,,,,,0.001,,0.00,0.000,,,0.000,0.0,,0.0,,0.000,,,,,,,,,,0.000,1.0,,,0.0,,,,,0,82.0,,,,0,,,0.0,,0.005,0.0,0.000,,1.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,0.000,,,,,,,,,,,,
8,"""14037""","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",27.8,1.0 fl oz,0.000,,,0.0,0.002,,,,0,,,,0.0,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.004,0.006,,0.000,,,,,,,,,0.000,,,269,,0.000,,,,,,,,,,,,,0.001,,0.00,,,0,0.000,0.0,,0.0,,0.000,,,,,,,,,,0.000,1.0,,,0.0,,,,,0,64.0,,,,0,,,0.0,,0.005,0.0,0.000,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,0.0,,,,,0.0,,0.000,,,,,0.0,,,,,,,
9,"""14550""","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",27.8,1.0 fl oz,0.000,,,0.0,0.002,,,,0,,,,0.0,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.004,0.006,,0.000,,,,,,,,,0.000,,,291,,0.000,,,,,,,,,,,,,0.001,,0.00,,,0,0.000,0.0,,0.0,,0.000,,,,,,,,,,0.000,1.0,,,0.0,,,,,0,70.0,,,,0,,,0.0,,0.005,0.0,0.000,,1.0,,0.0,,,0.0,,0.03,,,0.0,,,,,,0.0,,,,,0.0,,0.000,,,,,0.0,,,,,,,
