,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ)_x,"Fatty acids, total trans-monoenoic (g)_x",14:0 (g)_x,Energy (kJ)_y,"Fatty acids, total trans-monoenoic (g)_y",14:0 (g)_y,"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""15137""","Crustaceans, crab, alaska king, cooked, moist heat",134.0,1.0 leg,0.178,0.718,,,,,,,,,,,2.257,,,,,,,,,,,,0.0,,,,,,,,,12,,,,,,1.796,1.584,,0.025,0.019,,,,,,,,1.049,,,544,,0.020,544,,0.020,,,,,,,,,,0.074,0.395,15.41,0.248,,12,0.005,0.241,,2.48,,0.051,,,,,,,,,,0.027,351.0,,0.855,2.06,0.055,,,,39.0,130.0,,0.36,,71.0,0.863,,53.6,0,0.054,68,1.257,0.117,375.0,,,,,,,0.0,,,,,,,,,2.265,,0.004,,,,0.119,0.527,,,,,,,,,,,,
1,"""15138""","Crustaceans, crab, alaska king, imitation, made from surimi",85.0,3.0 oz,0.184,0.122,0.53,5.31,0.025,0.516,,,0,0.007,0.14,0.221,0.601,0.003,,0.0,0.007,0.003,0.0,1.222,0.760,,,0.0,0.4,,0,0.0,0.03,0.367,0.0,0.03,0.367,,,0,,,,0.527,0.027,0.002,0.04,0.004,2.28,,0,,,0,,0.242,,0.00,337,0.007,0.015,337,0.007,0.015,,63.46,0,0.09,0.235,11.0,,0,0.001,0.068,0.000,0.48,0.234,0.3,0,0.014,0.111,0.001,1.92,0.03,0.004,0.0,0.015,,0.008,450.0,0.000,,0.001,0.0,0.01,76.0,1.5,0.279,0.39,0.012,0.0,,2.51,0.0,81.0,,0.064,2.98,17.0,0.186,0.002,19.0,,0.009,0,0.196,0.090,240.0,0.0,11.1,0.388,0.0,11.1,0.388,12.75,0.000,,0.0,,0.103,0.076,,0.000,0.415,,0.002,0.0,0.243,37.0,0.096,0.133,0.0,,0.000,0.007,0.0,,,0.0,0.222,0.002,0.0,
2,"""15136""","Crustaceans, crab, alaska king, raw",85.0,3.0 oz,0.076,0.111,,,,,,,,,,,1.353,,,,,,,,,,,,0.0,,,,,,,,,6,,,,,,0.935,0.784,,,,,,,,,,,0.63,,,298,,,298,,,,,,,,,,,,0.037,,7.65,0.068,,6,,,,1.53,,,,,,,,,,,,,,,0.513,0.51,,,,,20.0,71.0,,0.217,,36.0,0.518,,30.9,0,0.030,37,0.754,,186.0,,,,,,,0.0,,,,,,,,,1.358,,,,,,,,,,,,,,,,,,,
3,"""15141""","Crustaceans, crab, blue, canned",135.0,1.0 cup,0.271,0.348,0.00,0.0,0.031,1.764,0.000,0.004,69,,,,1.871,,283.4,0.0,,0.008,0.0,3.556,2.281,0.003,,0.007,,,0,0.0,,1.207,0.0,,1.207,1,,0,,,,3.708,1.099,0.014,0.097,0.012,0.00,0.001,69,0.007,0.001,69,0.007,0.981,,0.00,468,,0.011,468,,0.011,,,,0.0,1.446,123.0,,,,0.126,0.136,4.5,0.174,0.4,1,0.003,0.211,,2.65,0.00,,0.0,,,,,,,0.012,0.0,0.027,350.0,17.0,0.915,1.0,0.036,,,,3.0,112.0,0.000,0.305,0.00,131.0,0.888,0.005,57.9,0,0.100,69,1.048,0.132,316.0,0.0,109.2,0.915,0.0,109.2,0.915,0.0,,,0.0,,,,,,2.375,,0.000,0.0,1.088,49.0,0.124,0.531,0.0,,,,0.0,,4.5,0.0,0.610,,0.0,
4,"""15140""","Crustaceans, crab, blue, cooked, moist heat",118.0,"1.0 cup, flaked and pieces",0.237,0.304,0.00,0.0,0.027,1.542,0.000,0.004,60,0.011,2.17,0.835,1.635,0.000,,0.0,,0.007,0.0,3.108,1.994,0.002,,0.006,,0.002,0,0.0,,1.055,0.0,,1.055,1,,0,,,,3.241,0.961,0.012,0.085,0.011,0.00,0.001,60,0.006,0.001,60,0.006,0.858,,0.00,409,0.012,0.009,409,0.012,0.009,0.005,94.03,0,0.0,1.264,107.0,0.004,0,0.005,0.11,0.119,3.93,0.152,0.4,1,0.002,0.184,,2.31,0.00,,0.0,,,0.028,466.0,0.000,,0.011,0.0,0.024,306.0,,0.8,0.87,0.032,0.005,,0.00,2.0,98.0,0.000,0.267,0.00,114.0,0.776,0.005,50.6,0,0.087,60,0.916,0.116,276.0,0.0,95.5,0.800,0.0,95.5,0.800,0.0,,,0.0,,0.101,0.019,,1.176,2.076,,0.000,0.0,0.951,42.0,0.109,0.464,0.0,0.004,0.044,0.017,0.0,,3.9,0.0,0.533,,0.0,0.001
5,"""15142""","Crustaceans, crab, blue, crab cakes, home recipe",60.0,1.0 cake,0.89,1.364,,,,,,,,,,,1.04,,,,,,,,,,,,0.0,,,,,,,,,32,,,,,,1.74,0.366,,0.295,0.052,,,,,,,,0.497,,,389,,0.019,389,,0.019,,,,,,,,,,0.048,0.136,3.56,1.689,,34,,,,1.26,,,,,,,,,,,,0.947,194.0,,0.406,4.51,0.073,,,,151.0,93.0,,0.169,,90.0,0.409,,24.4,7,0.114,32,0.598,0.574,128.0,,,,,,,0.29,,,,,,,,,1.038,,,,,,1.593,0.248,,,,,,,,,,,,
6,"""15139""","Crustaceans, crab, blue, raw",85.0,3.0 oz,0.189,0.329,,,,,0.000,,37,,,,1.336,,,,,,,,,,,,0.0,,,,,,,,,2,,,,,,2.295,0.569,,0.069,0.000,,,,,,,,0.621,,,309,,0.000,309,,0.000,,,,,,,,,,0.034,0.145,7.65,0.163,,2,0.0,0.128,,1.54,,0.000,,,,,,,,,,0.01,280.0,,0.506,0.92,0.050,,,,4.0,74.0,,0.213,,66.0,0.511,,31.8,0,0.128,37,0.744,0.120,195.0,,,,,,,0.03,,,,,,,,,1.34,,0.000,,,,0.088,0.312,,,,,,,,,,,,
7,"""15226""","Crustaceans, crab, dungeness, cooked, moist heat",85.0,3.0 oz,0.143,0.346,,,,,,,,,,,1.648,,,,,,,,,,,,0.0,,,,,,,,,26,,,,,,3.08,0.624,,0.045,,,,,,,,,0.765,,,391,,0.001,391,,0.001,,,,,,,,,,0.173,0.239,8.82,0.182,,26,0.0,0.147,,1.85,,0.022,,,,,,,,,,,,,0.626,1.05,0.047,,,,88.0,94.0,,0.264,,65.0,0.632,,40.5,0,0.082,36,0.917,0.097,149.0,,,,,,,0.81,,,,,,,,,1.654,,,,,,0.101,0.386,,,,,,,,,,,,
8,"""15143""","Crustaceans, crab, dungeness, raw",85.0,3.0 oz,0.112,0.269,,,,,,,,,,,1.288,,,,,,,,,,,,0.0,,,,,,,,,23,,,,,,2.669,0.573,,0.035,,,,,,,,,0.599,,,306,,0.001,306,,0.001,,,,,,,,,,0.142,0.186,7.65,0.142,,23,0.0,0.128,,1.45,,0.017,,,,,,,,,,,,,0.488,0.82,0.037,,,,76.0,73.0,,0.206,,50.0,0.492,,31.5,0,0.068,37,0.717,0.076,155.0,,,,,,,0.63,,,,,,,,,1.293,,,,,,0.079,0.301,,,,,,,,,,,,
9,"""15227""","Crustaceans, crab, queen, cooked, moist heat",85.0,3.0 oz,0.156,0.459,,,,,,,,,,,1.752,,,,,,,,,,,,0.0,,,,,,,,,44,,,,,,2.452,0.528,,0.022,0.003,,,,,,,,0.813,,,409,,0.004,409,,0.004,,,,,,,,,,0.207,0.282,8.82,0.279,,44,,,,2.18,,,,,,,,,,,,0.007,170.0,,0.665,1.28,0.054,,,,147.0,98.0,,0.281,,60.0,0.671,,37.7,0,0.031,36,0.974,0.129,109.0,,,,,,,0.0,,,,,,,,,1.758,,,,,,0.201,0.410,,,,,,,,,,,,
