,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ)_x,"Fatty acids, total trans-monoenoic (g)_x",14:0 (g)_x,Energy (kJ)_y,"Fatty acids, total trans-monoenoic (g)_y",14:0 (g)_y,"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""36000""","APPLEBEE'S, 9 oz house sirloin steak",157.0,1.0 serving,5.459,0.835,0.00,0.0,0.079,3.553,0.0,0.014,,0.038,0.58,1.760,3.661,0.000,,0.11,0.371,0.044,0.0,6.787,3.988,0.146,,0.003,,,,,,,,,,11,,,,,,7.698,0.119,0.162,1.452,0.039,0.00,0.152,,0.035,0.152,,0.035,1.973,0.002,0.00,1242,0.408,0.413,1242,0.408,0.413,0.085,97.15,,0.17,1.955,25.0,0.038,,0.063,0.451,0.008,3.14,6.829,,11,0.013,0.903,0.002,3.58,0.03,0.000,,,,0.615,948.0,0.000,0.00,0.020,,0.626,550,,1.845,14.26,0.653,0.085,,0.00,35,297.0,0.000,0.559,,124,1.545,0.011,38.8,,,,2.094,3.324,317.0,,,,,,,0.0,,,,,,0.484,,0.542,2.944,,0.013,,,,5.834,1.532,,0.035,0.088,0.493,,,,0.05,1.017,0.000,0.0,0.058
1,"""36023""","APPLEBEE'S, chicken tenders platter",209.0,1.0 serving,5.954,14.718,0.00,0.75,0.215,3.390,0.0,0.021,,0.0,3.03,1.705,3.085,0.000,,0.36,0.073,1.917,0.0,7.240,3.609,0.019,,0.021,2.1,0.000,150,,,,,,,15,,,0.084,41.01,10,16.4,0.144,0.036,1.868,0.127,0.75,0.002,,0.025,0.002,,0.025,1.333,0.127,0.00,2594,0.073,0.04,2594,0.073,0.04,0.178,90.66,23,16.43,1.793,48.0,0.000,42,0.01,0.382,0.002,0.29,9.165,,19,0.008,1.058,0.109,5.81,7.36,0.000,,,,0.115,1547.0,0.000,0.00,0.008,,14.406,702,,2.034,33.94,0.115,0.178,,0.00,140,621.0,0.000,0.46,35.59,109,1.093,0.102,35.1,,,,2.121,3.72,623.0,,,,,,,37.58,0.000,,2.0,,7.039,14.185,,3.490,2.537,,0.013,,,,7.112,1.488,,0.025,0.098,0.251,,,,0.17,1.093,0.013,0.0,0.044
2,"""36005""","APPLEBEE'S, chicken tenders, from kids' menu",35.0,1.0 piece,0.998,2.763,0.00,0.14,0.035,0.532,0.0,0.007,,0.301,0.45,0.266,0.472,0.000,,0.03,0.013,0.034,0.0,1.170,0.578,0.003,,0.004,0.4,0.000,25,2.9,0.00,0.365,2.9,0.00,0.365,2,,,0.011,6.74,2,2.761,0.025,0.006,0.312,0.321,0.14,0.001,,0.003,0.001,,0.003,0.202,0.020,0.00,433,0.013,0.007,433,0.013,0.007,0.028,15.2,4,2.45,0.277,8.0,0.000,8,0.002,0.062,0.000,0.05,1.249,8.8,4,0.001,0.169,0.018,0.98,0.39,0.000,,,,0.021,267.0,0.000,0.00,0.002,,2.408,118,,0.411,5.65,0.021,0.028,,0.00,25,104.0,0.000,0.071,5.94,18,0.177,0.018,5.9,,,,0.333,0.624,107.0,,,,,,,6.43,0.000,,0.0,,1.178,2.377,,0.548,0.397,,0.002,,,,1.191,0.238,0.1,0.003,0.018,0.041,,,,,,,0.0,0.004
3,"""36019""","APPLEBEE'S, chili",136.0,1.0 cup,5.644,0.876,1.33,3.09,0.05,1.261,0.0,0.007,,0.049,1.56,0.645,1.148,0.000,,0.14,0.641,0.046,0.0,2.815,1.625,0.113,,0.007,1.9,0.000,499,,,,,,,126,,,0.326,17.08,6309,4.838,0.117,0.152,1.78,0.052,1.46,0.133,,0.022,0.133,,0.022,0.547,0.001,0.00,892,0.691,0.419,892,0.691,0.419,0.092,96.98,272,0.11,1.134,46.0,0.050,785,0.065,0.282,0.003,1.71,6.54,,203,0.016,0.437,0.008,2.39,0.00,,,,,0.469,518.0,0.000,0.00,0.010,,0.737,435,,1.163,13.31,0.52,0.091,,0.30,1953,214.0,0.000,0.196,0.58,61,0.462,0.016,17.8,,,,0.756,3.169,141.0,,,,,,,6.22,0.000,,0.0,,5.086,0.558,,0.551,1.05,,0.015,,,,5.728,0.505,,0.022,0.038,0.783,,,,0.0,0.378,,0.0,0.090
4,"""36021""","APPLEBEE'S, coleslaw",76.0,1.0 serving,0.806,2.902,1.70,7.09,0.023,0.026,0.0,,,0.348,0.38,0.013,0.013,0.007,,0.0,0.004,0.032,0.0,0.097,0.052,,,0.003,2.1,0.000,40,0.0,,0.026,0.0,,0.026,2,,,0.000,0.6,4,0.228,0.013,0.005,0.217,0.368,1.92,0.0,,,0.0,,,0.013,0.020,0.00,381,0.004,0.008,381,0.004,0.008,0.024,59.39,2,3.06,0.013,27.0,0.000,521,0.002,0.048,0.000,,1.067,49.5,59,0.003,0.098,0.019,0.6,1.04,0.007,,,,0.007,135.0,0.000,0.00,,,2.529,119,,0.005,5.39,0.007,0.024,,3.47,1143,91.0,0.000,0.005,,2,0.006,0.017,0.3,,,,0.019,0.524,17.0,,,,,,,10.01,0.000,,323.0,,1.015,2.501,,0.156,0.045,,0.004,,,,1.018,0.006,0.0,0.000,0.003,0.028,,,,0.0,0.006,,0.0,0.003
5,"""36022""","APPLEBEE'S, crunchy onion rings",350.0,1.0 serving,12.509,35.893,3.67,15.68,0.374,1.026,0.0,0.011,,4.123,4.45,0.697,0.221,0.004,,0.28,0.126,0.199,0.0,4.728,0.770,0.042,,0.028,10.8,0.004,46,0.0,0.14,0.476,0.0,0.14,0.476,0,,,,16.03,0,2.555,0.304,0.074,3.931,4.382,4.09,0.0,,0.004,0.0,,0.004,0.294,0.259,4.17,5204,0.126,0.077,5204,0.126,0.077,0.36,115.82,4,30.91,0.549,77.0,0.000,7,0.018,0.319,0.000,,15.428,143.8,0,0.011,0.270,0.217,8.92,13.76,0.004,,,,0.130,2916.0,0.000,0.00,,,31.441,472,,2.016,68.64,0.13,0.36,,3.75,14,1246.0,0.000,0.147,113.86,,0.329,0.221,21.0,,,,0.549,7.83,315.0,,,,,,,140.59,0.000,,0.0,,14.924,30.989,,1.417,0.735,,0.018,,,,15.054,0.329,0.0,0.000,0.028,0.487,,,,0.28,0.221,0.032,0.0,0.091
6,"""36001""","APPLEBEE'S, Double Crunch Shrimp",206.0,1.0 serving,6.934,19.945,0.41,2.2,0.185,1.976,0.0,0.006,,2.013,4.06,1.133,1.708,0.000,,0.0,0.082,0.270,0.0,5.521,2.214,0.023,,0.021,5.4,0.000,,0.0,,1.281,0.0,,1.281,4,,,,,,1.854,0.288,0.045,2.396,2.198,0.14,0.0,,,0.0,,,0.921,0.185,1.03,2785,0.087,0.041,2785,0.087,0.041,0.216,82.65,,17.12,1.199,93.0,0.004,,0.012,0.183,0.070,0.89,8.724,59.9,4,0.004,0.113,0.130,5.58,6.90,0.000,,,,0.068,1726.0,0.000,0.00,0.008,,17.52,200,,1.632,38.93,0.072,0.216,,0.62,10,665.0,0.000,0.286,46.97,177,0.855,0.134,54.8,,,,1.084,4.101,558.0,,,,,,,53.48,0.000,,,,,17.261,,0.700,1.842,,0.010,,,,8.359,0.542,0.0,0.000,0.062,0.303,,,,0.0,0.581,0.012,0.0,0.043
7,"""36018""","APPLEBEE'S, fish, hand battered",250.0,1.0 serving,4.032,11.398,0.00,1.27,0.133,2.880,0.0,0.003,,1.205,2.20,1.350,2.993,0.003,,0.28,0.055,0.142,0.0,5.603,3.308,,,0.015,2.2,0.000,250,,,,,,,5,,,0.018,33.08,0,5.725,0.098,0.022,1.202,1.292,1.27,0.0,,,0.0,,,1.08,0.087,0.00,2110,0.058,0.035,2110,0.058,0.035,0.135,147.05,12,9.3,1.665,32.0,0.003,12,0.01,0.233,0.125,3.08,5.035,,8,0.003,0.502,0.072,5.42,3.80,0.003,,,,0.062,1518.0,0.000,0.00,0.013,,9.64,602,,1.732,22.85,0.065,0.133,,0.00,55,505.0,0.003,0.36,39.50,85,1.035,0.072,44.5,,,,1.732,2.557,585.0,,,,,,,41.62,0.000,,2.0,,4.755,9.485,,1.000,2.115,,0.018,,,,4.81,0.833,,0.000,0.033,0.193,,,,0.12,1.035,0.015,0.0,0.025
8,"""36002""","APPLEBEE'S, french fries",164.0,1.0 serving,3.826,9.515,0.00,0.0,0.169,,0.0,0.003,,1.194,1.53,,,,,0.0,0.043,0.112,0.0,,,0.011,,0.008,6.4,0.000,,0.0,0.11,,0.0,0.11,,0,,,,,,3.575,0.179,0.021,1.109,1.264,0.00,0.0,,,0.0,,,,,,1989,0.043,0.034,1989,0.043,0.034,0.093,67.72,,9.07,,31.0,0.000,,0.007,0.095,0.002,,5.428,54.8,0,0.007,0.336,0.061,4.46,3.66,0.003,,,,0.033,1014.0,0.000,0.00,,,8.23,882,,,,,0.093,,0.00,0,476.0,,,,,,,,,,,,,,,,,,,,64.78,0.000,,,,,8.116,11,0.812,,,,,,,5.269,,0.2,0.000,0.01,0.136,,,,0.23,,0.008,0.0,0.018
9,"""36003""","APPLEBEE'S, KRAFT, Macaroni  &  Cheese, from kid's menu",124.0,1.0 cup,1.627,1.18,0.00,4.59,0.128,0.587,0.033,0.000,,0.272,0.64,0.339,0.234,0.001,,0.17,0.057,0.048,0.0,1.980,0.430,0.006,,0.004,1.6,0.000,118,,,,,,,22,,,,6.21,0,1.203,0.076,0.016,0.353,0.283,0.00,0.02,,0.001,0.02,,0.001,0.182,0.011,0.00,744,0.066,0.19,744,0.066,0.19,0.022,84.67,0,1.28,0.182,98.0,0.009,5,0.024,0.351,0.000,0.30,2.419,,22,0.058,0.081,0.012,1.6,0.02,0.001,,,,0.036,357.0,0.043,0.05,0.000,,0.885,202,,1.003,5.38,0.045,0.022,,0.00,83,177.0,0.000,0.078,18.31,9,0.208,0.024,28.6,,,,0.339,0.787,129.0,,,,,,,26.14,0.000,,0.0,,2.242,0.851,,0.682,0.26,,0.053,,,,2.299,0.169,,0.001,0.009,0.088,,,,0.41,0.143,0.021,4.54,0.012
