,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""02044""","Basil, fresh",2.5,5.0 leaves,0.001,0.010,0.00,0.01,0.001,0.005,0.000,,2.0,,,,0.003,,,0.0,,,,,,,,,0.0,,141,,,,,,,,,0,,,,0.023,0.01,,0.0,0.008,0.00,,,,,,,0.003,,0.00,2,,0.000,,,,,,,0.0,0.003,4.0,,,,0.002,,0.0,0.002,10.4,7.0,0.000,0.004,,0.04,0.00,,0.04,0.00,,,,,0.01,,0.0,0.002,7.0,0.0,0.003,0.02,0.000,,,,132,1,,0.001,,0.0,0.002,,0.0,0,0.029,2.0,0.003,0.001,1.0,0.00,0.3,0.002,0.00,0.3,0.002,0.07,,,0.0,,,,,,0.003,,0.000,0.0,0.003,2.0,0.002,0.001,0.0,,,,0.0,,0.5,0.0,0.001,,0.0,
1,"""02054""","Capers, canned",8.6,"1.0 tbsp, drained",0.02,0.026,,0.04,0.002,,0.000,,2.0,,,,,,,,,,,,,,,,0.3,,0,,,,,,,,,0,,,,0.056,0.032,,0.003,0.016,,,,,,,,,,,8,,0.000,4.0,0.14,,,,,,,,,,,0.012,,0.0,0.005,2.1,1.0,0.000,0.002,,0.69,,0.000,0.69,,0.000,,,,,,,0.010,3.0,,,,,,,,12,2,,,,,,,,0,0.007,2.0,,,,0.00,0.6,,0.00,0.6,,0.42,,,0.0,,,,,,,,,0.0,,3.0,0.005,,,,,,0.0,,0.4,,,,,
2,"""02045""","Dill weed, fresh",1.0,5.0 sprigs,0.001,0.001,,,,,,,,,,,0.002,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,0.016,0.001,,0.0,0.000,,,,,,,,0.001,,,2,,0.000,,,,,,,,,,,,,0.003,,0.0,0.008,,4.0,0.000,0.002,,0.02,,,0.02,,,,,,,,,0.001,7.0,,0.002,0.01,0.000,,,,77,0,,0.000,,0.0,0.001,,,0,0.013,2.0,0.002,0.000,1.0,,,,,,,0.07,,,,,,,,,0.001,,,0.0,0.002,1.0,0.008,0.001,,,,,,,,,,,,
3,"""02055""","Horseradish, prepared",5.0,1.0 tsp,0.004,0.017,,0.4,0.000,,0.000,,3.0,,,,,,,,,,,,,,,,0.2,,0,,,,,,,,,0,,,,0.019,0.003,,0.001,0.003,,,,,,,,,,,10,,0.000,0.0,0.02,,,,,,,,,,,0.001,,0.0,0.007,0.1,0.0,0.000,0.004,,0.09,,0.000,0.09,,0.000,,,,,,,0.014,12.0,,,,,,,,0,2,,,,,,,,0,0.006,3.0,,,,0.00,0.3,,0.00,0.3,,0.56,,,0.0,,,,,,,,,0.0,,1.0,0.006,,,,,,0.0,,1.2,,,,,
4,"""02046""","Mustard, prepared, yellow",5.0,1.0 tsp or 1 packet,0.011,0.039,0.01,0.05,0.009,0.015,0.000,,0.0,0.019,0.02,0.008,0.013,0.053,0.1,0.0,0.000,0.014,0.0,0.036,0.02,0.000,,0.0,0.2,0.001,6,0.0,0.0,0.008,,,,,,0,,0.19,0.0,0.028,0.004,0.000,0.002,0.019,0.02,0.0,0.0,0.001,0.0,0.0,0.001,0.008,,0.00,13,,0.000,,,,0.0,4.19,1.0,0.11,0.011,3.0,0.000,3.0,0.0,0.004,,0.0,0.109,0.1,0.0,0.000,0.004,0.001,0.17,0.00,0.053,0.17,0.00,0.053,0.000,55.0,0.0,,,0.0,0.018,8.0,0.0,0.018,0.17,0.000,0.0,,0.01,5,3,0.003,0.000,0.03,0.0,0.007,0.001,1.7,0,0.021,0.0,0.007,0.006,5.0,0.00,1.1,0.010,0.00,1.1,0.010,0.29,0.000,,0.0,0,0.039,0.018,,0.013,0.013,,0.000,0.0,0.009,2.0,0.039,0.006,0.0,,0.000,0.0,0.0,,0.0,0.0,0.004,,0.0,
5,"""02064""","Peppermint, fresh",0.1,2.0 leaves,0.0,0.001,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,0.002,0.0,,0.0,0.000,,,,,,,,0.000,,,0,,0.000,0.0,0.01,0.000,,,,,,,,,,0.000,,0.0,0.000,,0.0,,,,0.0,,,0.0,,,,,,,,,0.000,1.0,,0.000,0.0,0.000,,,,4,0,,0.000,,0.0,0.0,,,0,0.001,0.0,0.000,0.000,0.0,,,,,,,0.01,,,,,,,,,0.0,,,0.0,0.000,0.0,0.000,0.000,,,,,,,,,,,,
6,"""02063""","Rosemary, fresh",0.7,1.0 tsp,0.02,0.006,,,,,,,,,,,0.001,,,,,,,,,,,,0.1,,,,,,,,,0,,,,,,0.006,0.002,,0.002,0.003,,,,,,,,0.001,,,4,,0.001,0.0,0.05,0.000,,,,,,,,,,0.001,,0.0,0.008,,1.0,0.000,0.002,,0.02,,,0.02,,,,,,,,,0.003,5.0,,0.001,0.04,0.000,,,,20,1,,0.000,,0.0,0.001,,,0,0.007,1.0,0.001,0.013,0.0,,,,,,,0.14,,,,,,,,,0.001,,0.000,0.0,0.001,1.0,0.007,0.000,,,,,,,,,,,,
7,"""02047""","Salt, table",6.0,1.0 tsp,0.0,,,0.0,,,,,0.0,,,,0.0,,0.1,,,,,,,,,,,,0,,,,,,,,,0,,,,0.0,0.002,,0.0,,,,,,,,,0.000,,,0,,,0.0,0.02,,,,,,,,,,,,,0.0,,,0.0,,0.0,,5.99,,0.000,5.99,,0.000,,,,,,,0.000,0.0,,,0.0,,,,,,0,,,,0.0,0.0,,0.0,,0.006,0.0,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.000,,,,,0.0,,,,,,,
8,"""02076""","Seasoning mix, dry, chili, original",9.0,1.0 tbsp,0.0,0.500,,0.78,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,1.31,,,1.31,,,,,,,,,,,,,,,,,,253,30,,,,,,,,,,,,,,,,,,,,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"""02074""","Seasoning mix, dry, sazon, coriander  &  annatto",1.0,0.25 tsp,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
