,index,original_text,filtered_text,NBD_tag
0,0,2 egg whites,egg whites,"""01124"""
1,1,1 tablespoon cornstarch,cornstarch,"""20027"""
2,2,1/2 pound rock shrimp drained and chopped,rock shrimp drained and chopped,"""15270"""
3,3,2 cloves garlic minced,cloves garlic minced,"""11215"""
4,4,1 shallot minced,shallot minced,"""11677"""
5,5,1 tablespoon cornstarch,cornstarch,"""20027"""
6,6,2 tablespoons chopped parsley leaves,chopped parsley leaves,"""11297"""
7,7,1/2 cup chopped napa cabbage,chopped napa cabbage,"""11114"""
8,8,2 tablespoons mascarpone cheese,mascarpone cheese,"""01017"""
9,9,1 lemon juiced,lemon juiced,"""09152"""
10,10,1 teaspoon ground black pepper,ground black pepper,"""02030"""
11,11,12 potsticker skins or won ton wrappers,potsticker skins or won ton wrappers,"""18368"""
12,12,2 tablespoons peanut oil,peanut oil,"""44005"""
13,14,1/3 cup soy sauce,soy sauce,"""16124"""
14,15,2 oranges juiced (about 1/4 cup),oranges juiced (about cup),"""42270"""
15,16,1 tablespoon rice wine vinegar,rice wine vinegar,"""04135"""
16,17,Pinch red pepper flakes,pinch red pepper flakes,"""02031"""
17,18,2 tablespoons sliced scallions,sliced scallions,"""11291"""
18,19,1 large bunch flat-leaf kale,bunch flatleaf kale,"""11233"""
19,20,Good olive oil,good olive oil,"""44005"""
20,21,Kosher salt,kosher salt,"""02047"""
21,22,Freshly grated Parmesan cheese,freshly grated parmesan cheese,"""01033"""
22,23,6 egg whites room temperature,egg whites room temperature,"""01124"""
23,24,1/2 cup chocolate-hazelnut spread such as Nutella plus 1/2 cup for the ramekins,chocolatehazelnut spread such as nutella plus for the ramekins,"""19125"""
24,25,1 cup unsweetened almond milk,unsweetened almond milk,"""14091"""
25,26,1/8 teaspoon fine sea salt,fine sea salt,"""02047"""
26,27,Four slices day-old focaccia or ciabatta cut into 1/4-inch cubes,four dayold focaccia or ciabatta cut intoinch cubes,"""18973"""
27,28,2 teaspoons olive oil,olive oil,"""44005"""
28,29,Hazelnut Brittle for serving recipe follows,hazelnut brittle for follows,"""01124"""
29,30,1 1/3 cups sugar,sugar,"""19335"""
30,31,2/3 cup water,water,"""14411"""
31,32,Nonstick cooking spray,nonstick cooking spray,"""04679"""
32,33,2/3 cup blanched hazelnuts toasted and chopped,blanched hazelnuts toasted and chopped,"""12120"""
33,34,Chicken Breast Fillets,chicken breast fillets,"""05057"""
34,35,8 pieces of sourdough bread,pieces of sourdough bread,"""18029"""
35,36,1 cup pizza sauce,pizza sauce,"""06152"""
36,37,1 cup pesto,pesto,"""06626"""
37,38,8 slices fresh Mozzarella,fresh mozzarella,"""01026"""
38,39,4 large tomato slices (optional),tomato (optional),"""11529"""
39,40,Olive oil for drizzling,olive oil for drizzling,"""44005"""
40,41,Oregano,oregano,"""02027"""
41,42,6 large eggs beaten at room temperature,eggs beaten at room temperature,"""01123"""
42,43,Two 5-ounce cans tuna packed in olive oil drained and flaked into 1/4 to 1/2-inch pieces such as Flott,twoounce tuna packed in olive oil drained and flaked into toinch pieces such as flott,"""15124"""
43,44,1/4 cup milk at room temperature,milk at room temperature,"""01077"""
44,45,3 tablespoons chopped fresh flat-leaf parsley,chopped fresh flatleaf parsley,"""11297"""
45,46,1 tablespoon anchovy paste,anchovy paste,"""15002"""
46,47,1/2 teaspoon kosher salt,kosher salt,"""02047"""
47,48,1/2 teaspoon freshly ground black pepper,freshly ground black pepper,"""02030"""
48,49,1 tablespoon extra-virgin olive oil,extravirgin olive oil,"""04708"""
49,50,1 tablespoon unsalted butter at room temperature,unsalted butter at room temperature,"""01145"""
50,51,2 Roma tomatoes seeded and chopped,roma tomatoes seeded and chopped,"""11529"""
51,52,1 cup (8 ounces) mascarpone at room temperature,( ounces) mascarpone at room temperature,"""01017"""
52,53,1/2 teaspoon kosher salt,kosher salt,"""02047"""
53,55,1 1/4 cups all purpose flour,all purpose flour,"""20581"""
54,56,1/2 tablespoon sugar,sugar,"""19335"""
55,57,1/2 teaspoon salt,salt,"""02047"""
56,58,1/2 cup (1 stick) chilled unsalted butter cut into 1/2-inch cubes,( stick) chilled unsalted butter cut intoinch cubes,"""01145"""
57,59,3 tablespoons (or more) ice water,(or more) ice water,"""14411"""
58,60,2/3 cup finely grated fresh Parmesan,finely grated fresh parmesan,"""01033"""
59,61,3/4 pound ground turkey or lean ground beef,ground turkey or lean ground beef,"""05665"""
60,62,1/2 small onion finely chopped,onion finely chopped,"""11282"""
61,63,1/2 cup fresh bread crumbs,fresh bread crumbs,"""18079"""
62,64,1/2 cup cooked squeezed dry and chopped spinach,cooked squeezed dry and chopped spinach,"""11457"""
63,65,1 large egg lightly beaten,egg lightly beaten,"""01123"""
64,66,Coarse salt,coarse salt,"""02047"""
65,67,2 tablespoons extra-virgin olive oil,extravirgin olive oil,"""04708"""
66,68,8 ounces star-shape pasta (or any small pasta such as orzo),starshape pasta (or any pasta such as orzo),"""20120"""
67,69,4 cups chicken stock or broth,chicken stock or broth,"""06172"""
68,70,1 1/2 cups brown raisins,brown raisins,"""09299"""
69,71,2 1/4 cups sifted all purpose flour,sifted all purpose flour,"""20581"""
70,72,1 teaspoon baking powder,baking powder,"""18371"""
71,73,1/2 teaspoon salt,salt,"""02047"""
72,74,1 1/4 cups (2 1/2 sticks) unsalted butter room temperature,( sticks) unsalted butter room temperature,"""01145"""
73,75,1 2/3 cups sugar,sugar,"""19335"""
74,76,5 large eggs,eggs,"""01123"""
75,77,7 tablespoons dark rum,dark rum,"""14050"""
76,78,2 teaspoons vanilla extract,vanilla extract,"""02050"""
77,79,1/2 cup powdered sugar,powdered sugar,"""19336"""
78,80,2 teaspoons whipping cream,whipping cream,"""01053"""
79,81,1/4 pound chorizo sausage skinned and finely chopped,chorizo sausage skinned and finely chopped,"""07019"""
80,82,Bunuelo Dough,bunuelo dough,"""18633"""
81,83,Oil for frying,oil for frying,"""04582"""
82,84,1 cup water,water,"""14411"""
83,85,3 tablespoons butter,butter,"""01001"""
84,86,3/8 teaspoon salt,salt,"""02047"""
85,87,1 cup flour,flour,"""20581"""
86,88,2 eggs,eggs,"""01123"""
87,89,4 tablespoons (1/2 stick) butter softened,( stick) butter softened,"""01001"""
88,90,1/4 cup honey,honey,"""19296"""
89,92,1 1/2 cups all-purpose flour,allpurpose flour,"""20581"""
90,93,1/2 cup whole-wheat flour,wholewheat flour,"""20080"""
91,94,1/2 teaspoon baking soda,baking soda,"""18372"""
92,95,1/2 teaspoon salt,salt,"""02047"""
93,96,1/4 teaspoon ground cinnamon,ground cinnamon,"""02010"""
94,97,2 cups buttermilk,buttermilk,"""01230"""
95,98,2 eggs,eggs,"""01123"""
96,99,4 tablespoons (1/2 stick) butter melted plus more for cooking pancakes,( stick) butter melted plus more for cooking pancakes,"""01001"""
97,100,1 tablespoon honey,honey,"""19296"""
98,101,7 tablespoons olive oil divided,olive oil divided,"""44005"""
99,102,3 pounds onions thinly sliced,onions thinly sliced,"""11282"""
100,103,1 pound pitted prunes halved,pitted prunes halved,"""09291"""
101,104,12 ounces pitted dates halved,pitted dates halved,"""09421"""
102,105,10 ounces dried apricot halves (about 2 cups),dried apricot halves (about cups),"""09032"""
