,original_text,NDB_ID,Description
0,2 egg whites,"""01124""","egg, white, raw, fresh"
1,1 tablespoon cornstarch,"""20027""",cornstarch
2,1/2 pound rock shrimp drained and chopped,"""15270""","crustaceans, shrimp, raw"
3,2 cloves garlic minced,"""11215""","garlic, raw"
4,1 shallot minced,"""11677""","shallots, raw"
5,1 tablespoon cornstarch,"""20027""",cornstarch
6,2 tablespoons chopped parsley leaves,"""11297""","parsley, fresh"
7,1/2 cup chopped napa cabbage,"""11114""","cabbage, savoy, raw"
8,2 tablespoons mascarpone cheese,"""01017""","cheese, cream"
9,1 lemon juiced,"""09152""","lemon juice, raw"
10,1 teaspoon ground black pepper,"""02030""","spices, pepper, black"
11,12 potsticker skins or won ton wrappers,"""18368""",wonton wrappers (includes egg roll wrappers)
12,2 tablespoons peanut oil,"""44005""","oil, corn, peanut, and olive"
13,1/3 cup soy sauce,"""16124""",soy sauce made from soy (tamari)
14,2 oranges juiced (about 1/4 cup),"""42270""","beverages, orange juice drink"
15,1 tablespoon rice wine vinegar,"""04135""","salad dressing, home recipe, vinegar and oil"
16,Pinch red pepper flakes,"""02031""","spices, pepper, red or cayenne"
17,2 tablespoons sliced scallions,"""11291""","onions, spring or scallions (includes tops and bulb), raw"
18,1 large bunch flat-leaf kale,"""11233""","kale, raw"
19,Good olive oil,"""44005""","oil, corn, peanut, and olive"
20,Kosher salt,"""02047""","salt, table"
21,Freshly grated Parmesan cheese,"""01033""","cheese, parmesan, hard"
22,6 egg whites room temperature,"""01124""","egg, white, raw, fresh"
23,1/2 cup chocolate-hazelnut spread such as Nutella plus 1/2 cup for the ramekins,"""19125""",chocolate-flavored hazelnut spread
24,1 cup unsweetened almond milk,"""14091""","beverages, almond milk, unsweetened, shelf stable"
25,1/8 teaspoon fine sea salt,"""02047""","salt, table"
26,Four slices day-old focaccia or ciabatta cut into 1/4-inch cubes,"""18973""","focaccia, italian flatbread, plain"
27,2 teaspoons olive oil,"""44005""","oil, corn, peanut, and olive"
28,Hazelnut Brittle for serving recipe follows,"""01124""","egg, white, raw, fresh"
29,1 1/3 cups sugar,"""19335""","sugars, granulated"
30,2/3 cup water,"""14411""","beverages, water, tap, drinking"
31,Nonstick cooking spray,"""04679""","oil, pam cooking spray, original"
32,2/3 cup blanched hazelnuts toasted and chopped,"""12120""","nuts, hazelnuts or filberts"
33,Chicken Breast Fillets,"""05057""","chicken, broilers or fryers, breast, meat and skin, raw"
34,8 pieces of sourdough bread,"""18029""","bread, french or vienna (includes sourdough)"
35,1 cup pizza sauce,"""06152""","sauce, pizza, canned, ready-to-serve"
36,1 cup pesto,"""06626""","sauce, pesto, ready-to-serve, refrigerated"
37,8 slices fresh Mozzarella,"""01026""","cheese, mozzarella, whole milk"
38,4 large tomato slices (optional),"""11529""","tomatoes, red, ripe, raw, year round average"
39,Olive oil for drizzling,"""44005""","oil, corn, peanut, and olive"
40,Oregano,"""02027""","spices, oregano, dried"
