,original_text,NDB_ID,Description
0.0,2 egg whites,"""01124""","egg, white, raw, fresh"
0.0,1 box instant chocolate pudding mix,"""19184""","puddings, chocolate, dry mix, instant"
1.0,1 1/2 cups cold milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
2.0,1 cup heavy cream,"""01053""","cream, fluid, heavy whipping"
3.0,2 cups mini marshmallows,"""19116""","candies, marshmallows"
4.0,One 12-count box frosted brown sugar cinnamon toaster pastries such as Pop-Tarts frosting scraped off,"""18361""","toaster pastries, brown-sugar-cinnamon"
5.0,Bar chocolate for shaving,"""19080""","candies, semisweet chocolate"
6.0,2 pounds firm ripe peaches (6 to 8 peaches),"""09236""","peaches, yellow, raw"
7.0,2 teaspoons grated lemon zest,"""09150""","lemons, raw, without peel"
8.0,2 tablespoons freshly squeezed lemon juice,"""09152""","lemon juice, raw"
9.0,1/2 cup granulated sugar,"""19335""","sugars, granulated"
10.0,1/4 cup all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
11.0,1 cup fresh blueberries (1/2 pint),"""09050""","blueberries, raw"
12.0,1 cup all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
13.0,1/3 cup granulated sugar,"""19335""","sugars, granulated"
14.0,1/4 cup light brown sugar lightly packed,"""19334""","sugars, brown"
15.0,1/2 teaspoon kosher salt,"""02047""","salt, table"
16.0,1/4 teaspoon ground cinnamon,"""02010""","spices, cinnamon, ground"
17.0,1/4 pound (1 stick) cold unsalted butter diced,"""01145""","butter, without salt"
18.0,2 large eggplants (peeled and sliced),"""11209""","eggplant, raw"
19.0,1 pint milk (for soaking eggplant in),"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
20.0,4 eggs,"""01123""","egg, whole, raw, fresh"
21.0,1 pound yellow cornmeal,"""20020""","cornmeal, whole-grain, yellow"
22.0,1/3 cup olive oil,"""04053""","oil, olive, salad or cooking"
23.0,1/4 cup rice wine vinegar,"""02068""","vinegar, red wine"
24.0,2 teaspoons Dijon mustard,"""02046""","mustard, prepared, yellow"
25.0,Salt and freshly ground black pepper,"""02030""","spices, pepper, black"
26.0,1 large head romaine lettuce roughly torn,"""11251""","lettuce, cos or romaine, raw"
27.0,1 ripe avocado diced,"""09039""","avocados, raw, florida"
28.0,1 ripe mango diced,"""09176""","mangos, raw"
29.0,4 tomatoes diced,"""11529""","tomatoes, red, ripe, raw, year round average"
30.0,1 English cucumber peeled and diced,"""11206""","cucumber, peeled, raw"
31.0,2 red onions thinly sliced,"""11282""","onions, raw"
32.0,1 red pepper cut into strips,"""11821""","peppers, sweet, red, raw"
33.0,2 tablespoons torn mint leaves,"""02064""","peppermint, fresh"
34.0,1 pint canola oil for frying,"""04582""","oil, canola"
35.0,Oil for sauteing,"""44005""","oil, corn, peanut, and olive"
36.0,2 onions chopped,"""11282""","onions, raw"
37.0,2 ribs celery chopped,"""11143""","celery, raw"
38.0,1 apple chopped,"""09504""","apples, raw, fuji, with skin (includes foods for usda's food distribution program)"
39.0,2/3 loaf white bread toasted and broken into pieces,"""18967""","bread, white wheat"
40.0,2 eggs,"""01123""","egg, whole, raw, fresh"
41.0,1 1/2 cups milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
42.0,1 teaspoon dried sage,"""02038""","spices, sage, ground"
43.0,1 teaspoon salt,"""02047""","salt, table"
44.0,1 teaspoon pepper,"""02030""","spices, pepper, black"
45.0,1 ripe mango peeled seeded and diced,"""09176""","mangos, raw"
46.0,1 Tbsp finely diced red onion,"""11282""","onions, raw"
