,JSON_ValueString,grams
0,1 bag tortillas chips,200.0
1,1 can Pillsbury brand Grands,400.0
2,2.0 cans black beans,800.0
3,2.0 cans black beans,800.0
4,4.0 cans chicken stock,500.0
5,2.0 cans chickpeas,800.0
6,2 cans tuna,280.0
7,2.0 cans unsweetened coconut milk,225.0
8,2.0 dashes hot pepper sauce,0.25
9,1 dashes hot sauce,0.25
10,1.0 dollop cardamom cream,40.0
11,1 handful fresh mint leaves,2.0
12,1.0 juice of 1 lemon,42.0
13,1.0 juice of 1 lemon,42.0
14,0.5 juice of 1 lemon,21.0
15,0.5 juice of 1 lemon,21.0
16,0.5 juice of 1 lemon,21.0
17,1.0 juice of 1 lime,42.0
18,0.5 juice of 1 lime,21.0
19,2.0 juice of 2 limes,84.0
20,0.5 ml milk,0.5
21,0.5 nonstick cooking spray,0.1
22,10 pieces pineapple,300.0
23,1.0 pinch allspice,0.25
24,1 pinch cayenne pepper,0.25
25,1 pinch cayenne pepper,0.25
26,1.0 pinch dried hot red pepper,0.25
27,1.0 pinch ground pink peppercorns,0.25
28,1.0 pinch lavender,0.25
29,1 pinch of sugar,0.25
30,1 pinch paprika,0.25
31,1 pinch red pepper,0.25
32,1 pinch red pepper flakes,0.25
33,1 pinch red pepper flakes,0.25
34,1 pinch saffron,0.25
35,1.0 pinch saffron,0.25
36,1.0 pinch smoked paprika,0.25
37,1 pinches sea salt,0.25
38,1.0 pint cherry tomatoes,300.0
39,1.0 pint mascarpone,500.0
40,1.0 pint vanilla ice cream,300.0
41,0.5 pint whipping cream,120.0
42,2.0 pints raspberries,250.0
43,2.0 quarts brown veal stock,1000.0
44,6.0 slices applewood-smoked bacon,300.0
45,3.0 slices bacon,100.0
46,8.5 slices bacon,425.0
47,6.5 slices ciabatta,325.0
48,four slices focaccia,200.0
49,4.0 slices hardwood bacon,200.0
50,4.0 slices pumpernickel bread,280.0
51,2.0 slices smoked ham,100.0
52,8.0 slices sourdough bread,240.0
53,4.0 slices sourdough bread,120.0
54,12.0 slices whole wheat,360.0
55,1.0 sprig fresh rosemary,1.0
56,1 sprig mint,1.0
57,1 sprig rosemary,1.0
58,1.0 sprig thyme,1.0
59,2.0 sprigs fresh thyme,2.0
60,4 sprigs mint,4.0
61,2.0 sprigs rosemary,2.0
62,3.0 sprigs rosemary,3.0
63,12.0 sprigs rosemary,12.0
64,4.5 sprigs thyme,4.5
65,1 sprinkle cayenne,0.25
66,0.5 sprinkle spiced caramelized pecans,0.125
67,1.0 stalk celery,50.0
68,3.0 stalks fresh lemongrass,50.0
69,1 stick cinnamon,32.0
70,1 stick cinnamon,32.0
71,1.0 stick cinnamon,32.0
72,1 stick cinnamon stick,32.0
73,0.5 stick unsalted butter,57.0
74,0.75 stick unsalted butter,84.0
75,1 stick unsalted butter,113.0
76,0.5 sticks unsalted butter,57.0
77,2 table kosher salt,16.0
78,2 talespoon olive oil,28.0
79,1.0 unit of juice lemon,42.0
80,1.0 unit of juice lime,42.0
81,nan user-defined nonstick vegetable oil spray,4.2
82,1.0 whole acorn squash,250.0
83,1 whole all-butter pastry dough,175.0
84,4.0 whole amaretto cookies,300.0
85,2.0 whole anchovy fillets,40.0
86,9.0 whole artichokes,1350.0
87,4.0 whole artichokes,600.0
88,1.0 whole avocado,150.0
89,2.0 whole avocados,300.0
90,2.0 whole avocados,300.0
91,3.0 whole avocados,450.0
92,2.0 whole avocados,300.0
93,5 whole bacon,250.0
94,4.0 whole basil leaves,4.0
95,1.0 whole bay leaf,1.0
96,1.0 whole bay leaf,1.0
97,1.0 whole bay leaf,1.0
98,1.0 whole bay leaf,1.0
99,1.0 whole bay leaf,1.0
100,3.0 whole bay leaves,3.0
101,2.0 whole bay leaves,2.0
102,1.0 whole bok choy,100.0
103,8.0 whole boneless center cut pork chops,900.0
104,1.0 whole boneless leg of lamb,250.0
105,4.0 whole bosc pears,480.0
106,1.0 whole bottle cold champagne,150.0
107,6.0 whole brioche hamburger buns,252.0
108,4.0 whole brownies,120.0
109,1.0 whole bunch kale,168.0
110,0.5 whole bunch watercress stems,80.0
111,2.0 whole bunches arugula,200.0
112,4.0 whole bunches redbor kale stems,200.0
113,4.0 whole burger buns,204.0
114,1 whole cake,1152.0
115,10.0 whole caramel squares,500.0
116,1 whole carrot,125.0
117,2.5 whole carrots,310.0
118,0.5 whole cauliflower,420.0
119,2 whole chicken breast,300.0
120,4 whole chicken breasts,300.0
121,2.0 whole chicken breasts,600.0
122,4 whole chicken breasts no skin,600.0
123,12.0 whole chicken legs,528.0
124,4.0 whole chicken legs,176.0
125,1.0 whole chili pepper,28.0
126,6 whole chives,50.0
127,1 whole chocolate ganache,400.0
128,24.0 whole chocolate sandwich cookies,272.0
129,4.0 whole cigarette cookies,120.0
130,1.0 whole clove garlic,7.0
131,5.0 whole cloves garlic,35.0
132,4.0 whole cloves garlic,28.0
133,3.0 whole cloves garlic,21.0
134,2.0 whole cloves garlic,14.0
135,3.0 whole cloves garlic,21.0
136,4.0 whole cloves garlic,28.0
137,3.0 whole cloves garlic,21.0
138,2.0 whole cloves garlic,14.0
139,2.0 whole cloves garlic,14.0
140,3.0 whole cloves garlic,21.0
141,2.0 whole cloves garlic,14.0
142,4.0 whole cloves garlic,28.0
143,2.0 whole cloves garlic,14.0
144,2.0 whole cloves garlic,14.0
145,6.0 whole cloves garlic,42.0
146,2.0 whole cloves garlic,14.0
147,3.0 whole cloves garlic,21.0
148,2.0 whole cloves garlic,14.0
149,1.0 whole corn,60.0
150,3.0 whole corn,180.0
151,1 whole dough,448.0
152,1.0 whole dried bay leaf,1.0
153,10.0 whole dried bay leaves,10.0
154,0.5 whole dry white wine,85.0
155,1.0 whole egg,44.0
156,1.0 whole egg,44.0
157,1.0 whole egg,44.0
158,1.0 whole egg,44.0
159,1.0 whole egg,44.0
160,1.0 whole egg,44.0
161,1.0 whole egg,44.0
162,6.0 whole egg whites,180.0
163,6.0 whole egg whites,180.0
164,2.0 whole egg whites,60.0
165,6.0 whole egg whites,180.0
166,1.0 whole egg yolk,14.0
167,2.0 whole egg yolks,28.0
168,9.0 whole egg yolks,126.0
169,4.0 whole egg yolks,56.0
170,2.0 whole egg yolks,28.0
171,5.0 whole eggs,220.0
172,5.0 whole eggs,220.0
173,3.0 whole eggs,132.0
174,2.0 whole eggs,88.0
175,6.0 whole eggs,264.0
176,2.0 whole eggs,88.0
177,11.0 whole eggs,484.0
178,2.0 whole eggs,88.0
179,2.0 whole eggs,88.0
180,3.0 whole eggs,132.0
181,3.0 whole eggs,132.0
182,6.0 whole eggs,264.0
183,2.0 whole eggs,88.0
184,2.0 whole eggs,88.0
185,2.0 whole eggs,88.0
186,2.0 whole eggs,88.0
187,6.0 whole eggs,264.0
188,2.0 whole eggs,88.0
189,4.0 whole eggs,176.0
190,3.0 whole eggs,132.0
191,4.0 whole eggs,176.0
192,3.0 whole eggs,132.0
193,4.0 whole endives,212.0
194,1.0 whole flank steak,113.0
195,6.0 whole fresh basil,6.0
196,1.0 whole fresh lotus root,115.0
197,3.0 whole fresh quinces,92.0
198,20 whole fresh raspberries,250.0
199,12.0 whole fresh shiitake mushroom caps,132.0
200,3.0 whole fuji apples,161.0
201,1.0 whole garlic clove,7.0
202,1.0 whole garlic clove,7.0
203,2.0 whole garlic cloves,14.0
204,2.0 whole garlic cloves,14.0
205,2.0 whole garlic cloves,14.0
206,5.0 whole garlic cloves,35.0
207,5.0 whole garlic cloves,35.0
208,3.0 whole garlic cloves,21.0
209,6.0 whole garlic cloves,42.0
210,10.0 whole garlic cloves,70.0
211,0.5 whole green bell pepper,60.0
212,1.0 whole green bell pepper,120.0
213,1.0 whole green bell pepper,120.0
214,0.5 whole green bell pepper,60.0
215,1.0 whole green bell pepper,120.0
216,1.0 whole green bell pepper,120.0
217,4.0 whole green onions,20.0
218,4.0 whole green onions,20.0
219,1.0 whole green papaya,304.0
220,1.0 whole green tomato,150.0
221,4.25 whole green tomatoes,600.0
222,1.0 whole gummy fish,39.0
223,2.0 whole hanger steaks,226.0
224,6.0 whole hard boiled eggs,264.0
225,0.5 whole hass avocado,75.0
226,0.5 whole head fennel,90.0
227,1.0 whole head garlic,80.0
228,1.0 whole head of romaine lettuce,626.0
229,1.0 whole head red leaf lettuce,626.0
230,4.0 whole hoagie buns,100.0
231,1.0 whole hot pepper optional,42.0
232,0.5 whole iceberg lettuce,626.0
233,1.0 whole italian parsley,60.0
234,0.5 whole jalapeno,42.0
234,4.0 whole jalapeno peppers stemmed,336.0
235,2.0 whole japanese eggplants,400.0
236,1.0 whole jar bamboo shoots,114.0
237,1.0 whole jar water chestnuts,114.0
238,10.0 whole jelly beans,290.0
239,12.0 whole juniper berries,20.0
240,0.25 whole kabocha squash,300.0
241,2.0 whole kale,200.0
242,2.0 whole kirby cucumbers,200.0
243,1.0 whole kiwi,69.0
244,1.0 whole leek,200.0
245,1 whole leek,200.0
246,1.0 whole leek,200.0
247,1.0 whole lemon,108.0
248,1.0 whole lemon,108.0
249,0.5 whole lemon,54.0
250,0.5 whole lemon juiced,21.0
251,1.0 whole lemon juiced,42.0
252,1.0 whole lemon zest,14.0
253,1.0 whole lemon zest,14.0
254,1.0 whole lemon zest,14.0
255,1.0 whole lemon zest,14.0
256,1.0 whole lemon zest,14.0
257,1.0 whole lemon zest,14.0
258,0.5 whole lemon zest,14.0
260,2.0 whole lemons,216.0
261,3.0 whole lemons,324.0
262,1.0 whole lime juiced,28.0
263,1.0 whole lime wedge,12.0
264,2.0 whole limes,180.0
265,1.0 whole link of spanish chorizo coarsely,30.0
266,1.0 whole little onion,75.0
267,12.0 whole littleneck clams,95.0
268,1.0 whole loaf rustic bread,397.0
269,4.0 whole loaves italian bread,397.0
270,4.0 whole macintosh apple,161.0
271,1.0 whole mango,207.0
272,0.5 whole meyer lemon,54.0
273,3.0 whole meyer lemons,324.0
274,1.0 whole mint patty,14.0
275,3.0 whole mushrooms,212.0
276,30 whole necco wafers,14.0
277,5.0 whole nicoise olives,25.0
278,1.0 whole onion,110.0
279,1.0 whole onion,110.0
280,0.5 whole onion,55.0
281,0.5 whole onion,55.0
282,1.0 whole onion,110.0
283,1.0 whole onion,110.0
284,1.0 whole onion,110.0
285,0.5 whole onion,55.0
286,1.0 whole onion,110.0
287,1.0 whole onion,110.0
288,1.0 whole onion,110.0
289,1.0 whole onion,110.0
290,1.5 whole onion,165.0
291,2.0 whole onions,220.0
292,2.0 whole onions,220.0
293,1.0 whole orange,110.0
294,1.0 whole orange juiced,75.0
295,2.0 whole oranges juiced,150.0
296,1.0 whole packet dried onion soup mix,40.0
297,2.0 whole parsnips,320.0
298,6.0 whole peaches,900.0
299,2.0 whole pears,240.0
300,1 whole pie crust,154.0
301,1.0 whole piece ginger,28.0
302,1.0 whole pimiento,20.0
303,6.0 whole pita bread,360.0
304,5 whole pita bread,300.0
305,1.0 whole pkg martha white chocolate chip muffin mix,207.0
