,JSON_ValueString,grams
0,"1 bag tortillas chips",200
1,"1 can Pillsbury brand Grands",400
2,"2.0 cans black beans",800
3,"2.0 cans black beans",800
4,"4.0 cans chicken stock",500
5,"2.0 cans chickpeas",800
6,"2 cans tuna",280
7,"2.0 cans unsweetened coconut milk",225
8,"2.0 dashes hot pepper sauce",0.25
9,"1 dashes hot sauce",0.25
10,"1.0 dollop cardamom cream",40
11,"1 handful fresh mint leaves",2
12,"1.0 juice of 1 lemon",42
13,"1.0 juice of 1 lemon",42
14,"0.5 juice of 1 lemon",21
15,"0.5 juice of 1 lemon",21
16,"0.5 juice of 1 lemon",21
17,"1.0 juice of 1 lime",42
18,"0.5 juice of 1 lime",21
19,"2.0 juice of 2 limes",84
20,"0.5 ml milk",0.5
21,"0.5 nonstick cooking spray",0.1
22,"10 pieces pineapple",300
23,"1.0 pinch allspice",0.25
24,"1 pinch cayenne pepper",0.25
25,"1 pinch cayenne pepper",0.25
26,"1.0 pinch dried hot red pepper",0.25
27,"1.0 pinch ground pink peppercorns",0.25
28,"1.0 pinch lavender",0.25
29,"1 pinch of sugar",0.25
30,"1 pinch paprika",0.25
31,"1 pinch red pepper",0.25
32,"1 pinch red pepper flakes",0.25
33,"1 pinch red pepper flakes",0.25
34,"1 pinch saffron",0.25
35,"1.0 pinch saffron",0.25
36,"1.0 pinch smoked paprika",0.25
37,"1 pinches sea salt",0.25
38,"1.0 pint cherry tomatoes",300
39,"1.0 pint mascarpone",500
40,"1.0 pint vanilla ice cream",300
41,"0.5 pint whipping cream",120
42,"2.0 pints raspberries",250
43,"2.0 quarts brown veal stock",1000
44,"6.0 slices applewood-smoked bacon",300
45,"3.0 slices bacon",100
46,"8.5 slices bacon",425
47,"6.5 slices ciabatta",325
48,"four slices focaccia",200
49,"4.0 slices hardwood bacon",200
50,"4.0 slices pumpernickel bread",280
51,"2.0 slices smoked ham",100
52,"8.0 slices sourdough bread",240
53,"4.0 slices sourdough bread",120
54,"12.0 slices whole wheat",360
55,"1.0 sprig fresh rosemary",1
56,"1 sprig mint",1
57,"1 sprig rosemary",1
58,"1.0 sprig thyme",1
59,"2.0 sprigs fresh thyme",2
60,"4 sprigs mint",4
61,"2.0 sprigs rosemary",2
62,"3.0 sprigs rosemary",3
63,"12.0 sprigs rosemary",12
64,"4.5 sprigs thyme",4.5
65,"1 sprinkle cayenne",0.25
66,"0.5 sprinkle spiced caramelized pecans",0.125
67,"1.0 stalk celery",50
68,"3.0 stalks fresh lemongrass",50
69,"1 stick cinnamon",32
70,"1 stick cinnamon",32
71,"1.0 stick cinnamon",32
72,"1 stick cinnamon stick",32
73,"0.5 stick unsalted butter",57
74,"0.75 stick unsalted butter",84
75,"1 stick unsalted butter",113
76,"0.5 sticks unsalted butter",57
77,"2 table kosher salt",16
78,"2 talespoon olive oil",28
79,"1.0 unit of juice lemon",42
80,"1.0 unit of juice lime",42
81,"nan user-defined nonstick vegetable oil spray",4.2
82,"1.0 whole acorn squash",250
83,"1 whole all-butter pastry dough",175
84,"4.0 whole amaretto cookies",300
85,"2.0 whole anchovy fillets",40
86,"9.0 whole artichokes",1350
87,"4.0 whole artichokes",600
88,"1.0 whole avocado",150
89,"2.0 whole avocados",300
90,"2.0 whole avocados",300
91,"3.0 whole avocados",450
92,"2.0 whole avocados",300
93,"5 whole bacon",250
94,"4.0 whole basil leaves",4
95,"1.0 whole bay leaf",1
96,"1.0 whole bay leaf",1
97,"1.0 whole bay leaf",1
98,"1.0 whole bay leaf",1
99,"1.0 whole bay leaf",1
100,"3.0 whole bay leaves",3
101,"2.0 whole bay leaves",2
102,"1.0 whole bok choy",100
103,"8.0 whole boneless center cut pork chops",900
104,"1.0 whole boneless leg of lamb",250
105,"4.0 whole bosc pears",480
106,"1.0 whole bottle cold champagne",150
107,"6.0 whole brioche hamburger buns",252
108,"4.0 whole brownies",120
109,"1.0 whole bunch kale",168
110,"0.5 whole bunch watercress stems",80
111,"2.0 whole bunches arugula",200
112,"4.0 whole bunches redbor kale stems",200
113,"4.0 whole burger buns",204
114,"1 whole cake",1152
115,"10.0 whole caramel squares",500
116,"1 whole carrot",125
117,"2.5 whole carrots",310
118,"0.5 whole cauliflower",420
119,"2 whole chicken breast",300
120,"4 whole chicken breasts",300
121,"2.0 whole chicken breasts",600
122,"4 whole chicken breasts no skin",600
123,"12.0 whole chicken legs",528
124,"4.0 whole chicken legs",176
125,"1.0 whole chili pepper",28
126,"6 whole chives",50
127,"1 whole chocolate ganache",400
128,"24.0 whole chocolate sandwich cookies",272
129,"4.0 whole cigarette cookies",120
130,"1.0 whole clove garlic",7
131,"5.0 whole cloves garlic",35
132,"4.0 whole cloves garlic",28
133,"3.0 whole cloves garlic",21
134,"2.0 whole cloves garlic",14
135,"3.0 whole cloves garlic",21
136,"4.0 whole cloves garlic",28
137,"3.0 whole cloves garlic",21
138,"2.0 whole cloves garlic",14
139,"2.0 whole cloves garlic",14
140,"3.0 whole cloves garlic",21
141,"2.0 whole cloves garlic",14
142,"4.0 whole cloves garlic",28
143,"2.0 whole cloves garlic",14
144,"2.0 whole cloves garlic",14
145,"6.0 whole cloves garlic",42
146,"2.0 whole cloves garlic",14
147,"3.0 whole cloves garlic",21
148,"2.0 whole cloves garlic",14
149,"1.0 whole corn",60
