,Description,NDB_NO_tags
0,8.0 whole pieces skinless hake,"""15015"""
1,0.5 teaspoon bottled malagueta peppers,"""11962"""
2,2.0 tablespoons garlic ,"""11215"""
3,2.0 teaspoons salt,"""02047"""
4,1.0 pound extra-large shrimp in shell ,"""15270"""
5,1.5 pound tomatoes cut into 1/2-inch cubes,"""11529"""
6,1.0 whole onion,"""11282"""
7,0.5 cup green bell pepper,"""11333"""
8,0.333333333333 cup yellow bell pepper,"""11951"""
9,2.0 whole yellow plantains,"""09277"""
10,0.5 cup fresh cilantro,"""11165"""
11,0.25 cup fresh flat-leaf parsley,"""11297"""
12,0.25 cup extra-virgin olive oil,"""44005"""
13,0.25 pound fresh peas,"""11304"""
14,0.75 pound beets,"""11080"""
15,3.0 ounces chives,"""11156"""
16,0.75 cup white wine vinegar,"""02053"""
17,1.5 cups olive oil,"""44005"""
18,1 teaspoon salt,"""02047"""
19,1 teaspoon black pepper,"""02030"""
20,0.5 pound cucumbers ,"""11205"""
21,3.0 whole avocados,"""09038"""
22,0.5 cup horseradish cream,"""27066"""
23,4 tablespoon canoli oil,"""04669"""
24,4.25 whole green tomatoes,"""11527"""
25,1 teaspoon salt,"""02047"""
26,1 teaspoon black pepper,"""02030"""
27,0.75 cup all-purpose flour,"""20581"""
28,1.0 tablespoon garlic powder,"""02020"""
29,4.0 whole eggs,"""01123"""
30,2.0 tablespoons milk,"""01077"""
31,1.5 cups panko bread crumbs,"""18376"""
32,1 pinch cayenne pepper,"""02031"""
33,1 pinch paprika,"""02028"""
34,1.0 cup apple cider,"""02048"""
35,1.0 tablespoon brown sugar,"""19334"""
36,0.75 cup buttermilk,"""01230"""
37,0.75 cup mayonnaise,"""42138"""
38,2.0 tablespoons bbq sauce,"""06150"""
39,1.0 whole lime juiced,"""09160"""
40,4.0 whole scallions,"""11291"""
41,1 teaspoon salt,"""02047"""
42,1 teaspoon black pepper,"""02030"""
43,1.0 whole bunch kale,"""11233"""
44,2 tablespoon olive oil,"""44005"""
45,1 tablespoon kosher salt,"""02047"""
46,1 tablespoon parmesan cheese,"""01033"""
47,12.5 ounces red-skinned potatoes,"""11355"""
48,2.0 tablespoons extra virgin olive oil,"""04708"""
49,1 tablespoon kosher salt,"""02047"""
50,0.5 cup dill havarti cheese ,"""01030"""
51,1.0 whole scallions,"""11291"""
52,0.5 cup mayonnaise,"""42138"""
53,0.333333333333 cup chili sauce,"""06961"""
54,1 cup pickles,"""11937"""
55,8 cups baby kale,"""11233"""
56,0.5 whole iceberg lettuce,"""11252"""
57,1.0 pint cherry tomatoes,"""11529"""
58,0.5 pound deli-sliced roast beef,"""07043"""
59,0.5 pound deli-sliced roast turkey,"""07944"""
60,1.5 tablespoons unsalted butter,"""01145"""
61,2.0 whole phyllo,"""18338"""
62,1.5 cups strawberries,"""09316"""
63,2.0 tablespoons honey,"""19296"""
64,1.0 tablespoon citrus vodka,"""14037"""
65,2 tablespoons whipped cream,"""01054"""
66,3.5 pounds russet potatoes,"""11353"""
67,6.0 whole hard boiled eggs,"""01129"""
68,8.0 whole radishes,"""11429"""
69,4.0 whole green onions,"""11291"""
70,0.5 cup bread and butter pickles,"""11940"""
71,5 whole bacon,"""10123"""
72,0.5 cup almonds,"""12061"""
73,0.5 whole green bell pepper,"""11333"""
74,0.5 cup buttermilk,"""01230"""
75,0.5 cup sour cream,"""01056"""
76,0.5 cup mayonnaise,"""42138"""
77,0.5 ounce Ranch salad dressing mix,"""02076"""
78,1.0 tablespoon dijon mustard,"""02046"""
79,0.5 teaspoon dried dillweed,"""02017"""
80,1 teaspoon salt,"""02047"""
81,1 teaspoon black pepper,"""02030"""
82,0.5 cup parsley,"""11297"""
83,6.0 whole kale leaves,"""11233"""
84,2.0 tablespoons extra-virgin olive oil,"""44005"""
85,1.25 cups grape tomatoes halved,"""11529"""
86,1.0 teaspoon fresh thyme,"""02049"""
87,2.0 whole cloves garlic,"""11215"""
88,1.0 whole shallot,"""11677"""
89,0.125 teaspoon red pepper flakes optional,"""02031"""
90,0.5 teaspoon kosher salt,"""02047"""
91,0.25 cup fresh basil,"""02044"""
92,10.0 whole four inch whole wheat tortillas,"""20086"""
93,0.25 cup store-bought plain hummus,"""16137"""
94,4.0 whole eggs chilled,"""01123"""
95,4.0 whole oranges,"""09202"""
96,0.333333333333 cup cilantro,"""11165"""
97,0.25 cup red onion,"""11282"""
98,2.0 tablespoons extra-virgin olive oil,"""44005"""
99,2.0 teaspoons red wine vinegar,"""02068"""
100,0.5 whole habanero chile,"""11819"""
101,1 tablespoon vegetable oil,"""04513"""
102,2.0 cans chickpeas,"""16056"""
103,0.75 teaspoon smoked hot paprika,"""02028"""
104,0.75 teaspoon sea salt,"""02047"""
105,1.0 whole lime wedge,"""09159"""
106,2 tablespoon salt,"""02047"""
107,1.5 ounce tequila,"""14037"""
108,3.0 tablespoons fresh pink grapefruit juice ,"""09404"""
109,1 ounce orange flavored liqueur,"""14037"""
110,0.5 teaspoon sugar,"""19335"""
111,5.0 whole guajillo chilies,"""11978"""
112,5.0 whole pasilla chilies,"""11670"""
113,5.0 whole ancho chilies,"""11978"""
114,1.0 whole onion,"""11282"""
115,5.0 whole cloves garlic,"""11215"""
116,6.0 whole tomatoes,"""11529"""
117,4.0 whole bay leaves,"""02004"""
118,0.5 teaspoon ground cumin,"""02014"""
119,0.5 cup apple cider vinegar,"""02048"""
120,1.0 whole sized fresh snapper fillet,"""15101"""
121,2.0 whole plantain banana leaves,"""11253"""
122,1 teaspoon salt,"""02047"""
123,1 teaspoon black pepper,"""02030"""
124,1 teaspoon black pepper,"""02030"""
125,1 whole white rice,"""20452"""
126,3.0 ounces corn oil,"""42289"""
127,4.0 teaspoons onions,"""11282"""
