micro_nutrient,Age_0_to_0.5_male,Age_0.5_to_1_male,Age_1_to_3_male,Age_4_to_8_male,Age_9_to_13_male,Age_14_to_18_male,Age_19_to_49_male,Age_50_to_70_male,Age_71_to_9999_male,Age_0_to_0.5_female,Age_0.5_to_1_female,Age_1_to_3_female,Age_4_to_8_female,Age_9_to_13_female,Age_14_to_18_female,Age_19_to_49_female,Age_50_to_70_female,Age_71_to_9999_female,Age_14_to_18_female_pregnant,Age_14_to_18_female_breastfeeding,Age_19_to_9999_female_pregnant,Age_19_to_9999_female_breastfeeding
"Calcium, Ca (mg)",200,260,700,1000,1300,1300,1000,1000,1200,200,260,700,1000,1300,1300,1000,1200,1200,1300,1300,1000,1000
"Iron, Fe (mg)",0.27,11,7,10,8,11,8,8,8,0.27,11,7,10,8,15,18,8,8,27,9,27,9
"Magnesium, Mg (mg)",30,75,80,130,240,410,420,360,360,30,75,80,130,240,360,320,320,320,400,360,400,360
"Phosphorus, P (mg)",100,275,460,500,1250,1250,700,700,700,100,275,460,500,1250,1250,700,700,700,1250,1250,700,700
"Potassium, K (mg)",0.4,0.7,3,3.8,4.5,4.7,4.7,4.7,4.7,0.4,0.7,3,3.8,4.5,4.7,4.7,4.7,4.7,5.1,5.1,5.1,5.1
"Sodium, Na (mg)",2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
"Zinc, Zn (mg)",2,3,3,5,8,11,11,11,11,2,3,3,5,8,9,8,8,8,11,12,11,12
"Copper, Cu (mg)",0.2,0.22,0.34,0.44,0.7,0.89,0.9,0.9,0.9,0.2,0.22,0.34,0.44,0.7,0.89,0.9,0.9,0.9,1,1.3,1,1.3
"Manganese, Mn (mg)",0.003,0.6,1.2,1.5,1.9,2.2,2.3,2.3,2.3,0.003,0.6,1.2,1.5,1.6,1.6,1.8,1.8,1.8,2,2.6,2,2.6
"Selenium, Se (microg)",15,20,20,30,40,55,55,55,55,15,20,20,30,55,55,55,55,55,60,70,60,70
"Fluoride, F (microg)",10,500,700,1000,2000,3000,4000,4000,4000,10,500,700,1000,2000,3000,3000,3000,3000,3000,3000,3000,3000
"Vitamin C, total ascorbic acid (mg)",40,50,15,25,45,75,90,90,90,40,50,15,25,45,65,75,75,75,80,115,85,120
Thiamin (mg),0.2,0.3,0.5,0.6,0.9,1.2,1.2,1.2,1.2,0.2,0.3,0.5,0.6,0.3,1,1.1,1.1,1.1,1.4,1.4,1.4,1.4
Riboflavin (mg),0.3,0.4,0.5,0.6,0.9,1.3,1.3,1.3,1.3,0.3,0.4,0.5,0.6,0.9,1,1.1,1.1,1.1,1.4,1.6,1.4,1.6
Niacin (mg),2,4,6,8,12,16,16,16,16,2,4,6,8,12,14,14,14,14,18,17,18,17
Pantothenic acid (mg),1.7,1.8,2,3,4,5,5,5,5,1.7,1.8,2,3,4,5,5,5,5,6,7,6,7
Vitamin B-6 (mg),0.1,0.3,0.5,0.6,1,1.3,1.3,1.7,1.7,0.1,0.3,0.5,0.6,1,1.2,1.3,1.5,1.5,1.9,2,1.9,2
"Folate, total (microg)",65,80,150,200,300,400,400,400,400,65,80,150,200,300,400,400,400,400,600,500,600,500
Folic acid (microg),65,80,150,200,300,400,400,400,400,65,80,150,200,300,400,400,400,400,600,500,600,500
"Folate, food (microg)",65,80,150,200,300,400,400,400,400,65,80,150,200,300,400,400,400,400,600,500,600,500
"Folate, DFE (microg)",65,80,150,200,300,400,400,400,400,65,80,150,200,300,400,400,400,400,600,500,600,500
"Choline, total (mg)",0.0002,0.0055,0.011,0.015,0.025,0.035,0.035,0.03,0.03,0.0002,0.0055,0.011,0.015,0.021,0.024,0.025,0.02,0.02,0.03,0.045,0.03,0.045
Betaine (mg),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Vitamin B-12 (microg),0.4,0.5,0.9,1.2,1.8,2.4,2.4,2.4,2.4,0.4,0.5,0.9,1.2,1.8,2.4,2.4,2.4,2.4,2.6,2.8,2.6,2.8
"Vitamin B-12, added (microg)",0.4,0.5,0.9,1.2,1.8,2.4,2.4,2.4,2.4,0.4,0.5,0.9,1.2,1.8,2.4,2.4,2.4,2.4,2.6,2.8,2.6,2.8
"Vitamin A, RAE (microg)",400,500,300,400,600,900,900,900,900,400,500,300,400,600,700,700,700,700,770,1300,770,1300
Retinol (microg),400,500,300,400,600,900,900,900,900,400,500,300,400,600,700,700,700,700,770,1300,770,1300
Vitamin E (alpha-tocopherol) (mg),4,5,6,7,11,15,15,15,15,4,5,6,7,11,15,15,15,15,15,19,15,19
"Vitamin E, added (mg)",4,5,6,7,11,15,15,15,15,4,5,6,7,11,15,15,15,15,15,19,15,19
Vitamin D (D2 + D3) (microg),10,10,15,15,15,15,15,15,20,10,10,15,15,15,15,15,15,20,15,15,15,15
Vitamin D2 (ergocalciferol) (microg),10,10,15,15,15,15,15,15,20,10,10,15,15,15,15,15,15,20,15,15,15,15
Vitamin D3 (cholecalciferol) (microg),10,10,15,15,15,15,15,15,20,10,10,15,15,15,15,15,15,20,15,15,15,15
Vitamin D (IU),10,10,15,15,15,15,15,15,20,10,10,15,15,15,15,15,15,20,15,15,15,15
Vitamin K (phylloquinone) (microg),2,2.5,30,55,60,75,90,90,90,2,2.5,30,55,60,75,90,90,90,120,120,120,120
